dataset,configuration,seed,clean_accuracy,noisy_accuracy,accuracy_drop
mnist,complete_framework,42,0.988526,0.928697,0.059829
mnist,complete_framework,123,0.986339,0.927641,0.058699
mnist,complete_framework,256,0.985918,0.928479,0.057439
mnist,complete_framework,512,0.986026,0.928648,0.057378
mnist,complete_framework,1024,0.987244,0.929605,0.057639
mnist,complete_framework,2024,0.987997,0.930303,0.057693
mnist,complete_framework,4096,0.986138,0.927223,0.058915
mnist,complete_framework,8192,0.986495,0.926588,0.059908
mnist,no_regularization,42,0.986828,0.939862,0.046966
mnist,no_regularization,123,0.985512,0.938862,0.046649
mnist,no_regularization,256,0.986769,0.938614,0.048155
mnist,no_regularization,512,0.984312,0.9386,0.045712
mnist,no_regularization,1024,0.984687,0.938003,0.046684
mnist,no_regularization,2024,0.985608,0.939964,0.045644
mnist,no_regularization,4096,0.984814,0.938812,0.046002
mnist,no_regularization,8192,0.984585,0.937503,0.047082
mnist,no_loss_modeling,42,0.952552,0.90255,0.050002
mnist,no_loss_modeling,123,0.953106,0.902044,0.051063
mnist,no_loss_modeling,256,0.952381,0.901616,0.050765
mnist,no_loss_modeling,512,0.951056,0.899463,0.051593
mnist,no_loss_modeling,1024,0.952668,0.901805,0.050863
mnist,no_loss_modeling,2024,0.953638,0.90393,0.049708
mnist,no_loss_modeling,4096,0.951569,0.902653,0.048917
mnist,no_loss_modeling,8192,0.95207,0.900479,0.05159
mnist,no_learnable_encoding,42,0.923104,0.879947,0.043157
mnist,no_learnable_encoding,123,0.920847,0.876238,0.044609
mnist,no_learnable_encoding,256,0.922091,0.881928,0.040163
mnist,no_learnable_encoding,512,0.922357,0.877435,0.044922
mnist,no_learnable_encoding,1024,0.925106,0.881145,0.043961
mnist,no_learnable_encoding,2024,0.920647,0.875692,0.044955
mnist,no_learnable_encoding,4096,0.921996,0.876257,0.045739
mnist,no_learnable_encoding,8192,0.923049,0.878954,0.044095
cifar10,complete_framework,42,0.741275,0.710187,0.031089
cifar10,complete_framework,123,0.741447,0.710976,0.030471
cifar10,complete_framework,256,0.741366,0.713893,0.027473
cifar10,complete_framework,512,0.742802,0.717101,0.025701
cifar10,complete_framework,1024,0.741932,0.714551,0.027381
cifar10,complete_framework,2024,0.743969,0.71801,0.025959
cifar10,complete_framework,4096,0.741596,0.714024,0.027571
cifar10,complete_framework,8192,0.740626,0.712334,0.028292
cifar10,no_regularization,42,0.742029,0.721186,0.020843
cifar10,no_regularization,123,0.741004,0.721478,0.019526
cifar10,no_regularization,256,0.742254,0.721001,0.021252
cifar10,no_regularization,512,0.741515,0.720836,0.020679
cifar10,no_regularization,1024,0.739048,0.719192,0.019855
cifar10,no_regularization,2024,0.740165,0.722015,0.01815
cifar10,no_regularization,4096,0.742067,0.724065,0.018002
cifar10,no_regularization,8192,0.74105,0.718766,0.022284
cifar10,no_loss_modeling,42,0.715991,0.693202,0.022789
cifar10,no_loss_modeling,123,0.715858,0.695353,0.020505
cifar10,no_loss_modeling,256,0.717171,0.695463,0.021708
cifar10,no_loss_modeling,512,0.715668,0.693669,0.021999
cifar10,no_loss_modeling,1024,0.714892,0.692533,0.022359
cifar10,no_loss_modeling,2024,0.716059,0.692169,0.02389
cifar10,no_loss_modeling,4096,0.716054,0.695729,0.020325
cifar10,no_loss_modeling,8192,0.716247,0.693772,0.022475
cifar10,no_learnable_encoding,42,0.693152,0.672246,0.020906
cifar10,no_learnable_encoding,123,0.694402,0.672945,0.021456
cifar10,no_learnable_encoding,256,0.695902,0.674876,0.021026
cifar10,no_learnable_encoding,512,0.695873,0.675666,0.020207
cifar10,no_learnable_encoding,1024,0.694137,0.672397,0.02174
cifar10,no_learnable_encoding,2024,0.693276,0.673028,0.020249
cifar10,no_learnable_encoding,4096,0.69437,0.675037,0.019333
cifar10,no_learnable_encoding,8192,0.694361,0.674238,0.020122
