dataset,model,seed,sample_index,measurement_probability,phase_noise_rad,optical_power
circles,fixed_amplitude,1024,0,0.91875456,0.10112423,0.98550854
circles,fixed_amplitude,1024,1,0.90612623,0.06031754,0.99159193
circles,fixed_amplitude,1024,2,0.91273008,0.00809789,0.99999236
circles,fixed_amplitude,1024,3,0.91925451,0.06369667,1.00484268
circles,fixed_amplitude,1024,4,0.91820748,0.01251909,1.00142015
circles,fixed_amplitude,1024,5,0.92366071,0.0769853,0.99335392
circles,fixed_amplitude,1024,6,0.9152692,0.0536145,1.00491822
circles,fixed_amplitude,1024,7,0.90927606,0.03326957,1.00363143
circles,fixed_amplitude,1024,8,0.90835171,0.01271907,0.98967676
circles,fixed_amplitude,1024,9,0.92064702,0.02996759,0.97953028
circles,fixed_amplitude,1024,10,0.92100577,0.04075916,0.9810341
circles,fixed_amplitude,1024,11,0.92281452,0.04212079,1.01313327
circles,fixed_amplitude,1024,12,0.91811846,0.03500907,1.01083668
circles,fixed_amplitude,1024,13,0.91436146,0.04464569,0.99652132
circles,fixed_amplitude,1024,14,0.90774227,0.00245347,1.01773969
circles,fixed_amplitude,1024,15,0.91192774,0.02470582,0.98761029
circles,fixed_amplitude,1024,16,0.9123912,0.05764688,1.00020006
circles,fixed_amplitude,1024,17,0.91391216,0.03804506,1.01813
circles,fixed_amplitude,1024,18,0.9198568,0.00684064,1.02689755
circles,fixed_amplitude,1024,19,0.91357724,0.06437253,0.99861447
circles,fixed_amplitude,1024,20,0.91980408,0.00294058,0.99688866
circles,fixed_amplitude,1024,21,0.91850408,0.02897639,0.99389323
circles,fixed_amplitude,1024,22,0.91805037,0.04893692,0.96430426
circles,fixed_amplitude,1024,23,0.92736141,0.05054044,1.01698978
circles,fixed_amplitude,1024,24,0.91084572,0.02120657,0.99680423
circles,fixed_amplitude,1024,25,0.91926799,0.00797509,0.996789
circles,fixed_amplitude,1024,26,0.91994034,0.12693798,0.9906413
circles,fixed_amplitude,1024,27,0.91848534,0.11165402,0.98085641
circles,fixed_amplitude,1024,28,0.90858706,0.09197865,1.01233856
circles,fixed_amplitude,1024,29,0.9234047,0.04419242,1.02456297
circles,fixed_amplitude,1024,30,0.92093635,0.0430646,0.98557017
circles,fixed_amplitude,1024,31,0.91371298,0.05102129,0.99813728
circles,fixed_amplitude,1024,32,0.91732021,0.03836203,1.00687917
circles,fixed_amplitude,1024,33,0.92384241,0.04453324,1.00316657
circles,fixed_amplitude,1024,34,0.92394211,0.0512519,1.01228626
circles,fixed_amplitude,1024,35,0.91223542,0.05608329,1.01198238
circles,fixed_amplitude,1024,36,0.91314962,0.04431189,1.0044817
circles,fixed_amplitude,1024,37,0.91704279,0.00602032,0.98810748
circles,fixed_amplitude,1024,38,0.92208643,0.03748912,1.00522969
circles,fixed_amplitude,1024,39,0.91321941,0.12098757,0.97221424
circles,fixed_amplitude,1024,40,0.91175181,0.04880892,1.01308176
circles,fixed_amplitude,1024,41,0.91569471,0.07667229,1.02305267
circles,fixed_amplitude,1024,42,0.92350044,0.06974889,0.99856945
circles,fixed_amplitude,1024,43,0.92289781,0.01075479,1.01762671
circles,fixed_amplitude,1024,44,0.92340267,0.06042645,0.99426589
circles,fixed_amplitude,1024,45,0.9205365,0.11006669,1.0038791
circles,fixed_amplitude,1024,46,0.91328832,0.02253517,0.99840302
circles,fixed_amplitude,1024,47,0.90488922,0.0342525,1.03818987
circles,fixed_amplitude,1024,48,0.92472289,0.03586522,1.00773648
circles,fixed_amplitude,1024,49,0.91001733,0.14422221,0.99285335
circles,fixed_amplitude,1024,50,0.92402888,0.05242054,1.0295405
circles,fixed_amplitude,1024,51,0.92668292,0.00421114,1.03222999
circles,fixed_amplitude,1024,52,0.91798267,0.03981386,1.00110214
circles,fixed_amplitude,1024,53,0.91760177,0.02094996,1.00021374
circles,fixed_amplitude,1024,54,0.90980165,0.13318171,0.98960746
circles,fixed_amplitude,1024,55,0.91596297,0.04799655,1.0169637
circles,fixed_amplitude,1024,56,0.91609473,0.01369423,1.00562849
circles,fixed_amplitude,1024,57,0.91723202,0.03423042,0.97506609
circles,fixed_amplitude,1024,58,0.92171617,0.06383719,1.00429346
circles,fixed_amplitude,1024,59,0.91771397,0.00725797,0.97188145
circles,fixed_amplitude,1024,60,0.92805517,0.04138735,1.02118427
circles,fixed_amplitude,1024,61,0.90825713,0.00489948,1.01010788
circles,fixed_amplitude,1024,62,0.90693384,0.04000678,1.01768215
circles,fixed_amplitude,1024,63,0.92325997,0.09859641,1.00405973
circles,fixed_amplitude,1024,64,0.91023501,0.05505451,0.99843814
circles,fixed_amplitude,1024,65,0.91333731,0.05524249,0.99497833
circles,fixed_amplitude,1024,66,0.91591263,0.06050459,0.9957404
circles,fixed_amplitude,1024,67,0.92128339,0.00991461,0.97464062
circles,fixed_amplitude,1024,68,0.92543652,0.07221524,1.01260039
circles,fixed_amplitude,1024,69,0.91803812,0.03023742,1.00438271
circles,fixed_amplitude,1024,70,0.91766079,0.03578785,1.00242544
circles,fixed_amplitude,1024,71,0.91706459,0.05253449,0.9937837
circles,fixed_amplitude,1024,72,0.91936553,0.08119871,1.00485117
circles,fixed_amplitude,1024,73,0.92201652,0.04344072,1.02911843
circles,fixed_amplitude,1024,74,0.91876343,0.05697481,1.01503928
circles,fixed_amplitude,1024,75,0.91694167,0.00276056,0.99643966
circles,fixed_amplitude,1024,76,0.92250091,0.06117493,0.99639075
circles,fixed_amplitude,1024,77,0.91748059,0.01083994,1.0006916
circles,fixed_amplitude,1024,78,0.92077714,0.05058742,0.9782937
circles,fixed_amplitude,1024,79,0.90640692,0.00614127,0.98593297
circles,fixed_amplitude,1024,80,0.90760413,0.05251339,0.98907108
circles,fixed_amplitude,1024,81,0.9085145,0.03233544,0.98883378
circles,fixed_amplitude,1024,82,0.91275102,0.03923038,0.98868018
circles,fixed_amplitude,1024,83,0.91838427,0.02408039,1.00391503
circles,fixed_amplitude,1024,84,0.91076448,0.04138235,0.98788881
circles,fixed_amplitude,1024,85,0.92351584,0.07293596,1.03019732
circles,fixed_amplitude,1024,86,0.91621589,0.01846527,0.98530507
circles,fixed_amplitude,1024,87,0.92295376,0.06911593,1.00088184
circles,fixed_amplitude,1024,88,0.91952155,0.04463994,1.00799497
circles,fixed_amplitude,1024,89,0.91082321,0.02037068,1.00221353
circles,fixed_amplitude,1024,90,0.92103028,0.01324553,1.02193538
circles,fixed_amplitude,1024,91,0.91132437,0.00855679,1.00912531
circles,fixed_amplitude,1024,92,0.91349216,0.02857701,1.02616059
circles,fixed_amplitude,1024,93,0.922631,0.04837316,1.0161616
circles,fixed_amplitude,1024,94,0.92217964,0.03964217,1.02596858
circles,fixed_amplitude,1024,95,0.9239604,0.04144653,1.00148904
circles,fixed_amplitude,1024,96,0.91562924,0.07590136,1.00876722
circles,fixed_amplitude,1024,97,0.91964077,0.03844172,1.03005573
circles,fixed_amplitude,1024,98,0.90724185,0.07326409,0.98139508
circles,fixed_amplitude,1024,99,0.90921611,0.0698918,1.03196567
circles,fixed_amplitude,1024,100,0.90685055,0.01732599,1.02068989
circles,fixed_amplitude,1024,101,0.90789337,0.09699236,0.99671067
circles,fixed_amplitude,1024,102,0.91955059,0.02786396,0.99558057
circles,fixed_amplitude,1024,103,0.91707363,0.07599644,1.00585516
circles,fixed_amplitude,1024,104,0.91179308,0.01266907,0.97288811
circles,fixed_amplitude,1024,105,0.91290495,0.00344397,1.00439429
circles,fixed_amplitude,1024,106,0.91455488,0.09233532,0.99889605
circles,fixed_amplitude,1024,107,0.92185234,0.02749179,1.01758406
circles,fixed_amplitude,1024,108,0.91627805,0.03165474,1.03968922
circles,fixed_amplitude,1024,109,0.92081213,0.04150656,0.98128662
circles,fixed_amplitude,1024,110,0.90671896,0.04591311,0.97338589
circles,fixed_amplitude,1024,111,0.91553542,0.07733463,0.99679587
circles,fixed_amplitude,1024,112,0.91928804,0.0260863,0.98463177
circles,fixed_amplitude,1024,113,0.91569241,0.07709252,1.0105496
circles,fixed_amplitude,1024,114,0.91567848,0.11265229,1.0135998
circles,fixed_amplitude,1024,115,0.90610864,0.02974713,0.99362907
circles,fixed_amplitude,1024,116,0.91944634,0.00203794,1.00372194
circles,fixed_amplitude,1024,117,0.92055343,0.00894321,0.99299616
circles,fixed_amplitude,1024,118,0.91691581,0.10669419,0.99749865
circles,fixed_amplitude,1024,119,0.9184389,0.09102248,1.00211445
circles,fixed_amplitude,1024,120,0.92105472,0.02516579,0.99037325
circles,fixed_amplitude,1024,121,0.92370745,0.0139359,0.99785297
circles,fixed_amplitude,1024,122,0.9152138,0.04606548,0.9965252
circles,fixed_amplitude,1024,123,0.92485174,0.01465049,1.01420727
circles,fixed_amplitude,1024,124,0.9237034,0.0143313,0.9963013
circles,fixed_amplitude,1024,125,0.92630358,0.0158394,0.9910217
circles,fixed_amplitude,1024,126,0.92710746,0.01510228,1.00182639
circles,fixed_amplitude,1024,127,0.91700313,0.06817725,0.98959231
circles,fixed_amplitude,1024,128,0.92054368,0.0251263,0.97051978
circles,fixed_amplitude,1024,129,0.92150945,0.03573707,0.99512281
circles,fixed_amplitude,1024,130,0.92229466,0.03266978,0.95786335
circles,fixed_amplitude,1024,131,0.91787549,0.00553618,0.97598627
circles,fixed_amplitude,1024,132,0.91844839,0.03982205,1.01890776
circles,fixed_amplitude,1024,133,0.9170881,0.07803321,0.99606604
circles,fixed_amplitude,1024,134,0.91610154,0.02107992,0.99728166
circles,fixed_amplitude,1024,135,0.90990394,0.03680874,1.01601453
circles,fixed_amplitude,1024,136,0.91591278,0.04773845,1.00555442
circles,fixed_amplitude,1024,137,0.90360659,0.07260004,1.02214141
circles,fixed_amplitude,1024,138,0.9215864,0.03353658,1.00603251
circles,fixed_amplitude,1024,139,0.91892478,0.00047689,0.97894705
circles,fixed_amplitude,1024,140,0.91115566,0.06903978,0.96696736
circles,fixed_amplitude,1024,141,0.92418092,0.07495341,1.00920951
circles,fixed_amplitude,1024,142,0.9151697,0.04615088,1.0064327
circles,fixed_amplitude,1024,143,0.91312047,0.00655323,0.99916506
circles,fixed_amplitude,1024,144,0.91179618,0.04862745,0.99226865
circles,fixed_amplitude,1024,145,0.92367627,0.04126701,0.98339898
circles,fixed_amplitude,1024,146,0.9151168,0.05504948,1.00899995
circles,fixed_amplitude,1024,147,0.92616073,0.00124257,1.00615485
circles,fixed_amplitude,1024,148,0.91685875,0.04173917,0.97993691
circles,fixed_amplitude,1024,149,0.91901439,0.07743114,0.9679849
circles,fixed_amplitude,1024,150,0.91335103,0.03086369,1.00295874
circles,fixed_amplitude,1024,151,0.92462247,0.001408,0.99893095
circles,fixed_amplitude,1024,152,0.92149463,0.04897731,1.00399278
circles,fixed_amplitude,1024,153,0.9234308,0.00163915,0.97566353
circles,fixed_amplitude,1024,154,0.91162037,0.03245525,1.01025354
circles,fixed_amplitude,1024,155,0.92071785,0.00940083,1.01867501
circles,fixed_amplitude,1024,156,0.92275967,0.06676283,0.99527888
circles,fixed_amplitude,1024,157,0.91706455,0.0163644,1.00208988
circles,fixed_amplitude,1024,158,0.91754884,0.04575161,1.00547081
circles,fixed_amplitude,1024,159,0.91813429,0.00102429,0.97122334
circles,fixed_amplitude,1024,160,0.90562102,0.04670031,0.99444509
circles,fixed_amplitude,1024,161,0.9097116,0.07838693,0.97460013
circles,fixed_amplitude,1024,162,0.91336684,0.04626793,0.98199864
circles,fixed_amplitude,1024,163,0.91420438,0.00773201,0.99569805
circles,fixed_amplitude,1024,164,0.91384207,0.01706056,0.99479263
circles,fixed_amplitude,1024,165,0.91420204,0.06259733,1.00035268
circles,fixed_amplitude,1024,166,0.91707015,0.07877592,0.98378789
circles,fixed_amplitude,1024,167,0.92357567,0.00031112,1.00235836
