phase_rad,port0_transmission,port1_transmission
0.0,1.0,0.0
0.00125664,0.99999961,3.9e-07
0.00251327,0.99999842,1.58e-06
0.00376991,0.99999645,3.55e-06
0.00502655,0.99999368,6.32e-06
0.00628319,0.99999013,9.87e-06
0.00753982,0.99998579,1.421e-05
0.00879646,0.99998066,1.934e-05
0.0100531,0.99997473,2.527e-05
0.01130973,0.99996802,3.198e-05
0.01256637,0.99996052,3.948e-05
0.01382301,0.99995223,4.777e-05
0.01507964,0.99994315,5.685e-05
0.01633628,0.99993328,6.672e-05
0.01759292,0.99992262,7.738e-05
0.01884956,0.99991118,8.882e-05
0.02010619,0.99989894,0.00010106
0.02136283,0.99988591,0.00011409
0.02261947,0.9998721,0.0001279
0.0238761,0.99985749,0.00014251
0.02513274,0.99984209,0.00015791
0.02638938,0.99982591,0.00017409
0.02764602,0.99980894,0.00019106
0.02890265,0.99979117,0.00020883
0.03015929,0.99977262,0.00022738
0.03141593,0.99975328,0.00024672
0.03267256,0.99973315,0.00026685
0.0339292,0.99971223,0.00028777
0.03518584,0.99969052,0.00030948
0.03644247,0.99966802,0.00033198
0.03769911,0.99964474,0.00035526
0.03895575,0.99962066,0.00037934
0.04021239,0.9995958,0.0004042
0.04146902,0.99957014,0.00042986
0.04272566,0.9995437,0.0004563
0.0439823,0.99951647,0.00048353
0.04523893,0.99948845,0.00051155
0.04649557,0.99945964,0.00054036
0.04775221,0.99943004,0.00056996
0.04900885,0.99939965,0.00060035
0.05026548,0.99936848,0.00063152
0.05152212,0.99933651,0.00066349
0.05277876,0.99930376,0.00069624
0.05403539,0.99927022,0.00072978
0.05529203,0.99923589,0.00076411
0.05654867,0.99920078,0.00079922
0.0578053,0.99916487,0.00083513
0.05906194,0.99912818,0.00087182
0.06031858,0.99909069,0.00090931
0.06157522,0.99905242,0.00094758
0.06283185,0.99901336,0.00098664
0.06408849,0.99897352,0.00102648
0.06534513,0.99893288,0.00106712
0.06660176,0.99889146,0.00110854
0.0678584,0.99884925,0.00115075
0.06911504,0.99880625,0.00119375
0.07037168,0.99876247,0.00123753
0.07162831,0.99871789,0.00128211
0.07288495,0.99867253,0.00132747
0.07414159,0.99862639,0.00137361
0.07539822,0.99857945,0.00142055
0.07665486,0.99853173,0.00146827
0.0779115,0.99848322,0.00151678
0.07916813,0.99843392,0.00156608
0.08042477,0.99838384,0.00161616
0.08168141,0.99833296,0.00166704
0.08293805,0.99828131,0.00171869
0.08419468,0.99822886,0.00177114
0.08545132,0.99817563,0.00182437
0.08670796,0.99812161,0.00187839
0.08796459,0.9980668,0.0019332
0.08922123,0.99801121,0.00198879
0.09047787,0.99795483,0.00204517
0.09173451,0.99789767,0.00210233
0.09299114,0.99783972,0.00216028
0.09424778,0.99778098,0.00221902
0.09550442,0.99772146,0.00227854
0.09676105,0.99766115,0.00233885
0.09801769,0.99760006,0.00239994
0.09927433,0.99753817,0.00246183
0.10053096,0.99747551,0.00252449
0.1017876,0.99741206,0.00258794
0.10304424,0.99734782,0.00265218
0.10430088,0.9972828,0.0027172
0.10555751,0.99721699,0.00278301
0.10681415,0.9971504,0.0028496
0.10807079,0.99708302,0.00291698
0.10932742,0.99701485,0.00298515
0.11058406,0.99694591,0.00305409
0.1118407,0.99687617,0.00312383
0.11309734,0.99680566,0.00319434
0.11435397,0.99673435,0.00326565
0.11561061,0.99666227,0.00333773
0.11686725,0.9965894,0.0034106
0.11812388,0.99651574,0.00348426
0.11938052,0.9964413,0.0035587
0.12063716,0.99636608,0.00363392
0.12189379,0.99629007,0.00370993
0.12315043,0.99621328,0.00378672
0.12440707,0.99613571,0.00386429
0.12566371,0.99605735,0.00394265
0.12692034,0.99597821,0.00402179
0.12817698,0.99589829,0.00410171
0.12943362,0.99581758,0.00418242
0.13069025,0.99573609,0.00426391
0.13194689,0.99565382,0.00434618
0.13320353,0.99557076,0.00442924
0.13446017,0.99548692,0.00451308
0.1357168,0.9954023,0.0045977
0.13697344,0.9953169,0.0046831
0.13823008,0.99523071,0.00476929
0.13948671,0.99514375,0.00485625
0.14074335,0.995056,0.004944
0.14199999,0.99496747,0.00503253
0.14325663,0.99487815,0.00512185
0.14451326,0.99478806,0.00521194
0.1457699,0.99469718,0.00530282
0.14702654,0.99460553,0.00539447
0.14828317,0.99451309,0.00548691
0.14953981,0.99441987,0.00558013
0.15079645,0.99432587,0.00567413
0.15205308,0.99423109,0.00576891
0.15330972,0.99413553,0.00586447
0.15456636,0.99403919,0.00596081
0.155823,0.99394207,0.00605793
0.15707963,0.99384417,0.00615583
0.15833627,0.99374549,0.00625451
0.15959291,0.99364603,0.00635397
0.16084954,0.99354579,0.00645421
0.16210618,0.99344477,0.00655523
0.16336282,0.99334297,0.00665703
0.16461946,0.99324039,0.00675961
0.16587609,0.99313704,0.00686296
0.16713273,0.9930329,0.0069671
0.16838937,0.99292799,0.00707201
0.169646,0.9928223,0.0071777
0.17090264,0.99271583,0.00728417
0.17215928,0.99260858,0.00739142
0.17341591,0.99250055,0.00749945
0.17467255,0.99239175,0.00760825
0.17592919,0.99228217,0.00771783
0.17718583,0.99217181,0.00782819
0.17844246,0.99206067,0.00793933
0.1796991,0.99194876,0.00805124
0.18095574,0.99183607,0.00816393
