wavelength_nm,normalized_power
1500.0,0.00048726
1500.025,0.00049088
1500.05,0.00049452
1500.075,0.00049819
1500.1,0.00050188
1500.125,0.0005056
1500.15,0.00050934
1500.175,0.00051311
1500.2,0.0005169
1500.225,0.00052072
1500.25,0.00052457
1500.275,0.00052845
1500.3,0.00053235
1500.325,0.00053627
1500.35,0.00054023
1500.375,0.00054421
1500.4,0.00054822
1500.425,0.00055225
1500.45,0.00055632
1500.475,0.00056041
1500.5,0.00056453
1500.525,0.00056868
1500.55,0.00057285
1500.575,0.00057706
1500.6,0.00058129
1500.625,0.00058555
1500.65,0.00058985
1500.675,0.00059417
1500.7,0.00059852
1500.725,0.0006029
1500.75,0.00060731
1500.775,0.00061174
1500.8,0.00061621
1500.825,0.00062071
1500.85,0.00062525
1500.875,0.00062981
1500.9,0.0006344
1500.925,0.00063902
1500.95,0.00064368
1500.975,0.00064836
1501.0,0.00065308
1501.025,0.00065783
1501.05,0.00066261
1501.075,0.00066743
1501.1,0.00067227
1501.125,0.00067715
1501.15,0.00068207
1501.175,0.00068701
1501.2,0.00069199
1501.225,0.000697
1501.25,0.00070205
1501.275,0.00070713
1501.3,0.00071224
1501.325,0.00071739
1501.35,0.00072257
1501.375,0.00072779
1501.4,0.00073304
1501.425,0.00073833
1501.45,0.00074365
1501.475,0.00074901
1501.5,0.00075441
1501.525,0.00075984
1501.55,0.0007653
1501.575,0.00077081
1501.6,0.00077635
1501.625,0.00078193
1501.65,0.00078754
1501.675,0.00079319
1501.7,0.00079888
1501.725,0.00080461
1501.75,0.00081037
1501.775,0.00081618
1501.8,0.00082202
1501.825,0.0008279
1501.85,0.00083382
1501.875,0.00083978
1501.9,0.00084577
1501.925,0.00085181
1501.95,0.00085789
1501.975,0.00086401
1502.0,0.00087017
1502.025,0.00087637
1502.05,0.00088261
1502.075,0.00088889
1502.1,0.00089521
1502.125,0.00090157
1502.15,0.00090798
1502.175,0.00091443
1502.2,0.00092092
1502.225,0.00092745
1502.25,0.00093403
