temperature_C,phase_shift_rad
10.0,-0.15
10.05,-0.1495
10.1,-0.149
10.15,-0.1485
10.2,-0.148
10.25,-0.1475
10.3,-0.147
10.35,-0.1465
10.4,-0.146
10.45,-0.1455
10.5,-0.145
10.55,-0.1445
10.6,-0.144
10.65,-0.1435
10.7,-0.143
10.75,-0.1425
10.8,-0.142
10.85,-0.1415
10.9,-0.141
10.95,-0.1405
11.0,-0.14
11.05,-0.1395
11.1,-0.139
11.15,-0.1385
11.2,-0.138
11.25,-0.1375
11.3,-0.137
11.35,-0.1365
11.4,-0.136
11.45,-0.1355
11.5,-0.135
11.55,-0.1345
11.6,-0.134
11.65,-0.1335
11.7,-0.133
11.75,-0.1325
11.8,-0.132
11.85,-0.1315
11.9,-0.131
11.95,-0.1305
12.0,-0.13
12.05,-0.1295
12.1,-0.129
12.15,-0.1285
12.2,-0.128
12.25,-0.1275
12.3,-0.127
12.35,-0.1265
12.4,-0.126
12.45,-0.1255
12.5,-0.125
12.55,-0.1245
12.6,-0.124
12.65,-0.1235
12.7,-0.123
12.75,-0.1225
12.8,-0.122
12.85,-0.1215
12.9,-0.121
12.95,-0.1205
13.0,-0.12
13.05,-0.1195
13.1,-0.119
13.15,-0.1185
13.2,-0.118
13.25,-0.1175
13.3,-0.117
13.35,-0.1165
13.4,-0.116
13.45,-0.1155
13.5,-0.115
13.55,-0.1145
13.6,-0.114
13.65,-0.1135
13.7,-0.113
13.75,-0.1125
13.8,-0.112
13.85,-0.1115
13.9,-0.111
13.95,-0.1105
14.0,-0.11
14.05,-0.1095
14.1,-0.109
14.15,-0.1085
14.2,-0.108
14.25,-0.1075
14.3,-0.107
14.35,-0.1065
14.4,-0.106
14.45,-0.1055
14.5,-0.105
14.55,-0.1045
14.6,-0.104
14.65,-0.1035
14.7,-0.103
14.75,-0.1025
14.8,-0.102
14.85,-0.1015
14.9,-0.101
14.95,-0.1005
15.0,-0.1
15.05,-0.0995
15.1,-0.099
15.15,-0.0985
15.2,-0.098
15.25,-0.0975
15.3,-0.097
15.35,-0.0965
15.4,-0.096
15.45,-0.0955
15.5,-0.095
15.55,-0.0945
15.6,-0.094
15.65,-0.0935
15.7,-0.093
15.75,-0.0925
15.8,-0.092
15.85,-0.0915
15.9,-0.091
15.95,-0.0905
16.0,-0.09
16.05,-0.0895
16.1,-0.089
16.15,-0.0885
16.2,-0.088
16.25,-0.0875
16.3,-0.087
16.35,-0.0865
16.4,-0.086
16.45,-0.0855
16.5,-0.085
16.55,-0.0845
16.6,-0.084
16.65,-0.0835
16.7,-0.083
16.75,-0.0825
16.8,-0.082
16.85,-0.0815
16.9,-0.081
16.95,-0.0805
17.0,-0.08
17.05,-0.0795
17.1,-0.079
17.15,-0.0785
17.2,-0.078
17.25,-0.0775
17.3,-0.077
17.35,-0.0765
17.4,-0.076
17.45,-0.0755
17.5,-0.075
17.55,-0.0745
17.6,-0.074
17.65,-0.0735
17.7,-0.073
17.75,-0.0725
17.8,-0.072
17.85,-0.0715
17.9,-0.071
17.95,-0.0705
18.0,-0.07
18.05,-0.0695
18.1,-0.069
18.15,-0.0685
18.2,-0.068
18.25,-0.0675
18.3,-0.067
18.35,-0.0665
18.4,-0.066
18.45,-0.0655
18.5,-0.065
18.55,-0.0645
18.6,-0.064
18.65,-0.0635
18.7,-0.063
18.75,-0.0625
18.8,-0.062
18.85,-0.0615
18.9,-0.061
18.95,-0.0605
19.0,-0.06
19.05,-0.0595
19.1,-0.059
19.15,-0.0585
19.2,-0.058
19.25,-0.0575
19.3,-0.057
19.35,-0.0565
19.4,-0.056
19.45,-0.0555
19.5,-0.055
19.55,-0.0545
19.6,-0.054
19.65,-0.0535
19.7,-0.053
19.75,-0.0525
19.8,-0.052
19.85,-0.0515
19.9,-0.051
19.95,-0.0505
20.0,-0.05
20.05,-0.0495
20.1,-0.049
20.15,-0.0485
20.2,-0.048
20.25,-0.0475
20.3,-0.047
20.35,-0.0465
20.4,-0.046
20.45,-0.0455
20.5,-0.045
20.55,-0.0445
