epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35074613,2.51496591,0.15189751,0.15150734,1.00038479,0.17728373,mnist,proposed,42
2,2.22794892,2.38433293,0.21753394,0.21677264,0.99916834,0.17139874,mnist,proposed,42
3,2.11750316,2.26682706,0.26483683,0.26372249,1.00243621,0.16551281,mnist,proposed,42
4,2.00629975,2.14842507,0.31394021,0.31249006,0.9985165,0.16014821,mnist,proposed,42
5,1.90562808,2.04122118,0.3597431,0.35797351,1.00132288,0.15671885,mnist,proposed,42
6,1.80861193,1.9378598,0.40701255,0.4049391,0.99915738,0.15024903,mnist,proposed,42
7,1.71815952,1.84146321,0.45102593,0.44866344,0.99944231,0.14545788,mnist,proposed,42
8,1.63010525,1.74757336,0.48167574,0.4790383,1.00016543,0.13956672,mnist,proposed,42
9,1.54688185,1.65880285,0.52615862,0.52325965,1.00021638,0.13581722,mnist,proposed,42
10,1.47374065,1.58079025,0.55143791,0.54829015,1.00474993,0.1304106,mnist,proposed,42
11,1.3938641,1.49550171,0.57881468,0.57543028,0.99725206,0.12618301,mnist,proposed,42
12,1.33390991,1.4315419,0.60987593,0.60626643,0.99974953,0.12278259,mnist,proposed,42
13,1.25765626,1.35004559,0.64446519,0.64064155,0.9986389,0.1195729,mnist,proposed,42
14,1.19055849,1.27833298,0.66266268,0.65863536,0.99874645,0.11449362,mnist,proposed,42
15,1.1491926,1.23421486,0.68667333,0.68245226,0.99997839,0.1106883,mnist,proposed,42
16,1.07296189,1.15261664,0.70719728,0.70279191,1.00100662,0.10601343,mnist,proposed,42
17,1.02086141,1.09690247,0.72791702,0.72333634,1.00368519,0.10293382,mnist,proposed,42
18,0.9745891,1.04742139,0.74511852,0.74037108,0.99945733,0.101284,mnist,proposed,42
19,0.93224793,1.0021392,0.76310058,0.75819451,0.99998012,0.09609308,mnist,proposed,42
20,0.87549018,0.94133182,0.78150345,0.77644648,0.9967977,0.09303036,mnist,proposed,42
21,0.84361225,0.90725071,0.79116346,0.78596296,0.9987504,0.0900197,mnist,proposed,42
22,0.78792726,0.84754297,0.80779272,0.80245569,0.99686751,0.0876866,mnist,proposed,42
23,0.76119228,0.81895369,0.82204236,0.81657545,0.99965953,0.0835152,mnist,proposed,42
24,0.7104841,0.76455187,0.83372569,0.82813525,0.99909104,0.0819985,mnist,proposed,42
25,0.67651642,0.72814327,0.84358199,0.83787403,1.00126294,0.07815727,mnist,proposed,42
26,0.64234207,0.69149505,0.85088282,0.84506307,0.99835685,0.07681699,mnist,proposed,42
27,0.61440032,0.66154092,0.86601136,0.86008529,0.99951349,0.07389594,mnist,proposed,42
28,0.5820259,0.62679935,0.87311568,0.86708846,1.00188825,0.07080943,mnist,proposed,42
29,0.55771715,0.60073036,0.8791669,0.87304346,0.99796709,0.06959612,mnist,proposed,42
30,0.52805204,0.56887927,0.88687712,0.88066216,0.99660006,0.06785142,mnist,proposed,42
31,0.49612942,0.53458237,0.89807368,0.89177167,1.00114196,0.06389817,mnist,proposed,42
32,0.47552873,0.51247324,0.90470375,0.89831893,0.99950974,0.06217597,mnist,proposed,42
33,0.45055289,0.48563896,0.91049694,0.90403334,1.00018093,0.06096539,mnist,proposed,42
34,0.42681576,0.46012948,0.914258,0.90771947,1.00009385,0.05837571,mnist,proposed,42
35,0.41127485,0.44344751,0.91621413,0.90960432,1.00189648,0.05740947,mnist,proposed,42
36,0.38881748,0.41930006,0.92656122,0.91988361,1.00302943,0.05433101,mnist,proposed,42
37,0.36656748,0.39536734,0.93083555,0.92409344,1.00354394,0.05277484,mnist,proposed,42
38,0.34949327,0.37700929,0.93642994,0.92962649,1.00112307,0.05079816,mnist,proposed,42
39,0.33226416,0.35847743,0.94076717,0.93390536,1.00015823,0.04956082,mnist,proposed,42
40,0.32184765,0.34729014,0.94452401,0.93760669,1.00128506,0.04844635,mnist,proposed,42
41,0.30900831,0.33348386,0.94645935,0.93948923,1.0011216,0.04596175,mnist,proposed,42
42,0.29020928,0.31324005,0.95081175,0.9437914,0.99969712,0.04469875,mnist,proposed,42
43,0.27691155,0.2989284,0.95552947,0.94846135,0.99873409,0.04308121,mnist,proposed,42
44,0.26102944,0.28182175,0.95548386,0.94837028,1.0021216,0.04170429,mnist,proposed,42
45,0.24464654,0.26416901,0.95847018,0.95131337,0.99814038,0.04051254,mnist,proposed,42
46,0.24293953,0.26235999,0.96130542,0.95410749,0.99972934,0.03930624,mnist,proposed,42
47,0.23942068,0.25859291,0.9649131,0.95767605,0.99802843,0.03854935,mnist,proposed,42
48,0.21346711,0.23058994,0.96565332,0.95837907,1.0012286,0.03655026,mnist,proposed,42
49,0.20811434,0.22483543,0.96990794,0.96259829,0.99932901,0.03622154,mnist,proposed,42
50,0.19566495,0.21141124,0.96921893,0.96187561,1.00195916,0.03531851,mnist,proposed,42
