dataset,model,seed,sigma_phi_rad,accuracy,accuracy_drop_from_clean
cifar10,proposed,42,0.0,0.741581,0.000419
cifar10,proposed,42,0.01,0.740783,0.001217
cifar10,proposed,42,0.02,0.738721,0.003279
cifar10,proposed,42,0.03,0.735334,0.006666
cifar10,proposed,42,0.04,0.732891,0.009109
cifar10,proposed,42,0.05,0.731556,0.010444
cifar10,proposed,42,0.06,0.728908,0.013092
cifar10,proposed,42,0.08,0.72398,0.01802
cifar10,proposed,42,0.1,0.71895,0.02305
cifar10,proposed,42,0.12,0.712096,0.029904
cifar10,proposed,42,0.15,0.703035,0.038965
cifar10,fixed_phase,42,0.0,0.706169,0.000215
cifar10,fixed_phase,42,0.01,0.704077,0.002307
cifar10,fixed_phase,42,0.02,0.698277,0.008107
cifar10,fixed_phase,42,0.03,0.693708,0.012676
cifar10,fixed_phase,42,0.04,0.68954,0.016844
cifar10,fixed_phase,42,0.05,0.685476,0.020908
cifar10,fixed_phase,42,0.06,0.678572,0.027812
cifar10,fixed_phase,42,0.08,0.665096,0.041288
cifar10,fixed_phase,42,0.1,0.650192,0.056192
cifar10,fixed_phase,42,0.12,0.632563,0.073821
cifar10,fixed_phase,42,0.15,0.605051,0.101333
cifar10,fixed_amplitude,42,0.0,0.700876,0.001798
cifar10,fixed_amplitude,42,0.01,0.698322,0.004352
cifar10,fixed_amplitude,42,0.02,0.69422,0.008454
cifar10,fixed_amplitude,42,0.03,0.689981,0.012693
cifar10,fixed_amplitude,42,0.04,0.685,0.017674
cifar10,fixed_amplitude,42,0.05,0.679393,0.023281
cifar10,fixed_amplitude,42,0.06,0.67255,0.030124
cifar10,fixed_amplitude,42,0.08,0.658766,0.043908
cifar10,fixed_amplitude,42,0.1,0.64367,0.059004
cifar10,fixed_amplitude,42,0.12,0.625093,0.077581
cifar10,fixed_amplitude,42,0.15,0.594115,0.108559
cifar10,random_unitary,42,0.0,0.667237,0.000563
cifar10,random_unitary,42,0.01,0.663801,0.003999
cifar10,random_unitary,42,0.02,0.660663,0.007137
cifar10,random_unitary,42,0.03,0.651966,0.015834
cifar10,random_unitary,42,0.04,0.645529,0.022271
cifar10,random_unitary,42,0.05,0.637775,0.030025
cifar10,random_unitary,42,0.06,0.627976,0.039824
cifar10,random_unitary,42,0.08,0.607997,0.059803
cifar10,random_unitary,42,0.1,0.58541,0.08239
cifar10,random_unitary,42,0.12,0.561429,0.106371
cifar10,random_unitary,42,0.15,0.518608,0.149192
cifar10,mlp,42,0.0,0.730282,0.000588
cifar10,mlp,42,0.01,0.725816,0.005054
cifar10,mlp,42,0.02,0.724839,0.006031
cifar10,mlp,42,0.03,0.718468,0.012402
cifar10,mlp,42,0.04,0.714048,0.016822
cifar10,mlp,42,0.05,0.712541,0.018329
cifar10,mlp,42,0.06,0.707223,0.023647
cifar10,mlp,42,0.08,0.693529,0.037341
cifar10,mlp,42,0.1,0.679732,0.051138
cifar10,mlp,42,0.12,0.666899,0.063971
cifar10,mlp,42,0.15,0.643946,0.086924
cifar10,cnn,42,0.0,0.744833,0.000877
cifar10,cnn,42,0.01,0.74411,0.0016
cifar10,cnn,42,0.02,0.740509,0.005201
cifar10,cnn,42,0.03,0.73478,0.01093
cifar10,cnn,42,0.04,0.731747,0.013963
cifar10,cnn,42,0.05,0.729042,0.016668
cifar10,cnn,42,0.06,0.722322,0.023388
cifar10,cnn,42,0.08,0.711027,0.034683
cifar10,cnn,42,0.1,0.7003,0.04541
cifar10,cnn,42,0.12,0.691914,0.053796
cifar10,cnn,42,0.15,0.67234,0.07337
