dataset,model,seed,insertion_loss_db_per_mode,accuracy,accuracy_drop_from_clean
qam16,proposed,42,0.0,0.953049,0.000951
qam16,proposed,42,0.5,0.949324,0.004676
qam16,proposed,42,1.0,0.944671,0.009329
qam16,proposed,42,1.5,0.940562,0.013438
qam16,proposed,42,2.0,0.935978,0.018022
qam16,proposed,42,3.0,0.926528,0.027472
qam16,proposed,42,4.0,0.914785,0.039215
qam16,proposed,42,5.0,0.899269,0.054731
qam16,fixed_phase,42,0.0,0.907708,0.0005
qam16,fixed_phase,42,0.5,0.897723,0.010485
qam16,fixed_phase,42,1.0,0.885847,0.022361
qam16,fixed_phase,42,1.5,0.875828,0.03238
qam16,fixed_phase,42,2.0,0.861156,0.047052
qam16,fixed_phase,42,3.0,0.833291,0.074917
qam16,fixed_phase,42,4.0,0.805013,0.103195
qam16,fixed_phase,42,5.0,0.768326,0.139882
qam16,fixed_amplitude,42,0.0,0.903253,0.000185
qam16,fixed_amplitude,42,0.5,0.894262,0.009176
qam16,fixed_amplitude,42,1.0,0.881354,0.022084
qam16,fixed_amplitude,42,1.5,0.870895,0.032543
qam16,fixed_amplitude,42,2.0,0.856226,0.047212
qam16,fixed_amplitude,42,3.0,0.824746,0.078692
qam16,fixed_amplitude,42,4.0,0.789767,0.113671
qam16,fixed_amplitude,42,5.0,0.755838,0.1476
qam16,random_unitary,42,0.0,0.859468,-0.000868
qam16,random_unitary,42,0.5,0.847061,0.011539
qam16,random_unitary,42,1.0,0.831745,0.026855
qam16,random_unitary,42,1.5,0.816423,0.042177
qam16,random_unitary,42,2.0,0.793631,0.064969
qam16,random_unitary,42,3.0,0.755689,0.102911
qam16,random_unitary,42,4.0,0.706017,0.152583
qam16,random_unitary,42,5.0,0.661944,0.196656
qam16,mlp,42,0.0,0.938523,0.001167
qam16,mlp,42,0.5,0.930329,0.009361
qam16,mlp,42,1.0,0.919832,0.019858
qam16,mlp,42,1.5,0.911008,0.028682
qam16,mlp,42,2.0,0.902072,0.037618
qam16,mlp,42,3.0,0.874674,0.065016
qam16,mlp,42,4.0,0.843331,0.096359
qam16,mlp,42,5.0,0.821387,0.118303
qam16,cnn,42,0.0,0.95941,-0.00064
qam16,cnn,42,0.5,0.952182,0.006588
qam16,cnn,42,1.0,0.943756,0.015014
qam16,cnn,42,1.5,0.935736,0.023034
qam16,cnn,42,2.0,0.925454,0.033316
qam16,cnn,42,3.0,0.902652,0.056118
qam16,cnn,42,4.0,0.87848,0.08029
qam16,cnn,42,5.0,0.856128,0.102642
