dataset,model,seed,condition,phase_noise_sigma_rad,insertion_loss_db_per_mode,accuracy,accuracy_drop
circles,proposed,42,clean,0.0,0.0,0.968329,0.0
circles,proposed,42,hardware_noise,0.05,1.0,0.935382,0.032946
circles,proposed,123,clean,0.0,0.0,0.96673,0.0
circles,proposed,123,hardware_noise,0.05,1.0,0.932737,0.033993
circles,proposed,256,clean,0.0,0.0,0.965975,0.0
circles,proposed,256,hardware_noise,0.05,1.0,0.930524,0.035452
circles,proposed,512,clean,0.0,0.0,0.969566,0.0
circles,proposed,512,hardware_noise,0.05,1.0,0.935258,0.034309
circles,proposed,1024,clean,0.0,0.0,0.96884,0.0
circles,proposed,1024,hardware_noise,0.05,1.0,0.93248,0.03636
circles,proposed,2024,clean,0.0,0.0,0.969923,0.0
circles,proposed,2024,hardware_noise,0.05,1.0,0.934373,0.035551
circles,proposed,4096,clean,0.0,0.0,0.967688,0.0
circles,proposed,4096,hardware_noise,0.05,1.0,0.93181,0.035878
circles,proposed,8192,clean,0.0,0.0,0.968271,0.0
circles,proposed,8192,hardware_noise,0.05,1.0,0.933182,0.03509
circles,fixed_phase,42,clean,0.0,0.0,0.922974,0.0
circles,fixed_phase,42,hardware_noise,0.05,1.0,0.877942,0.045032
circles,fixed_phase,123,clean,0.0,0.0,0.922228,0.0
circles,fixed_phase,123,hardware_noise,0.05,1.0,0.882421,0.039807
circles,fixed_phase,256,clean,0.0,0.0,0.920867,0.0
circles,fixed_phase,256,hardware_noise,0.05,1.0,0.877414,0.043453
circles,fixed_phase,512,clean,0.0,0.0,0.92173,0.0
circles,fixed_phase,512,hardware_noise,0.05,1.0,0.877366,0.044364
circles,fixed_phase,1024,clean,0.0,0.0,0.919602,0.0
circles,fixed_phase,1024,hardware_noise,0.05,1.0,0.877409,0.042193
circles,fixed_phase,2024,clean,0.0,0.0,0.920357,0.0
circles,fixed_phase,2024,hardware_noise,0.05,1.0,0.875666,0.044691
circles,fixed_phase,4096,clean,0.0,0.0,0.922545,0.0
circles,fixed_phase,4096,hardware_noise,0.05,1.0,0.874889,0.047656
circles,fixed_phase,8192,clean,0.0,0.0,0.919254,0.0
circles,fixed_phase,8192,hardware_noise,0.05,1.0,0.877315,0.041939
circles,fixed_amplitude,42,clean,0.0,0.0,0.918572,0.0
circles,fixed_amplitude,42,hardware_noise,0.05,1.0,0.875967,0.042605
circles,fixed_amplitude,123,clean,0.0,0.0,0.916908,0.0
circles,fixed_amplitude,123,hardware_noise,0.05,1.0,0.873766,0.043142
circles,fixed_amplitude,256,clean,0.0,0.0,0.914728,0.0
circles,fixed_amplitude,256,hardware_noise,0.05,1.0,0.870982,0.043747
circles,fixed_amplitude,512,clean,0.0,0.0,0.916094,0.0
circles,fixed_amplitude,512,hardware_noise,0.05,1.0,0.869382,0.046712
circles,fixed_amplitude,1024,clean,0.0,0.0,0.915642,0.0
circles,fixed_amplitude,1024,hardware_noise,0.05,1.0,0.872949,0.042692
circles,fixed_amplitude,2024,clean,0.0,0.0,0.919514,0.0
circles,fixed_amplitude,2024,hardware_noise,0.05,1.0,0.878215,0.041299
circles,fixed_amplitude,4096,clean,0.0,0.0,0.917608,0.0
circles,fixed_amplitude,4096,hardware_noise,0.05,1.0,0.870792,0.046816
circles,fixed_amplitude,8192,clean,0.0,0.0,0.917753,0.0
circles,fixed_amplitude,8192,hardware_noise,0.05,1.0,0.875041,0.042712
circles,random_unitary,42,clean,0.0,0.0,0.871341,0.0
circles,random_unitary,42,hardware_noise,0.05,1.0,0.819592,0.05175
circles,random_unitary,123,clean,0.0,0.0,0.870943,0.0
circles,random_unitary,123,hardware_noise,0.05,1.0,0.82275,0.048193
circles,random_unitary,256,clean,0.0,0.0,0.870918,0.0
circles,random_unitary,256,hardware_noise,0.05,1.0,0.821882,0.049035
circles,random_unitary,512,clean,0.0,0.0,0.868662,0.0
circles,random_unitary,512,hardware_noise,0.05,1.0,0.817132,0.05153
circles,random_unitary,1024,clean,0.0,0.0,0.871638,0.0
circles,random_unitary,1024,hardware_noise,0.05,1.0,0.822361,0.049277
circles,random_unitary,2024,clean,0.0,0.0,0.871785,0.0
circles,random_unitary,2024,hardware_noise,0.05,1.0,0.821926,0.049859
circles,random_unitary,4096,clean,0.0,0.0,0.873003,0.0
circles,random_unitary,4096,hardware_noise,0.05,1.0,0.822008,0.050995
circles,random_unitary,8192,clean,0.0,0.0,0.870186,0.0
circles,random_unitary,8192,hardware_noise,0.05,1.0,0.820757,0.049429
circles,mlp,42,clean,0.0,0.0,0.950869,0.0
circles,mlp,42,hardware_noise,0.05,1.0,0.910115,0.040755
