dataset,model,seed,adc_bits,accuracy
circles,proposed,42,4,0.949796
circles,proposed,42,6,0.958782
circles,proposed,42,8,0.965963
circles,proposed,42,10,0.964345
circles,proposed,42,12,0.964105
circles,proposed,42,16,0.967356
circles,proposed,123,4,0.951409
circles,proposed,123,6,0.959141
circles,proposed,123,8,0.965121
circles,proposed,123,10,0.966078
circles,proposed,123,12,0.967241
circles,proposed,123,16,0.967904
circles,proposed,256,4,0.951121
circles,proposed,256,6,0.959813
circles,proposed,256,8,0.965197
circles,proposed,256,10,0.96439
circles,proposed,256,12,0.963916
circles,proposed,256,16,0.967366
circles,proposed,512,4,0.951411
circles,proposed,512,6,0.959348
circles,proposed,512,8,0.96433
circles,proposed,512,10,0.966243
circles,proposed,512,12,0.96598
circles,proposed,512,16,0.966146
circles,proposed,1024,4,0.950865
circles,proposed,1024,6,0.957486
circles,proposed,1024,8,0.962893
circles,proposed,1024,10,0.967621
circles,proposed,1024,12,0.967991
circles,proposed,1024,16,0.965773
circles,proposed,2024,4,0.953539
circles,proposed,2024,6,0.959219
circles,proposed,2024,8,0.962683
circles,proposed,2024,10,0.965957
circles,proposed,2024,12,0.964821
circles,proposed,2024,16,0.967577
circles,proposed,4096,4,0.951063
circles,proposed,4096,6,0.959684
circles,proposed,4096,8,0.965152
circles,proposed,4096,10,0.964769
circles,proposed,4096,12,0.965633
circles,proposed,4096,16,0.968235
circles,proposed,8192,4,0.949471
circles,proposed,8192,6,0.958477
circles,proposed,8192,8,0.964827
circles,proposed,8192,10,0.965351
circles,proposed,8192,12,0.964806
circles,proposed,8192,16,0.966534
circles,fixed_phase,42,4,0.900059
circles,fixed_phase,42,6,0.910748
circles,fixed_phase,42,8,0.917567
circles,fixed_phase,42,10,0.9198
circles,fixed_phase,42,12,0.918306
circles,fixed_phase,42,16,0.920251
circles,fixed_phase,123,4,0.901943
circles,fixed_phase,123,6,0.909547
circles,fixed_phase,123,8,0.917418
circles,fixed_phase,123,10,0.919228
circles,fixed_phase,123,12,0.920095
circles,fixed_phase,123,16,0.918741
circles,fixed_phase,256,4,0.902738
circles,fixed_phase,256,6,0.908796
circles,fixed_phase,256,8,0.9165
circles,fixed_phase,256,10,0.917889
circles,fixed_phase,256,12,0.919915
circles,fixed_phase,256,16,0.919095
circles,fixed_phase,512,4,0.900452
circles,fixed_phase,512,6,0.910372
circles,fixed_phase,512,8,0.916643
circles,fixed_phase,512,10,0.918485
circles,fixed_phase,512,12,0.918998
circles,fixed_phase,512,16,0.92003
circles,fixed_phase,1024,4,0.901486
circles,fixed_phase,1024,6,0.910266
circles,fixed_phase,1024,8,0.91751
circles,fixed_phase,1024,10,0.918551
circles,fixed_phase,1024,12,0.919852
circles,fixed_phase,1024,16,0.92028
circles,fixed_phase,2024,4,0.901343
circles,fixed_phase,2024,6,0.91034
circles,fixed_phase,2024,8,0.918706
circles,fixed_phase,2024,10,0.919385
circles,fixed_phase,2024,12,0.919564
circles,fixed_phase,2024,16,0.919599
circles,fixed_phase,4096,4,0.900948
circles,fixed_phase,4096,6,0.910335
circles,fixed_phase,4096,8,0.916139
circles,fixed_phase,4096,10,0.919461
circles,fixed_phase,4096,12,0.919081
circles,fixed_phase,4096,16,0.919868
circles,fixed_phase,8192,4,0.900187
circles,fixed_phase,8192,6,0.909579
circles,fixed_phase,8192,8,0.916584
circles,fixed_phase,8192,10,0.917527
circles,fixed_phase,8192,12,0.917924
circles,fixed_phase,8192,16,0.920332
circles,fixed_amplitude,42,4,0.896447
circles,fixed_amplitude,42,6,0.903685
circles,fixed_amplitude,42,8,0.912111
circles,fixed_amplitude,42,10,0.914802
circles,fixed_amplitude,42,12,0.914216
circles,fixed_amplitude,42,16,0.915983
circles,fixed_amplitude,123,4,0.896809
circles,fixed_amplitude,123,6,0.905341
circles,fixed_amplitude,123,8,0.911951
circles,fixed_amplitude,123,10,0.914821
circles,fixed_amplitude,123,12,0.916067
circles,fixed_amplitude,123,16,0.915379
circles,fixed_amplitude,256,4,0.896491
circles,fixed_amplitude,256,6,0.904721
circles,fixed_amplitude,256,8,0.911887
circles,fixed_amplitude,256,10,0.915203
