dataset,model,seed,insertion_loss_db_per_mode,accuracy,accuracy_drop_from_clean
circles,proposed,42,0.0,0.966848,0.001152
circles,proposed,42,0.5,0.966501,0.001499
circles,proposed,42,1.0,0.960454,0.007546
circles,proposed,42,1.5,0.954004,0.013996
circles,proposed,42,2.0,0.950198,0.017802
circles,proposed,42,3.0,0.937367,0.030633
circles,proposed,42,4.0,0.926232,0.041768
circles,proposed,42,5.0,0.916261,0.051739
circles,proposed,123,0.0,0.968874,-0.000874
circles,proposed,123,0.5,0.961946,0.006054
circles,proposed,123,1.0,0.958154,0.009846
circles,proposed,123,1.5,0.952589,0.015411
circles,proposed,123,2.0,0.950344,0.017656
circles,proposed,123,3.0,0.937375,0.030625
circles,proposed,123,4.0,0.928118,0.039882
circles,proposed,123,5.0,0.911535,0.056465
circles,proposed,256,0.0,0.964607,0.003393
circles,proposed,256,0.5,0.966438,0.001562
circles,proposed,256,1.0,0.960768,0.007232
circles,proposed,256,1.5,0.952103,0.015897
circles,proposed,256,2.0,0.946993,0.021007
circles,proposed,256,3.0,0.938092,0.029908
circles,proposed,256,4.0,0.926242,0.041758
circles,proposed,256,5.0,0.9132,0.0548
circles,proposed,512,0.0,0.964322,0.003678
circles,proposed,512,0.5,0.964473,0.003527
circles,proposed,512,1.0,0.959615,0.008385
circles,proposed,512,1.5,0.957702,0.010298
circles,proposed,512,2.0,0.948019,0.019981
circles,proposed,512,3.0,0.941457,0.026543
circles,proposed,512,4.0,0.926533,0.041467
circles,proposed,512,5.0,0.915174,0.052826
circles,proposed,1024,0.0,0.967985,1.5e-05
circles,proposed,1024,0.5,0.964717,0.003283
circles,proposed,1024,1.0,0.95992,0.00808
circles,proposed,1024,1.5,0.953498,0.014502
circles,proposed,1024,2.0,0.9507,0.0173
circles,proposed,1024,3.0,0.938038,0.029962
circles,proposed,1024,4.0,0.925572,0.042428
circles,proposed,1024,5.0,0.913706,0.054294
circles,proposed,2024,0.0,0.970611,-0.002611
circles,proposed,2024,0.5,0.968999,-0.000999
circles,proposed,2024,1.0,0.958597,0.009403
circles,proposed,2024,1.5,0.954145,0.013855
circles,proposed,2024,2.0,0.950454,0.017546
circles,proposed,2024,3.0,0.937204,0.030796
circles,proposed,2024,4.0,0.927636,0.040364
circles,proposed,2024,5.0,0.913781,0.054219
circles,proposed,4096,0.0,0.966898,0.001102
circles,proposed,4096,0.5,0.961489,0.006511
circles,proposed,4096,1.0,0.959615,0.008385
circles,proposed,4096,1.5,0.954002,0.013998
circles,proposed,4096,2.0,0.947721,0.020279
circles,proposed,4096,3.0,0.938254,0.029746
circles,proposed,4096,4.0,0.926634,0.041366
circles,proposed,4096,5.0,0.914182,0.053818
circles,proposed,8192,0.0,0.968223,-0.000223
circles,proposed,8192,0.5,0.964363,0.003637
circles,proposed,8192,1.0,0.956117,0.011883
circles,proposed,8192,1.5,0.951031,0.016969
circles,proposed,8192,2.0,0.94892,0.01908
circles,proposed,8192,3.0,0.935783,0.032217
circles,proposed,8192,4.0,0.925177,0.042823
circles,proposed,8192,5.0,0.914199,0.053801
circles,fixed_phase,42,0.0,0.920886,0.00065
circles,fixed_phase,42,0.5,0.912583,0.008953
circles,fixed_phase,42,1.0,0.89978,0.021756
circles,fixed_phase,42,1.5,0.890919,0.030617
circles,fixed_phase,42,2.0,0.875603,0.045933
circles,fixed_phase,42,3.0,0.84753,0.074006
circles,fixed_phase,42,4.0,0.816612,0.104924
circles,fixed_phase,42,5.0,0.783811,0.137725
circles,fixed_phase,123,0.0,0.92361,-0.002074
circles,fixed_phase,123,0.5,0.910852,0.010684
circles,fixed_phase,123,1.0,0.901155,0.020381
circles,fixed_phase,123,1.5,0.888957,0.032579
circles,fixed_phase,123,2.0,0.874635,0.046901
circles,fixed_phase,123,3.0,0.848119,0.073417
circles,fixed_phase,123,4.0,0.816608,0.104928
circles,fixed_phase,123,5.0,0.78261,0.138926
circles,fixed_phase,256,0.0,0.920338,0.001198
circles,fixed_phase,256,0.5,0.912857,0.008679
circles,fixed_phase,256,1.0,0.899966,0.02157
circles,fixed_phase,256,1.5,0.889623,0.031913
circles,fixed_phase,256,2.0,0.874876,0.04666
circles,fixed_phase,256,3.0,0.848477,0.073059
circles,fixed_phase,256,4.0,0.814165,0.107371
circles,fixed_phase,256,5.0,0.782582,0.138954
circles,fixed_phase,512,0.0,0.920984,0.000552
circles,fixed_phase,512,0.5,0.909896,0.01164
circles,fixed_phase,512,1.0,0.898499,0.023037
circles,fixed_phase,512,1.5,0.891707,0.029829
circles,fixed_phase,512,2.0,0.873965,0.047571
circles,fixed_phase,512,3.0,0.848454,0.073082
circles,fixed_phase,512,4.0,0.813955,0.107581
circles,fixed_phase,512,5.0,0.782539,0.138997
circles,fixed_phase,1024,0.0,0.92237,-0.000834
circles,fixed_phase,1024,0.5,0.9132,0.008336
circles,fixed_phase,1024,1.0,0.902169,0.019367
circles,fixed_phase,1024,1.5,0.891707,0.029829
circles,fixed_phase,1024,2.0,0.876268,0.045268
circles,fixed_phase,1024,3.0,0.84775,0.073786
circles,fixed_phase,1024,4.0,0.815369,0.106167
circles,fixed_phase,1024,5.0,0.783184,0.138352
circles,fixed_phase,2024,0.0,0.921542,-6e-06
circles,fixed_phase,2024,0.5,0.914879,0.006657
circles,fixed_phase,2024,1.0,0.903624,0.017912
circles,fixed_phase,2024,1.5,0.891068,0.030468
circles,fixed_phase,2024,2.0,0.874181,0.047355
circles,fixed_phase,2024,3.0,0.850515,0.071021
circles,fixed_phase,2024,4.0,0.817101,0.104435
circles,fixed_phase,2024,5.0,0.783781,0.137755
circles,fixed_phase,4096,0.0,0.91963,0.001906
circles,fixed_phase,4096,0.5,0.911479,0.010057
circles,fixed_phase,4096,1.0,0.902202,0.019334
circles,fixed_phase,4096,1.5,0.88831,0.033226
circles,fixed_phase,4096,2.0,0.875484,0.046052
circles,fixed_phase,4096,3.0,0.848198,0.073338
circles,fixed_phase,4096,4.0,0.817688,0.103848
circles,fixed_phase,4096,5.0,0.784176,0.13736
circles,fixed_phase,8192,0.0,0.921385,0.000151
circles,fixed_phase,8192,0.5,0.911844,0.009692
circles,fixed_phase,8192,1.0,0.902072,0.019464
circles,fixed_phase,8192,1.5,0.887699,0.033837
circles,fixed_phase,8192,2.0,0.878324,0.043212
circles,fixed_phase,8192,3.0,0.846379,0.075157
circles,fixed_phase,8192,4.0,0.818101,0.103435
circles,fixed_phase,8192,5.0,0.784624,0.136912
circles,fixed_amplitude,42,0.0,0.91648,0.000216
circles,fixed_amplitude,42,0.5,0.909305,0.007391
circles,fixed_amplitude,42,1.0,0.894043,0.022653
circles,fixed_amplitude,42,1.5,0.884908,0.031788
circles,fixed_amplitude,42,2.0,0.869675,0.047021
circles,fixed_amplitude,42,3.0,0.838826,0.07787
circles,fixed_amplitude,42,4.0,0.805917,0.110779
circles,fixed_amplitude,42,5.0,0.770349,0.146347
circles,fixed_amplitude,123,0.0,0.917376,-0.00068
circles,fixed_amplitude,123,0.5,0.907455,0.009241
circles,fixed_amplitude,123,1.0,0.89817,0.018526
circles,fixed_amplitude,123,1.5,0.882282,0.034414
circles,fixed_amplitude,123,2.0,0.870354,0.046342
circles,fixed_amplitude,123,3.0,0.839275,0.077421
circles,fixed_amplitude,123,4.0,0.806127,0.110569
circles,fixed_amplitude,123,5.0,0.768632,0.148064
circles,fixed_amplitude,256,0.0,0.915222,0.001474
circles,fixed_amplitude,256,0.5,0.906432,0.010264
circles,fixed_amplitude,256,1.0,0.895676,0.02102
circles,fixed_amplitude,256,1.5,0.883591,0.033105
circles,fixed_amplitude,256,2.0,0.870249,0.046447
circles,fixed_amplitude,256,3.0,0.842311,0.074385
circles,fixed_amplitude,256,4.0,0.804166,0.11253
circles,fixed_amplitude,256,5.0,0.771261,0.145435
circles,fixed_amplitude,512,0.0,0.91736,-0.000664
circles,fixed_amplitude,512,0.5,0.908761,0.007935
circles,fixed_amplitude,512,1.0,0.897257,0.019439
circles,fixed_amplitude,512,1.5,0.880074,0.036622
circles,fixed_amplitude,512,2.0,0.868926,0.04777
circles,fixed_amplitude,512,3.0,0.838415,0.078281
circles,fixed_amplitude,512,4.0,0.806715,0.109981
circles,fixed_amplitude,512,5.0,0.772153,0.144543
circles,fixed_amplitude,1024,0.0,0.916879,-0.000183
circles,fixed_amplitude,1024,0.5,0.906477,0.010219
circles,fixed_amplitude,1024,1.0,0.896594,0.020102
circles,fixed_amplitude,1024,1.5,0.885934,0.030762
circles,fixed_amplitude,1024,2.0,0.86689,0.049806
circles,fixed_amplitude,1024,3.0,0.838739,0.077957
circles,fixed_amplitude,1024,4.0,0.804592,0.112104
circles,fixed_amplitude,1024,5.0,0.770753,0.145943
circles,fixed_amplitude,2024,0.0,0.917067,-0.000371
circles,fixed_amplitude,2024,0.5,0.907785,0.008911
circles,fixed_amplitude,2024,1.0,0.896507,0.020189
circles,fixed_amplitude,2024,1.5,0.883531,0.033165
circles,fixed_amplitude,2024,2.0,0.867301,0.049395
circles,fixed_amplitude,2024,3.0,0.836615,0.080081
circles,fixed_amplitude,2024,4.0,0.806485,0.110211
circles,fixed_amplitude,2024,5.0,0.769655,0.147041
circles,fixed_amplitude,4096,0.0,0.915309,0.001387
circles,fixed_amplitude,4096,0.5,0.907895,0.008801
circles,fixed_amplitude,4096,1.0,0.895816,0.02088
circles,fixed_amplitude,4096,1.5,0.882076,0.03462
circles,fixed_amplitude,4096,2.0,0.869996,0.0467
circles,fixed_amplitude,4096,3.0,0.837979,0.078717
circles,fixed_amplitude,4096,4.0,0.808461,0.108235
circles,fixed_amplitude,4096,5.0,0.76644,0.150256
circles,fixed_amplitude,8192,0.0,0.916867,-0.000171
circles,fixed_amplitude,8192,0.5,0.905918,0.010778
circles,fixed_amplitude,8192,1.0,0.892582,0.024114
circles,fixed_amplitude,8192,1.5,0.882116,0.03458
circles,fixed_amplitude,8192,2.0,0.871797,0.044899
circles,fixed_amplitude,8192,3.0,0.838487,0.078209
circles,fixed_amplitude,8192,4.0,0.80301,0.113686
circles,fixed_amplitude,8192,5.0,0.771923,0.144773
circles,random_unitary,42,0.0,0.868156,0.003044
circles,random_unitary,42,0.5,0.860313,0.010887
circles,random_unitary,42,1.0,0.844223,0.026977
circles,random_unitary,42,1.5,0.825386,0.045814
circles,random_unitary,42,2.0,0.806928,0.064272
circles,random_unitary,42,3.0,0.767778,0.103422
circles,random_unitary,42,4.0,0.722372,0.148828
circles,random_unitary,42,5.0,0.675284,0.195916
