dataset,model,seed,sigma_phi_rad,accuracy,accuracy_drop_from_clean
circles,proposed,42,0.0,0.968679,-0.000679
circles,proposed,42,0.01,0.967483,0.000517
circles,proposed,42,0.02,0.9635,0.0045
circles,proposed,42,0.03,0.960327,0.007673
circles,proposed,42,0.04,0.959314,0.008686
circles,proposed,42,0.05,0.957848,0.010152
circles,proposed,42,0.06,0.955604,0.012396
circles,proposed,42,0.08,0.951733,0.016267
circles,proposed,42,0.1,0.94247,0.02553
circles,proposed,42,0.12,0.936504,0.031496
circles,proposed,42,0.15,0.929712,0.038288
circles,proposed,123,0.0,0.967578,0.000422
circles,proposed,123,0.01,0.966218,0.001782
circles,proposed,123,0.02,0.962342,0.005658
circles,proposed,123,0.03,0.964019,0.003981
circles,proposed,123,0.04,0.959259,0.008741
circles,proposed,123,0.05,0.957291,0.010709
circles,proposed,123,0.06,0.955464,0.012536
circles,proposed,123,0.08,0.949788,0.018212
circles,proposed,123,0.1,0.94255,0.02545
circles,proposed,123,0.12,0.939454,0.028546
circles,proposed,123,0.15,0.929865,0.038135
circles,proposed,256,0.0,0.96897,-0.00097
circles,proposed,256,0.01,0.96696,0.00104
circles,proposed,256,0.02,0.964504,0.003496
circles,proposed,256,0.03,0.961107,0.006893
circles,proposed,256,0.04,0.960582,0.007418
circles,proposed,256,0.05,0.956679,0.011321
circles,proposed,256,0.06,0.95431,0.01369
circles,proposed,256,0.08,0.949079,0.018921
circles,proposed,256,0.1,0.943448,0.024552
circles,proposed,256,0.12,0.939057,0.028943
circles,proposed,256,0.15,0.931032,0.036968
circles,proposed,512,0.0,0.96743,0.00057
circles,proposed,512,0.01,0.967201,0.000799
circles,proposed,512,0.02,0.963123,0.004877
circles,proposed,512,0.03,0.962361,0.005639
circles,proposed,512,0.04,0.955717,0.012283
circles,proposed,512,0.05,0.957181,0.010819
circles,proposed,512,0.06,0.954217,0.013783
circles,proposed,512,0.08,0.948885,0.019115
circles,proposed,512,0.1,0.942421,0.025579
circles,proposed,512,0.12,0.937134,0.030866
circles,proposed,512,0.15,0.929676,0.038324
circles,proposed,1024,0.0,0.966763,0.001237
circles,proposed,1024,0.01,0.965568,0.002432
circles,proposed,1024,0.02,0.965246,0.002754
circles,proposed,1024,0.03,0.961326,0.006674
circles,proposed,1024,0.04,0.959111,0.008889
circles,proposed,1024,0.05,0.957067,0.010933
circles,proposed,1024,0.06,0.955509,0.012491
circles,proposed,1024,0.08,0.9485,0.0195
circles,proposed,1024,0.1,0.94563,0.02237
circles,proposed,1024,0.12,0.938897,0.029103
circles,proposed,1024,0.15,0.92743,0.04057
circles,proposed,2024,0.0,0.967956,4.4e-05
circles,proposed,2024,0.01,0.964459,0.003541
circles,proposed,2024,0.02,0.965694,0.002306
circles,proposed,2024,0.03,0.962818,0.005182
circles,proposed,2024,0.04,0.958025,0.009975
circles,proposed,2024,0.05,0.954435,0.013565
circles,proposed,2024,0.06,0.955644,0.012356
circles,proposed,2024,0.08,0.950825,0.017175
circles,proposed,2024,0.1,0.944267,0.023733
circles,proposed,2024,0.12,0.938538,0.029462
circles,proposed,2024,0.15,0.930382,0.037618
circles,proposed,4096,0.0,0.967526,0.000474
circles,proposed,4096,0.01,0.965441,0.002559
circles,proposed,4096,0.02,0.964044,0.003956
