epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.3548126,2.51931646,0.13932087,0.1389307,1.00258007,0.17735602,cifar10,cnn,2024
2,2.23636509,2.39333985,0.17603483,0.17527353,1.00482658,0.17239233,cifar10,cnn,2024
3,2.12423434,2.27403292,0.21851039,0.21739605,0.9999893,0.1656468,cifar10,cnn,2024
4,2.03127971,2.17517459,0.25063771,0.24918756,1.00197993,0.16027921,cifar10,cnn,2024
5,1.92846059,2.0656783,0.27612625,0.27435665,0.99851112,0.15464009,cifar10,cnn,2024
6,1.83016304,1.96095101,0.31453414,0.31246068,1.00256003,0.14922295,cifar10,cnn,2024
7,1.7481108,1.87356394,0.34547622,0.34311373,0.99840958,0.14404895,cifar10,cnn,2024
8,1.6711811,1.7916092,0.36096849,0.35833105,0.99841794,0.13947684,cifar10,cnn,2024
9,1.58204705,1.69651234,0.38817271,0.38527373,0.99746421,0.13527519,cifar10,cnn,2024
10,1.50493137,1.61424659,0.41668578,0.41353803,1.0023806,0.1329419,cifar10,cnn,2024
11,1.43350593,1.53803414,0.43486588,0.43148148,0.99912888,0.12579044,cifar10,cnn,2024
12,1.36817574,1.46831572,0.45274776,0.44913825,0.9996115,0.12234276,cifar10,cnn,2024
13,1.30821595,1.40431947,0.4728584,0.46903477,0.99791243,0.11723048,cifar10,cnn,2024
14,1.24503559,1.33682643,0.49505675,0.49102943,0.99847782,0.11381177,cifar10,cnn,2024
15,1.19041081,1.27848257,0.50811184,0.50389077,0.99917542,0.11067425,cifar10,cnn,2024
16,1.14140083,1.22613638,0.52482471,0.52041934,1.00083234,0.10590744,cifar10,cnn,2024
17,1.07384898,1.15383693,0.53913347,0.53455279,1.00080583,0.10251071,cifar10,cnn,2024
18,1.02632055,1.1030188,0.54943876,0.54469132,0.99935188,0.09927107,cifar10,cnn,2024
19,0.98871781,1.06284266,0.56815152,0.56324545,1.00114599,0.09634813,cifar10,cnn,2024
20,0.93276756,1.00291678,0.57463541,0.56957844,1.00100182,0.09274158,cifar10,cnn,2024
21,0.89146781,0.95871629,0.58361245,0.57841196,1.00151756,0.09050345,cifar10,cnn,2024
22,0.85023936,0.9145697,0.60132213,0.59598509,1.00239659,0.08709981,cifar10,cnn,2024
23,0.81963265,0.88182869,0.60684666,0.60137975,0.9985978,0.08430665,cifar10,cnn,2024
24,0.78487707,0.84460614,0.61972823,0.61413779,1.0041405,0.08082274,cifar10,cnn,2024
25,0.74019681,0.79668328,0.62870031,0.62299235,1.00196749,0.07852627,cifar10,cnn,2024
26,0.71390464,0.7685337,0.63477629,0.62895655,1.00130255,0.07613583,cifar10,cnn,2024
27,0.68105087,0.73330531,0.64130054,0.63537446,1.00073766,0.07339313,cifar10,cnn,2024
28,0.65438235,0.70472195,0.65127619,0.64524897,0.99943525,0.07083687,cifar10,cnn,2024
29,0.61829619,0.66598148,0.65781604,0.6516926,0.99961923,0.06864168,cifar10,cnn,2024
30,0.59271323,0.63853985,0.66605949,0.65984453,0.99742533,0.06600639,cifar10,cnn,2024
31,0.56887323,0.61296426,0.67084429,0.66454227,1.00054961,0.06540684,cifar10,cnn,2024
32,0.53943454,0.58134398,0.67764716,0.67126233,1.00140544,0.06278989,cifar10,cnn,2024
33,0.51789278,0.55822284,0.67948024,0.67301664,0.99763414,0.06051134,cifar10,cnn,2024
34,0.49625384,0.53498732,0.68599944,0.67946091,0.99989893,0.05792896,cifar10,cnn,2024
35,0.47409398,0.51118077,0.6893131,0.68270329,0.99883232,0.05590809,cifar10,cnn,2024
36,0.45992435,0.49598158,0.6932327,0.68655509,0.99967186,0.05411198,cifar10,cnn,2024
37,0.44282905,0.4776205,0.69400631,0.6872642,0.99832399,0.05367453,cifar10,cnn,2024
38,0.42340189,0.45673683,0.70289616,0.69609271,0.99826434,0.05086498,cifar10,cnn,2024
39,0.40619528,0.43824119,0.70310497,0.69624316,1.00068482,0.04991759,cifar10,cnn,2024
40,0.39588581,0.42718113,0.70890433,0.70198702,1.00118209,0.04846757,cifar10,cnn,2024
41,0.37401226,0.40363657,0.71258468,0.70561456,0.99675558,0.04617106,cifar10,cnn,2024
42,0.36696512,0.39608717,0.71403628,0.70701593,0.99968921,0.04539757,cifar10,cnn,2024
43,0.34132377,0.36846193,0.71786006,0.71079194,1.00208731,0.04397019,cifar10,cnn,2024
44,0.33017895,0.35647937,0.71817799,0.71106442,1.00063248,0.04240317,cifar10,cnn,2024
45,0.32956528,0.35586416,0.7243468,0.71718999,1.00243646,0.04081909,cifar10,cnn,2024
46,0.3138276,0.33891483,0.72438994,0.71719201,0.99929374,0.03986764,cifar10,cnn,2024
47,0.29483062,0.31843995,0.72680279,0.71956574,0.99986382,0.0384969,cifar10,cnn,2024
48,0.28775442,0.31083606,0.72858178,0.72130752,0.99848182,0.03707705,cifar10,cnn,2024
49,0.27609376,0.2982767,0.72948474,0.72217509,1.0027209,0.03551374,cifar10,cnn,2024
50,0.27012475,0.29186325,0.73170979,0.72436647,0.99981424,0.03465929,cifar10,cnn,2024
51,0.25684628,0.27754895,0.7338785,0.72650315,0.9996054,0.03377186,cifar10,cnn,2024
52,0.25192591,0.2722635,0.73361127,0.72620546,0.99810885,0.03223258,cifar10,cnn,2024
53,0.24113667,0.26063283,0.73588129,0.7284465,0.9951596,0.03159653,cifar10,cnn,2024
54,0.22658777,0.24493488,0.7383794,0.73091704,0.99916675,0.03083698,cifar10,cnn,2024
55,0.21951721,0.23731768,0.73782015,0.73033157,1.00153059,0.02979391,cifar10,cnn,2024
56,0.21413113,0.2315196,0.73946922,0.7319557,0.99884097,0.02862512,cifar10,cnn,2024
57,0.21466089,0.23211669,0.74214226,0.73460502,0.99983042,0.02887311,cifar10,cnn,2024
58,0.19872063,0.21490228,0.74136235,0.73380254,0.99786624,0.02709313,cifar10,cnn,2024
59,0.1942747,0.21011548,0.74269788,0.7351166,0.99883284,0.0261202,cifar10,cnn,2024
60,0.19225307,0.20794953,0.7445376,0.7369359,0.99859777,0.02516596,cifar10,cnn,2024
61,0.18210935,0.19699669,0.74599495,0.73837382,0.99843213,0.02515407,cifar10,cnn,2024
62,0.18880292,0.20425684,0.74540803,0.73776842,0.99577237,0.02613436,cifar10,cnn,2024
63,0.17888096,0.19354074,0.7456762,0.73801901,0.99883738,0.02363134,cifar10,cnn,2024
64,0.16657491,0.18024261,0.74590148,0.73822758,1.00343204,0.02329928,cifar10,cnn,2024
65,0.17316151,0.18738639,0.74784253,0.74015273,0.99817734,0.02215927,cifar10,cnn,2024
66,0.16185323,0.1751645,0.74704727,0.73934233,1.00079823,0.02130662,cifar10,cnn,2024
67,0.15573198,0.1685543,0.74852989,0.74081057,1.00184898,0.02093796,cifar10,cnn,2024
68,0.15891214,0.17201078,0.75078989,0.74305688,1.00035899,0.0203595,cifar10,cnn,2024
69,0.15037429,0.16278261,0.74925532,0.74150929,1.00021966,0.01908774,cifar10,cnn,2024
70,0.14316153,0.15498722,0.75122783,0.74346941,1.00118384,0.01898154,cifar10,cnn,2024
71,0.13957696,0.15111853,0.74980525,0.74203505,1.00063528,0.01931526,cifar10,cnn,2024
72,0.14856701,0.16086447,0.75171106,0.74392965,1.00093785,0.01950446,cifar10,cnn,2024
73,0.14775247,0.1599947,0.75170408,0.74391201,1.00252702,0.01728112,cifar10,cnn,2024
74,0.14125702,0.15297248,0.75142744,0.74362522,1.00241807,0.0171924,cifar10,cnn,2024
75,0.13901887,0.15055973,0.75318677,0.74537491,1.0005028,0.01667455,cifar10,cnn,2024
76,0.13286099,0.14390098,0.75182667,0.74400563,1.0024832,0.01569321,cifar10,cnn,2024
77,0.12893896,0.13966287,0.75280661,0.74497685,1.00036958,0.01703957,cifar10,cnn,2024
78,0.12649993,0.13703044,0.75280694,0.74496887,1.00252291,0.01511989,cifar10,cnn,2024
79,0.11934139,0.12928473,0.75372366,0.7458777,0.99783699,0.0146593,cifar10,cnn,2024
80,0.12229901,0.13249756,0.75385543,0.74600195,1.00056766,0.0142246,cifar10,cnn,2024
81,0.11684392,0.12659579,0.75482913,0.74696851,0.99763901,0.01439837,cifar10,cnn,2024
82,0.12565998,0.13615631,0.75419616,0.74632874,0.99834765,0.01362663,cifar10,cnn,2024
83,0.12072465,0.1308169,0.7540427,0.74616881,1.00160788,0.01339198,cifar10,cnn,2024
84,0.1096009,0.11877051,0.75434714,0.7464671,0.99977328,0.01257659,cifar10,cnn,2024
85,0.11170737,0.12106047,0.7547249,0.74683901,0.99937542,0.01280343,cifar10,cnn,2024
86,0.10942701,0.11859615,0.75596302,0.74807157,0.99833298,0.01298408,cifar10,cnn,2024
87,0.1065186,0.1154507,0.75530649,0.74740974,1.00327759,0.01176152,cifar10,cnn,2024
88,0.10564492,0.11451023,0.75529784,0.74739606,0.99949132,0.01246041,cifar10,cnn,2024
89,0.10878106,0.11791607,0.7559648,0.74805823,1.0023868,0.01182085,cifar10,cnn,2024
90,0.10263717,0.11126228,0.75520902,0.7472979,0.99831316,0.01159402,cifar10,cnn,2024
91,0.09801844,0.10626107,0.7557477,0.74783224,0.9992706,0.01142856,cifar10,cnn,2024
92,0.10004075,0.1084591,0.75588172,0.74796214,1.00083045,0.01134489,cifar10,cnn,2024
93,0.09489533,0.10288596,0.75698969,0.74906618,0.99912727,0.009971,cifar10,cnn,2024
94,0.09956793,0.10795743,0.75533043,0.74740319,1.00140369,0.00983942,cifar10,cnn,2024
95,0.09948991,0.10787813,0.75596462,0.74803383,1.00108141,0.01055252,cifar10,cnn,2024
96,0.09714749,0.10534329,0.756191,0.74825683,0.99840126,0.01131484,cifar10,cnn,2024
97,0.10399073,0.11276918,0.75605023,0.74811285,0.99771336,0.0104387,cifar10,cnn,2024
98,0.09063147,0.09828674,0.75654725,0.74860682,0.99808916,0.0088982,cifar10,cnn,2024
99,0.09735845,0.10558672,0.75666734,0.748724,0.9997845,0.00910153,cifar10,cnn,2024
100,0.09067606,0.09834393,0.75634271,0.74839661,0.99894263,0.00893549,cifar10,cnn,2024
