epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35484249,2.51934843,0.140537,0.14014684,0.99946537,0.17700999,cifar10,fixed_amplitude,8192
2,2.2400645,2.39729893,0.16630491,0.16554361,0.99964436,0.1729085,cifar10,fixed_amplitude,8192
3,2.13837985,2.28917595,0.19426437,0.19315003,1.00188914,0.16655373,cifar10,fixed_amplitude,8192
4,2.03307356,2.17709552,0.21996609,0.21851594,0.99947091,0.16019241,cifar10,fixed_amplitude,8192
5,1.93770743,2.0755831,0.2529378,0.2511682,1.00242513,0.15456882,cifar10,fixed_amplitude,8192
6,1.85167931,1.98400488,0.27429634,0.27222288,1.00173274,0.14958296,cifar10,fixed_amplitude,8192
7,1.76129949,1.88769912,0.29683675,0.29447426,1.00330255,0.14399697,cifar10,fixed_amplitude,8192
8,1.68148162,1.802652,0.32331156,0.32067412,1.00143306,0.13959222,cifar10,fixed_amplitude,8192
9,1.60064993,1.71646119,0.33659926,0.33370029,1.00252035,0.13586889,cifar10,fixed_amplitude,8192
10,1.52867964,1.63971989,0.36325902,0.36011127,0.99856525,0.1300544,cifar10,fixed_amplitude,8192
11,1.45298006,1.55892828,0.38259028,0.37920588,1.00036411,0.12660443,cifar10,fixed_amplitude,8192
12,1.3960201,1.49819808,0.39867492,0.39506542,0.99661473,0.12391398,cifar10,fixed_amplitude,8192
13,1.32429344,1.42157804,0.41373846,0.40991482,1.00047242,0.11783793,cifar10,fixed_amplitude,8192
14,1.25760822,1.35032598,0.43143178,0.42740446,1.00111809,0.11434679,cifar10,fixed_amplitude,8192
15,1.21055654,1.30011877,0.44992854,0.44570747,1.0023949,0.11172897,cifar10,fixed_amplitude,8192
16,1.14567382,1.23072658,0.46026593,0.45586056,0.99837741,0.10623871,cifar10,fixed_amplitude,8192
17,1.10228839,1.18439472,0.47027644,0.46569576,1.00124051,0.10236681,cifar10,fixed_amplitude,8192
18,1.04949899,1.12792939,0.48239158,0.47764414,0.99980346,0.09981851,cifar10,fixed_amplitude,8192
19,1.00288119,1.07806789,0.49460012,0.48969404,1.0006191,0.09683544,cifar10,fixed_amplitude,8192
20,0.96395468,1.03644933,0.50671647,0.50165951,1.00217009,0.09246262,cifar10,fixed_amplitude,8192
21,0.91835634,0.98763317,0.51604575,0.51084526,0.99874612,0.09123142,cifar10,fixed_amplitude,8192
22,0.87061673,0.93648884,0.52852534,0.52318831,1.00233622,0.08783014,cifar10,fixed_amplitude,8192
23,0.83229839,0.89545554,0.53577352,0.53030661,1.00086772,0.08438282,cifar10,fixed_amplitude,8192
24,0.79855544,0.85932543,0.54245223,0.53686179,0.99511417,0.08112252,cifar10,fixed_amplitude,8192
25,0.76407557,0.82238429,0.55204685,0.54633889,1.00052171,0.07871521,cifar10,fixed_amplitude,8192
26,0.72937451,0.78518735,0.56081651,0.55499676,1.00115077,0.07654996,cifar10,fixed_amplitude,8192
27,0.69785528,0.75139906,0.5688104,0.56288433,1.00157435,0.0735741,cifar10,fixed_amplitude,8192
28,0.67628997,0.72831486,0.57226571,0.56623848,1.00274679,0.07076747,cifar10,fixed_amplitude,8192
29,0.63967885,0.68901325,0.58576389,0.57964045,1.00000328,0.0691163,cifar10,fixed_amplitude,8192
30,0.62577643,0.67415938,0.58580207,0.57958711,1.00239396,0.06756054,cifar10,fixed_amplitude,8192
31,0.59072098,0.63650534,0.59301748,0.58671546,1.00212432,0.06429729,cifar10,fixed_amplitude,8192
32,0.56774163,0.6118503,0.59217984,0.58579501,1.00056808,0.06217687,cifar10,fixed_amplitude,8192
33,0.54903219,0.59178717,0.60114951,0.59468591,1.00367987,0.06062114,cifar10,fixed_amplitude,8192
34,0.51927879,0.55980941,0.60916617,0.60262764,0.99798383,0.05846064,cifar10,fixed_amplitude,8192
35,0.49894944,0.53798059,0.61066352,0.60405372,0.99571615,0.05669074,cifar10,fixed_amplitude,8192
36,0.48170072,0.51946517,0.61401606,0.60733845,0.99941863,0.05421335,cifar10,fixed_amplitude,8192
37,0.46277367,0.4991321,0.62088817,0.61414607,0.99893264,0.05408817,cifar10,fixed_amplitude,8192
38,0.44883245,0.48416957,0.62394812,0.61714467,0.99855073,0.05090327,cifar10,fixed_amplitude,8192
39,0.42326623,0.45665891,0.62727372,0.62041191,0.99685775,0.04916878,cifar10,fixed_amplitude,8192
40,0.41130641,0.44382074,0.62855123,0.62163391,0.99973522,0.0482972,cifar10,fixed_amplitude,8192
41,0.39222309,0.42328983,0.63292944,0.62595932,1.00351297,0.04740212,cifar10,fixed_amplitude,8192
42,0.38064218,0.41084963,0.639202,0.63218165,1.00132842,0.04626936,cifar10,fixed_amplitude,8192
43,0.36822336,0.39750027,0.63998136,0.63291324,0.99443917,0.04330522,cifar10,fixed_amplitude,8192
44,0.3516957,0.37971004,0.6402977,0.63318413,0.99950411,0.04229702,cifar10,fixed_amplitude,8192
45,0.34432873,0.37180571,0.64331363,0.63615682,0.99877877,0.0414909,cifar10,fixed_amplitude,8192
46,0.33327693,0.35991893,0.64621639,0.63901846,0.99908906,0.04023056,cifar10,fixed_amplitude,8192
47,0.32356827,0.34947883,0.65130992,0.64407287,1.00160646,0.03926126,cifar10,fixed_amplitude,8192
48,0.30740601,0.33206395,0.65125739,0.64398313,1.00188482,0.03769546,cifar10,fixed_amplitude,8192
49,0.29397586,0.31759555,0.65124531,0.64393565,0.99923053,0.03580779,cifar10,fixed_amplitude,8192
50,0.28829864,0.3114997,0.65299069,0.64564737,1.00198986,0.03521742,cifar10,fixed_amplitude,8192
51,0.27602875,0.29827759,0.65718745,0.64981211,0.99716825,0.03413046,cifar10,fixed_amplitude,8192
52,0.26805545,0.28969515,0.6564059,0.64900008,1.00288633,0.03221673,cifar10,fixed_amplitude,8192
53,0.26225123,0.28345453,0.65967763,0.65224284,0.9986128,0.03146609,cifar10,fixed_amplitude,8192
54,0.25199725,0.27240179,0.65817382,0.65071147,1.00140637,0.03028597,cifar10,fixed_amplitude,8192
55,0.24468596,0.26452735,0.66071769,0.65322912,1.0019224,0.03095935,cifar10,fixed_amplitude,8192
56,0.23989353,0.25937402,0.66298989,0.65547637,0.99705256,0.02848865,cifar10,fixed_amplitude,8192
57,0.235765,0.25493695,0.66387982,0.65634257,0.99831342,0.02782042,cifar10,fixed_amplitude,8192
58,0.22519388,0.24353122,0.66551351,0.65795369,0.99951073,0.027402,cifar10,fixed_amplitude,8192
59,0.21706676,0.23476596,0.66692807,0.65934679,1.00145165,0.02586776,cifar10,fixed_amplitude,8192
60,0.22168902,0.23978878,0.66665877,0.65905707,0.99974776,0.02545712,cifar10,fixed_amplitude,8192
61,0.20727316,0.22421763,0.66693621,0.65931508,1.00000554,0.02468655,cifar10,fixed_amplitude,8192
62,0.20659051,0.22350038,0.6686222,0.66098259,1.00239786,0.02447355,cifar10,fixed_amplitude,8192
63,0.197283,0.21345088,0.66894483,0.66128764,1.00257747,0.02322606,cifar10,fixed_amplitude,8192
64,0.19163384,0.20735765,0.67178259,0.66410869,1.00209466,0.02238954,cifar10,fixed_amplitude,8192
65,0.19026622,0.20589622,0.67095965,0.66326984,0.99797214,0.02372461,cifar10,fixed_amplitude,8192
66,0.18913353,0.20468841,0.67210343,0.66439849,1.00076791,0.02126617,cifar10,fixed_amplitude,8192
67,0.1779405,0.19259138,0.67237515,0.66465583,1.0008811,0.02096566,cifar10,fixed_amplitude,8192
68,0.19105347,0.20680142,0.6733997,0.66566668,0.99944032,0.01968875,cifar10,fixed_amplitude,8192
