epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.36424699,2.52940992,0.1341433,0.13375314,0.99731296,0.17733286,cifar10,fixed_phase,42
2,2.24639369,2.40407237,0.16394832,0.16318702,0.99782831,0.17098266,cifar10,fixed_phase,42
3,2.13656534,2.28723349,0.20292816,0.20181382,0.99744182,0.16690661,cifar10,fixed_phase,42
4,2.03316541,2.17719387,0.23302966,0.2315795,0.99962685,0.16007546,cifar10,fixed_phase,42
5,1.95061341,2.08940739,0.25717879,0.2554092,0.99879574,0.15503155,cifar10,fixed_phase,42
6,1.85198257,1.98432982,0.27916027,0.27708682,0.99805689,0.14942664,cifar10,fixed_phase,42
7,1.75771803,1.88386063,0.30867342,0.30631092,0.99766046,0.14424467,cifar10,fixed_phase,42
8,1.67402679,1.79465996,0.32576873,0.32313129,0.99828532,0.13909463,cifar10,fixed_phase,42
9,1.59567405,1.7111253,0.34550532,0.34260635,1.00122289,0.13469845,cifar10,fixed_phase,42
10,1.52217101,1.63273849,0.37531177,0.37216402,0.99921463,0.13078524,cifar10,fixed_phase,42
11,1.4586202,1.56497969,0.38842278,0.38503838,0.99633864,0.12577375,cifar10,fixed_phase,42
12,1.38001358,1.48102,0.40749692,0.40388741,0.99935528,0.12344516,cifar10,fixed_phase,42
13,1.31945256,1.41638154,0.42334307,0.41951943,1.00304171,0.11740284,cifar10,fixed_phase,42
14,1.25749051,1.35019959,0.43883823,0.43481091,1.00036999,0.11365746,cifar10,fixed_phase,42
15,1.20136886,1.29025134,0.45489925,0.45067818,1.00049083,0.11041225,cifar10,fixed_phase,42
16,1.15177549,1.23728123,0.46791272,0.46350736,0.99771089,0.10683764,cifar10,fixed_phase,42
17,1.09594658,1.17758052,0.48066183,0.47608115,1.00043975,0.1028135,cifar10,fixed_phase,42
18,1.04474753,1.12282285,0.49152268,0.48677524,0.99828363,0.10045392,cifar10,fixed_phase,42
19,0.99786322,1.07267372,0.50662275,0.50171668,0.99791417,0.09673044,cifar10,fixed_phase,42
20,0.95048313,1.02196465,0.51669056,0.5116336,0.99710461,0.0933412,cifar10,fixed_phase,42
21,0.92428769,0.99401196,0.5295597,0.5243592,0.99984046,0.08939849,cifar10,fixed_phase,42
22,0.87011198,0.93594591,0.53961361,0.53427658,1.00055618,0.08670025,cifar10,fixed_phase,42
