epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35840641,2.52316132,0.13601153,0.13562136,0.99812226,0.17839555,cifar10,mlp,42
2,2.23734266,2.39438603,0.17530914,0.17454783,1.00405747,0.17167951,cifar10,mlp,42
3,2.12994037,2.28014133,0.21429736,0.21318302,0.9993884,0.16572991,cifar10,mlp,42
4,2.02652776,2.17008602,0.2400495,0.23859935,1.00084749,0.16044034,cifar10,mlp,42
5,1.93240963,2.06990834,0.27613643,0.27436683,1.00002001,0.15518882,cifar10,mlp,42
6,1.85075258,1.98301192,0.30361407,0.30154062,1.00035527,0.14937947,cifar10,mlp,42
7,1.75975328,1.88604195,0.32395199,0.3215895,0.99831745,0.14531691,cifar10,mlp,42
8,1.66348234,1.78335566,0.35711043,0.35447299,0.99795799,0.13908318,cifar10,mlp,42
9,1.58935837,1.70435265,0.38357344,0.38067447,0.99862338,0.13536503,cifar10,mlp,42
10,1.51328709,1.62320926,0.40165049,0.39850274,1.00340227,0.13109738,cifar10,mlp,42
11,1.43902248,1.54395295,0.41957171,0.4161873,1.00172255,0.12571142,cifar10,mlp,42
12,1.37400405,1.47457062,0.43912253,0.43551302,1.0000269,0.12283762,cifar10,mlp,42
13,1.31491702,1.41151281,0.45989819,0.45607456,0.99903737,0.11792717,cifar10,mlp,42
14,1.25671957,1.34937182,0.48108478,0.47705746,0.99673014,0.11478094,cifar10,mlp,42
15,1.18917261,1.27715276,0.49478898,0.49056791,1.00030342,0.11110571,cifar10,mlp,42
16,1.13941403,1.22400207,0.50748186,0.50307649,1.00123228,0.10615623,cifar10,mlp,42
17,1.08489246,1.16570301,0.51790639,0.51332571,0.99982577,0.10239621,cifar10,mlp,42
18,1.03713732,1.11464392,0.53184257,0.52709513,1.00275569,0.09889904,cifar10,mlp,42
19,0.98391698,1.05768192,0.54749601,0.54258994,0.99909271,0.09727533,cifar10,mlp,42
20,0.95053204,1.02201723,0.55650614,0.55144918,1.00008152,0.09323251,cifar10,mlp,42
21,0.89770936,0.96542868,0.56690439,0.56170389,0.99984066,0.09011136,cifar10,mlp,42
22,0.85824048,0.92317618,0.57797856,0.57264152,1.00062376,0.08713533,cifar10,mlp,42
23,0.81846466,0.88057207,0.58507521,0.57960831,0.99802594,0.08387166,cifar10,mlp,42
24,0.79333111,0.85370352,0.59353658,0.58794613,1.0037422,0.08141976,cifar10,mlp,42
25,0.75172206,0.80908806,0.60461213,0.59890417,0.99543182,0.07954753,cifar10,mlp,42
26,0.71813776,0.77309075,0.611918,0.60609825,0.99616404,0.07570051,cifar10,mlp,42
27,0.69225808,0.74537241,0.61978548,0.6138594,1.00105906,0.07345536,cifar10,mlp,42
28,0.65878357,0.70946175,0.62506437,0.61903715,1.00265163,0.07092603,cifar10,mlp,42
29,0.62426559,0.67241127,0.63088916,0.62476572,1.00120855,0.07016829,cifar10,mlp,42
30,0.59695507,0.64310965,0.63614125,0.62992629,1.00409865,0.06724184,cifar10,mlp,42
31,0.57589204,0.62052707,0.64222768,0.63592566,0.99855414,0.06493349,cifar10,mlp,42
32,0.55168788,0.59454931,0.64556639,0.63918157,1.00289722,0.06195878,cifar10,mlp,42
33,0.5251982,0.56609715,0.6534425,0.6469789,1.00080086,0.06032348,cifar10,mlp,42
34,0.51488658,0.55507438,0.65976491,0.65322638,0.99712473,0.0583582,cifar10,mlp,42
35,0.48071708,0.51832198,0.66328037,0.65667056,0.9992678,0.05651582,cifar10,mlp,42
36,0.47742605,0.51485537,0.6680925,0.66141489,0.99763406,0.0547204,cifar10,mlp,42
37,0.4435188,0.47836444,0.67143973,0.66469763,0.99976835,0.05243268,cifar10,mlp,42
38,0.43226175,0.46629424,0.6742874,0.66748395,0.99951347,0.05191039,cifar10,mlp,42
39,0.41244121,0.44497987,0.6778822,0.6710204,1.00063183,0.04931858,cifar10,mlp,42
40,0.39339234,0.42449054,0.68092257,0.67400525,0.99954971,0.04777408,cifar10,mlp,42
41,0.38131308,0.41151566,0.68247303,0.67550291,1.00054759,0.04645135,cifar10,mlp,42
42,0.36706273,0.39619253,0.6889511,0.68193075,1.00644421,0.04477923,cifar10,mlp,42
43,0.3542045,0.3823668,0.68809964,0.68103151,0.99869601,0.04341149,cifar10,mlp,42
44,0.34319427,0.37053144,0.69377679,0.68666321,1.00040731,0.04216305,cifar10,mlp,42
45,0.335303,0.36205974,0.69331649,0.68615968,0.99925179,0.04088541,cifar10,mlp,42
46,0.31620406,0.34148126,0.69645962,0.68926169,1.00078989,0.03947271,cifar10,mlp,42
47,0.30992454,0.33474255,0.697365,0.69012796,1.00049357,0.03791204,cifar10,mlp,42
48,0.2894754,0.31269508,0.69882553,0.69155128,1.00144573,0.03893056,cifar10,mlp,42
49,0.2821162,0.30478302,0.70138241,0.69407276,1.00087097,0.03610017,cifar10,mlp,42
50,0.26936957,0.2910473,0.70363267,0.69628935,0.99982986,0.035577,cifar10,mlp,42
51,0.26640484,0.28787797,0.70620845,0.69883311,0.99830847,0.03350379,cifar10,mlp,42
52,0.26095697,0.28202363,0.70648869,0.69908288,1.00094072,0.0328468,cifar10,mlp,42
53,0.25233706,0.27273878,0.70751412,0.70007933,0.99738493,0.03146496,cifar10,mlp,42
54,0.23763067,0.25687194,0.70613833,0.69867597,0.99941543,0.03024219,cifar10,mlp,42
55,0.23085911,0.24957929,0.71154456,0.70405598,0.99913101,0.02974906,cifar10,mlp,42
56,0.22816286,0.24669077,0.71119688,0.70368336,0.99984737,0.02842355,cifar10,mlp,42
57,0.21684209,0.23447526,0.71019594,0.70265869,1.00186246,0.0280664,cifar10,mlp,42
58,0.21355802,0.23094787,0.71254358,0.70498376,1.00058114,0.02732213,cifar10,mlp,42
