epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35336856,2.51777154,0.14578989,0.14539973,1.00067366,0.17697632,cifar10,proposed,512
2,2.2452759,2.40287612,0.18272353,0.18196223,0.99776651,0.1711882,cifar10,proposed,512
3,2.12508649,2.27494516,0.2207455,0.21963116,0.99856367,0.16546564,cifar10,proposed,512
4,2.02293367,2.16623732,0.26169857,0.26024842,0.99873244,0.1606644,cifar10,proposed,512
5,1.93487539,2.07254955,0.29024468,0.28847509,1.00119248,0.1550922,cifar10,proposed,512
6,1.83104487,1.96189586,0.32801327,0.32593982,0.99638204,0.15002053,cifar10,proposed,512
7,1.74798677,1.87343101,0.35517271,0.35281021,1.0002146,0.14488076,cifar10,proposed,512
8,1.65601245,1.77534748,0.38666174,0.3840243,1.00093275,0.14023,cifar10,proposed,512
9,1.577117,1.69122559,0.40790575,0.40500677,1.00403038,0.13443458,cifar10,proposed,512
10,1.50408309,1.6133367,0.42750015,0.42435239,0.99956149,0.13103107,cifar10,proposed,512
11,1.43105295,1.53540229,0.44924001,0.44585561,1.00036174,0.12593782,cifar10,proposed,512
12,1.3655124,1.46545745,0.47598867,0.47237916,1.00302677,0.12188287,cifar10,proposed,512
13,1.30572223,1.40164256,0.49075403,0.4869304,0.99955361,0.11784804,cifar10,proposed,512
14,1.24178231,1.3333333,0.50691889,0.50289157,0.99942161,0.11398346,cifar10,proposed,512
15,1.18314255,1.27067657,0.52710191,0.52288084,1.00236844,0.1098724,cifar10,proposed,512
16,1.12169687,1.20496963,0.54696679,0.54256142,0.99949246,0.1073716,cifar10,proposed,512
17,1.07345698,1.15341573,0.55416133,0.54958064,1.00205544,0.10256623,cifar10,proposed,512
18,1.01853762,1.09465424,0.5697705,0.56502306,0.99973631,0.0994936,cifar10,proposed,512
19,0.97659187,1.04980764,0.58733383,0.58242776,1.00058094,0.09592759,cifar10,proposed,512
20,0.9269279,0.99663794,0.59657744,0.59152048,1.00104197,0.09304067,cifar10,proposed,512
21,0.88585224,0.95267711,0.60836427,0.60316377,0.9986579,0.09055761,cifar10,proposed,512
22,0.84668198,0.91074315,0.62034155,0.61500452,1.00051977,0.08649295,cifar10,proposed,512
23,0.81081213,0.87233884,0.62677218,0.62130527,0.99988397,0.08374262,cifar10,proposed,512
24,0.76941393,0.82796626,0.6332331,0.62764266,0.99990257,0.08144861,cifar10,proposed,512
25,0.73987245,0.79633417,0.63908928,0.63338132,1.00216619,0.078066,cifar10,proposed,512
