epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.36682518,2.53216822,0.12835776,0.1279676,1.00220313,0.17683374,cifar10,random_unitary,2024
2,2.24739771,2.40514686,0.14590507,0.14514377,1.00300259,0.17084313,cifar10,random_unitary,2024
3,2.14472769,2.29597144,0.15829669,0.15718236,0.99794117,0.16785384,cifar10,random_unitary,2024
4,2.05754474,2.20330023,0.17478214,0.17333199,0.99647997,0.16198332,cifar10,random_unitary,2024
5,1.95134053,2.09018625,0.19865599,0.19688639,0.99650935,0.15453214,cifar10,random_unitary,2024
6,1.86808137,2.00157907,0.22502871,0.22295526,1.00032514,0.14929681,cifar10,random_unitary,2024
7,1.78439624,1.91245341,0.23500373,0.23264124,1.00257758,0.14405883,cifar10,random_unitary,2024
8,1.69930815,1.82176314,0.2576398,0.25500236,0.99835281,0.13989234,cifar10,random_unitary,2024
9,1.6270875,1.74481159,0.266275,0.26337603,1.00101029,0.13558208,cifar10,random_unitary,2024
10,1.54373782,1.65587187,0.28298094,0.27983319,1.00021468,0.13057412,cifar10,random_unitary,2024
11,1.48087377,1.58885594,0.29681439,0.29342999,1.00211965,0.12589821,cifar10,random_unitary,2024
12,1.41883417,1.52268196,0.31453487,0.31092536,1.00060113,0.12155209,cifar10,random_unitary,2024
13,1.34933884,1.4484633,0.32673357,0.32290994,1.00377996,0.11820598,cifar10,random_unitary,2024
14,1.30666906,1.40300386,0.33330453,0.32927721,0.99676205,0.11360214,cifar10,random_unitary,2024
15,1.22898369,1.31990923,0.35042591,0.34620484,0.9947599,0.10972111,cifar10,random_unitary,2024
16,1.17735063,1.26475503,0.36507252,0.36066715,1.00300522,0.1071454,cifar10,random_unitary,2024
17,1.14149904,1.22652605,0.37262485,0.36804417,0.9994231,0.10270951,cifar10,random_unitary,2024
18,1.07690547,1.157384,0.38200491,0.37725747,0.9998202,0.0997714,cifar10,random_unitary,2024
19,1.04298643,1.12117984,0.39308021,0.38817414,0.99854604,0.09625144,cifar10,random_unitary,2024
20,0.98455999,1.05860427,0.40050283,0.39544586,0.99998084,0.09239741,cifar10,random_unitary,2024
21,0.94325118,1.01440597,0.41091856,0.40571806,1.00080889,0.08988015,cifar10,random_unitary,2024
22,0.90106913,0.96924531,0.42131413,0.4159771,1.00112778,0.08689585,cifar10,random_unitary,2024
23,0.86464531,0.93025703,0.42547777,0.42001086,0.99826653,0.08368285,cifar10,random_unitary,2024
24,0.83300852,0.89640038,0.43308185,0.4274914,1.00364474,0.08135301,cifar10,random_unitary,2024
25,0.79657614,0.85736508,0.4465587,0.44085074,0.99868026,0.07830477,cifar10,random_unitary,2024
26,0.75871318,0.81677105,0.4566965,0.45087676,0.9994242,0.07787843,cifar10,random_unitary,2024
27,0.72761508,0.78344221,0.46679672,0.46087064,1.00147546,0.07467335,cifar10,random_unitary,2024
28,0.70152734,0.75549366,0.46763143,0.4616042,1.00123849,0.07224593,cifar10,random_unitary,2024
29,0.6732616,0.72518603,0.47505155,0.46892811,1.00217358,0.07023999,cifar10,random_unitary,2024
30,0.65092451,0.70125182,0.47988388,0.47366892,1.00020859,0.0666458,cifar10,random_unitary,2024
31,0.6212318,0.66938093,0.48527614,0.47897413,1.0008023,0.0650491,cifar10,random_unitary,2024
32,0.59818365,0.6446574,0.49274523,0.4863604,0.99996847,0.06307222,cifar10,random_unitary,2024
33,0.5715609,0.61607027,0.49589721,0.48943361,0.99957748,0.06014594,cifar10,random_unitary,2024
34,0.56312434,0.60707718,0.50074508,0.49420654,0.99817604,0.05823551,cifar10,random_unitary,2024
35,0.52887924,0.57025169,0.50551137,0.49890156,1.00225844,0.05720304,cifar10,random_unitary,2024
36,0.51698119,0.55751156,0.51197687,0.50529926,1.00032485,0.05408019,cifar10,random_unitary,2024
37,0.49633594,0.53533123,0.51602113,0.50927903,0.99718435,0.05268182,cifar10,random_unitary,2024
38,0.47704781,0.51460636,0.5183927,0.51158925,1.00059741,0.05062591,cifar10,random_unitary,2024
39,0.46334054,0.4998948,0.52498213,0.51812033,0.99887986,0.05013214,cifar10,random_unitary,2024
40,0.44496647,0.48014168,0.52864079,0.52172347,1.00142135,0.04784849,cifar10,random_unitary,2024
41,0.42682087,0.46062798,0.53158355,0.52461343,0.99593364,0.04604476,cifar10,random_unitary,2024
42,0.41287183,0.445637,0.53464574,0.52762539,1.00078794,0.04482248,cifar10,random_unitary,2024
43,0.39563421,0.42709052,0.5375683,0.53050018,0.99893036,0.04463004,cifar10,random_unitary,2024
44,0.38542948,0.41613089,0.54199469,0.53488112,1.0026552,0.04290745,cifar10,random_unitary,2024
