epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,0.75923323,0.81227218,0.52935063,0.52896046,0.99635102,0.17822114,circles,cnn,1024
2,0.7197835,0.77030649,0.56278967,0.56202836,1.00081966,0.17262476,circles,cnn,1024
3,0.68616556,0.73455318,0.58594988,0.58483555,1.00167773,0.16698218,circles,cnn,1024
4,0.64709697,0.69293701,0.60309538,0.60164523,0.99835549,0.16016951,circles,cnn,1024
5,0.61430531,0.6580156,0.64001214,0.63824254,1.00088653,0.15514895,circles,cnn,1024
6,0.58826131,0.63029991,0.65193389,0.64986044,0.99970072,0.14967798,circles,cnn,1024
7,0.56146052,0.60175373,0.67707719,0.67471469,0.99918164,0.14392954,circles,cnn,1024
8,0.53518273,0.5737489,0.69187576,0.68923832,1.00032572,0.13907139,circles,cnn,1024
9,0.49507532,0.53089533,0.72058663,0.71768765,0.99716021,0.13465739,circles,cnn,1024
10,0.47439584,0.50885501,0.73037562,0.72722786,0.99941341,0.13033992,circles,cnn,1024
11,0.45456783,0.48771395,0.75024496,0.74686056,0.99789383,0.12599538,circles,cnn,1024
12,0.43142426,0.46300122,0.76269824,0.75908873,1.00300393,0.12132577,circles,cnn,1024
13,0.41029249,0.44043319,0.77638409,0.77256045,0.9987768,0.11802602,circles,cnn,1024
14,0.39270947,0.42166216,0.79306326,0.78903594,0.99618557,0.11342903,circles,cnn,1024
15,0.38090391,0.40908484,0.80175173,0.79753066,1.00399937,0.11137883,circles,cnn,1024
16,0.35716747,0.38368294,0.81388389,0.80947852,1.00045825,0.1061492,circles,cnn,1024
17,0.32863484,0.35311392,0.82658457,0.82200389,0.99763181,0.10311016,circles,cnn,1024
18,0.31381286,0.3372645,0.8361367,0.83138926,0.99858199,0.09967999,circles,cnn,1024
19,0.30157782,0.32418731,0.84137343,0.83646736,0.99992409,0.09727138,circles,cnn,1024
20,0.28650371,0.30805035,0.85369224,0.84863528,0.99933982,0.09293671,circles,cnn,1024
21,0.26944822,0.28977423,0.86250564,0.85730515,1.00022671,0.08978388,circles,cnn,1024
22,0.25548532,0.27481571,0.8683723,0.86303527,1.00085172,0.08655354,circles,cnn,1024
23,0.24324299,0.26170095,0.87284839,0.86738148,1.0006977,0.08440628,circles,cnn,1024
24,0.23604081,0.25400349,0.88426116,0.87867071,1.0018551,0.08131086,circles,cnn,1024
25,0.22315744,0.2401872,0.89233472,0.88662675,0.99695361,0.07851698,circles,cnn,1024
26,0.21247534,0.22873428,0.89509752,0.88927777,0.99934953,0.07698894,circles,cnn,1024
27,0.20264873,0.21819719,0.9037543,0.89782822,1.00025453,0.07353579,circles,cnn,1024
28,0.20301606,0.21863345,0.9070855,0.90105828,1.00587935,0.07239744,circles,cnn,1024
29,0.19712151,0.21232425,0.90960385,0.90348041,1.00156828,0.06846169,circles,cnn,1024
30,0.17229009,0.18561098,0.91843574,0.91222078,0.99773487,0.06623848,circles,cnn,1024
31,0.17045738,0.18366883,0.92201564,0.91571362,0.99982742,0.06419806,circles,cnn,1024
32,0.15663036,0.1687992,0.92376727,0.91738244,0.99958766,0.06251168,circles,cnn,1024
33,0.15457156,0.16660857,0.92740382,0.92094022,1.00095494,0.06091739,circles,cnn,1024
34,0.13923934,0.15010721,0.9315482,0.92500967,0.99707963,0.05808016,circles,cnn,1024
35,0.13849111,0.14932481,0.93827761,0.9316678,0.99871465,0.05603702,circles,cnn,1024
36,0.13301629,0.14344452,0.93913315,0.93245555,0.99899067,0.05469661,circles,cnn,1024
37,0.12517877,0.1350136,0.94247585,0.93573375,0.99725595,0.05233227,circles,cnn,1024
38,0.1193553,0.12875228,0.94389615,0.93709269,0.99962605,0.05251172,circles,cnn,1024
39,0.1139598,0.12295041,0.94376941,0.93690761,1.0020981,0.05056078,circles,cnn,1024
40,0.10614657,0.1145376,0.95157437,0.94465706,0.99909603,0.04860573,circles,cnn,1024
