epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,0.75962367,0.8126899,0.51788968,0.51749952,1.0011857,0.17730977,circles,fixed_amplitude,512
2,0.72771656,0.77879638,0.54240739,0.54164609,0.99629307,0.17149138,circles,fixed_amplitude,512
3,0.6857806,0.73414106,0.5678194,0.56670506,1.00164354,0.16579916,circles,fixed_amplitude,512
4,0.65873196,0.70539621,0.58502519,0.58357504,1.00157551,0.16021307,circles,fixed_amplitude,512
5,0.62392966,0.66832477,0.60296469,0.6011951,0.99946434,0.15556335,circles,fixed_amplitude,512
6,0.60377836,0.64692585,0.6170834,0.61500995,0.9978191,0.14963375,circles,fixed_amplitude,512
7,0.56596764,0.6065843,0.62826861,0.62590611,1.00013781,0.14456934,circles,fixed_amplitude,512
8,0.53884308,0.57767302,0.65196392,0.64932648,1.00278696,0.14004631,circles,fixed_amplitude,512
9,0.52182819,0.55958384,0.6559828,0.65308382,1.00051146,0.13470828,circles,fixed_amplitude,512
10,0.49665439,0.53273038,0.67958824,0.67644049,1.00225388,0.13004333,circles,fixed_amplitude,512
11,0.47892366,0.51384576,0.6910954,0.687711,0.99574581,0.12578577,circles,fixed_amplitude,512
12,0.44500641,0.47757747,0.70496134,0.70135184,0.99700546,0.12129581,circles,fixed_amplitude,512
13,0.42663297,0.45797407,0.71427889,0.71045525,1.00335012,0.11751435,circles,fixed_amplitude,512
14,0.40645404,0.43642005,0.71971061,0.71568329,1.00194294,0.11370063,circles,fixed_amplitude,512
15,0.39625082,0.42556717,0.73147976,0.7272587,1.00192851,0.10966125,circles,fixed_amplitude,512
16,0.36857524,0.3959376,0.74555994,0.74115457,0.99914819,0.1060803,circles,fixed_amplitude,512
17,0.35983979,0.38664323,0.74424052,0.73965984,1.00310866,0.1042287,circles,fixed_amplitude,512
18,0.33791226,0.36316488,0.75541229,0.75066485,0.99864404,0.09916197,circles,fixed_amplitude,512
19,0.32856546,0.35319824,0.76066565,0.75575958,1.00159454,0.09674836,circles,fixed_amplitude,512
20,0.30634534,0.32938419,0.77015058,0.76509361,1.00236323,0.09245206,circles,fixed_amplitude,512
21,0.2956857,0.31799095,0.77763658,0.77243609,0.99907527,0.08935063,circles,fixed_amplitude,512
22,0.28615317,0.30780393,0.78071233,0.7753753,1.00012784,0.08725327,circles,fixed_amplitude,512
23,0.26937206,0.28981277,0.79232391,0.78685701,1.00255551,0.0840758,circles,fixed_amplitude,512
24,0.26083003,0.28067917,0.79741669,0.79182625,1.00051877,0.08072174,circles,fixed_amplitude,512
25,0.25306603,0.2723782,0.79934068,0.79363272,0.99895248,0.0786542,circles,fixed_amplitude,512
26,0.23547179,0.25349045,0.8069144,0.80109465,1.00361735,0.0765439,circles,fixed_amplitude,512
27,0.22869402,0.24624084,0.8116461,0.80572002,1.00085778,0.07335705,circles,fixed_amplitude,512
28,0.22084093,0.23782954,0.81625095,0.81022373,1.0021004,0.07158831,circles,fixed_amplitude,512
29,0.22364206,0.24089016,0.81833188,0.81220844,1.00089433,0.06855683,circles,fixed_amplitude,512
30,0.20146727,0.21704405,0.82244547,0.81623051,1.00261461,0.06686407,circles,fixed_amplitude,512
31,0.19318197,0.20815471,0.82893745,0.82263543,1.00159261,0.06495995,circles,fixed_amplitude,512
32,0.18648292,0.20097105,0.82957587,0.82319104,0.99908767,0.06235571,circles,fixed_amplitude,512
33,0.18213855,0.19632229,0.83537806,0.82891446,1.00043017,0.06113263,circles,fixed_amplitude,512
34,0.16936639,0.18258574,0.84442685,0.83788832,0.99433471,0.0584736,circles,fixed_amplitude,512
35,0.17165629,0.18508439,0.83848702,0.83187721,0.99881229,0.05591805,circles,fixed_amplitude,512
36,0.15610913,0.16834779,0.8437494,0.83707179,0.99927831,0.05642828,circles,fixed_amplitude,512
37,0.15369798,0.16577347,0.8483439,0.8416018,0.99953283,0.05243623,circles,fixed_amplitude,512
38,0.14788665,0.15952994,0.84961082,0.84280737,1.00063992,0.05080501,circles,fixed_amplitude,512
39,0.14736192,0.15898773,0.85173875,0.84487694,0.99485703,0.04968208,circles,fixed_amplitude,512
40,0.13945309,0.15047705,0.85403322,0.8471159,1.00272689,0.0479573,circles,fixed_amplitude,512
41,0.14055768,0.1516908,0.85627952,0.8493094,1.0014778,0.04657465,circles,fixed_amplitude,512
42,0.1276135,0.1377408,0.85551661,0.84849626,0.99908238,0.04443225,circles,fixed_amplitude,512
43,0.12169217,0.13136774,0.85814528,0.85107715,1.0037309,0.0435207,circles,fixed_amplitude,512
44,0.1168046,0.12610868,0.85973921,0.85262564,0.99705575,0.04188347,circles,fixed_amplitude,512
45,0.11304705,0.12206806,0.86257843,0.85542162,0.99877315,0.04221128,circles,fixed_amplitude,512
46,0.11497186,0.12416266,0.86427145,0.85707352,0.99915443,0.04009809,circles,fixed_amplitude,512
47,0.10824796,0.1169162,0.86555061,0.85831356,0.99963767,0.03777486,circles,fixed_amplitude,512
48,0.10131632,0.1094432,0.86668878,0.85941453,1.00072694,0.0368514,circles,fixed_amplitude,512
49,0.0976787,0.10552676,0.86619049,0.85888084,1.00130809,0.03561337,circles,fixed_amplitude,512
50,0.10616756,0.11471147,0.86726718,0.85992386,1.00229682,0.03433814,circles,fixed_amplitude,512
51,0.09778971,0.10567189,0.87233355,0.8649582,0.99837129,0.03355263,circles,fixed_amplitude,512
52,0.09515436,0.10283603,0.87074554,0.86333973,0.9979477,0.0325501,circles,fixed_amplitude,512
53,0.08870395,0.09587576,0.87250078,0.86506599,1.00281527,0.03171738,circles,fixed_amplitude,512
54,0.08833801,0.09549086,0.87282301,0.86536065,0.99645691,0.03084238,circles,fixed_amplitude,512
55,0.08618367,0.09317223,0.8732949,0.86580632,0.99748948,0.03116066,circles,fixed_amplitude,512
