epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,0.75755152,0.81047299,0.52678266,0.52639249,0.99992954,0.17829264,circles,fixed_phase,8192
2,0.7263083,0.77728927,0.54930732,0.54854602,1.0013849,0.17185678,circles,fixed_phase,8192
3,0.69735711,0.74653394,0.56866329,0.56754896,1.00033125,0.1653997,circles,fixed_phase,8192
4,0.65364343,0.69994721,0.59081738,0.58936722,1.00199508,0.16008362,circles,fixed_phase,8192
5,0.62050662,0.66465816,0.60586314,0.60409354,0.9975463,0.15568018,circles,fixed_phase,8192
6,0.59114194,0.6333864,0.62596328,0.62388982,0.99575157,0.14966633,circles,fixed_phase,8192
7,0.57030344,0.61123126,0.6364379,0.63407541,0.9980681,0.14422045,circles,fixed_phase,8192
8,0.53775482,0.57650633,0.66382212,0.66118468,0.99860244,0.14074353,circles,fixed_phase,8192
9,0.51144412,0.54844845,0.67373068,0.6708317,1.00506756,0.13516675,circles,fixed_phase,8192
10,0.48562657,0.52090152,0.68340001,0.68025226,0.99947516,0.13072212,circles,fixed_phase,8192
11,0.46661321,0.50063765,0.69607596,0.69269156,0.99884523,0.12568518,circles,fixed_phase,8192
12,0.44520555,0.47779119,0.70354777,0.69993826,1.00268184,0.12245285,circles,fixed_phase,8192
13,0.42698691,0.45835401,0.71943937,0.71561574,1.00083644,0.11769509,circles,fixed_phase,8192
14,0.41796619,0.44878095,0.73314822,0.7291209,0.99905843,0.1148231,circles,fixed_phase,8192
15,0.3932922,0.42238966,0.74141687,0.73719581,1.00259205,0.10988405,circles,fixed_phase,8192
16,0.38626059,0.41493588,0.7534715,0.74906613,0.99721573,0.10671046,circles,fixed_phase,8192
17,0.35682664,0.38340564,0.76193584,0.75735516,1.00180836,0.1041071,circles,fixed_phase,8192
18,0.33328756,0.35819457,0.77078918,0.76604173,1.00091357,0.09898146,circles,fixed_phase,8192
19,0.31735636,0.34114878,0.7779432,0.77303713,1.00003658,0.09583323,circles,fixed_phase,8192
