epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,0.75850053,0.8114883,0.52416951,0.52377935,1.00215837,0.17723086,circles,mlp,256
2,0.72096005,0.77156562,0.5522324,0.5514711,1.00173978,0.17124054,circles,mlp,256
3,0.68056258,0.72855508,0.58133255,0.58021822,0.99701572,0.16528262,circles,mlp,256
4,0.65000251,0.69604837,0.60198883,0.60053867,1.00332616,0.16046426,circles,mlp,256
5,0.61865639,0.66267628,0.62564597,0.62387638,1.00028893,0.15483815,circles,mlp,256
6,0.59280215,0.63516526,0.64213193,0.64005847,1.00226076,0.15012237,circles,mlp,256
7,0.56378483,0.60424484,0.66197374,0.65961125,0.99694956,0.14558491,circles,mlp,256
8,0.53405227,0.57253697,0.6803345,0.67769706,0.99918806,0.1397482,circles,mlp,256
9,0.5074547,0.54417039,0.69519683,0.69229785,0.99935772,0.13540036,circles,mlp,256
10,0.48078527,0.51570856,0.71218157,0.70903382,1.00205561,0.13017586,circles,mlp,256
11,0.46068826,0.49428067,0.72475637,0.72137197,0.99764668,0.12702145,circles,mlp,256
12,0.43385795,0.46561303,0.73795166,0.73434215,1.00266076,0.12169454,circles,mlp,256
13,0.41755169,0.44822566,0.75293737,0.74911373,0.99969003,0.11810099,circles,mlp,256
14,0.39128399,0.42013159,0.76401184,0.75998452,1.00024634,0.11416514,circles,mlp,256
15,0.37973697,0.40783156,0.77664271,0.77242164,1.00035202,0.11056196,circles,mlp,256
16,0.35270541,0.37888963,0.79046998,0.78606461,1.00055207,0.10708457,circles,mlp,256
17,0.34337232,0.36894914,0.79484162,0.79026094,0.99730164,0.10341781,circles,mlp,256
18,0.33551335,0.36058669,0.80763618,0.80288873,0.9990956,0.10012738,circles,mlp,256
19,0.30598765,0.32892775,0.8226977,0.81779163,1.00002883,0.09652696,circles,mlp,256
20,0.29545131,0.31767086,0.82000778,0.81495082,1.00166932,0.09280389,circles,mlp,256
21,0.27798871,0.29895898,0.82983659,0.82463609,1.00299741,0.0898243,circles,mlp,256
22,0.26989828,0.29031917,0.83904754,0.83371051,0.99987161,0.08742213,circles,mlp,256
23,0.26160653,0.28145797,0.84433316,0.83886626,1.00256723,0.0840496,circles,mlp,256
24,0.24326756,0.2617802,0.85299926,0.84740882,0.99976451,0.08109556,circles,mlp,256
25,0.23984134,0.2581443,0.85429782,0.84858986,1.00098168,0.07941412,circles,mlp,256
26,0.21829628,0.23500064,0.86531886,0.85949912,0.99855409,0.07632989,circles,mlp,256
27,0.21594701,0.2325158,0.86545636,0.85953028,1.00617691,0.07346041,circles,mlp,256
28,0.21135436,0.2276132,0.87364748,0.86762025,1.00307845,0.07098477,circles,mlp,256
29,0.19245735,0.20730037,0.87825636,0.87213292,0.99533799,0.06903707,circles,mlp,256
30,0.18306078,0.19721443,0.8817533,0.87553834,1.00140759,0.06703629,circles,mlp,256
31,0.17740942,0.1911597,0.8874326,0.88113058,1.00031377,0.06536181,circles,mlp,256
32,0.17353533,0.18701754,0.8917647,0.88537987,0.99760117,0.0622845,circles,mlp,256
33,0.1614847,0.17406006,0.89478483,0.88832123,1.00058215,0.06013071,circles,mlp,256
34,0.15086887,0.16264444,0.90044859,0.89391006,0.99955679,0.05779045,circles,mlp,256
35,0.15248929,0.16441802,0.89935853,0.89274872,0.99935566,0.05636382,circles,mlp,256
36,0.1405591,0.15157868,0.90264106,0.89596346,0.99821296,0.05558639,circles,mlp,256
37,0.13238049,0.14278113,0.90730295,0.90056085,1.00165314,0.05404693,circles,mlp,256
38,0.12644552,0.13640073,0.90828251,0.90147906,1.00030049,0.05253975,circles,mlp,256
39,0.12457264,0.13440054,0.91098314,0.90412133,0.99865099,0.04969746,circles,mlp,256
40,0.12366675,0.13344278,0.9153412,0.90842388,1.002256,0.04773391,circles,mlp,256
41,0.11792491,0.12726536,0.91709199,0.91012187,0.99722206,0.04620814,circles,mlp,256
42,0.10617402,0.1145999,0.91502649,0.90800614,0.99954166,0.04449233,circles,mlp,256
43,0.09985037,0.10778933,0.92142449,0.91435637,0.999319,0.04446387,circles,mlp,256
44,0.09753077,0.10529959,0.92247715,0.91536357,0.9963254,0.04172958,circles,mlp,256
45,0.09847778,0.10633618,0.92288068,0.91572387,1.00179083,0.04180624,circles,mlp,256
46,0.09008465,0.09728598,0.92451917,0.91732124,1.00344206,0.03999369,circles,mlp,256
47,0.09242498,0.09982615,0.92600511,0.91876806,1.00154928,0.03920637,circles,mlp,256
48,0.09709071,0.10487865,0.92799768,0.92072342,1.00100034,0.03746899,circles,mlp,256
49,0.08981414,0.09703032,0.92792915,0.92061949,0.99686978,0.03593124,circles,mlp,256
50,0.08729452,0.09431961,0.92913688,0.92179356,1.00065483,0.03615141,circles,mlp,256
51,0.08071903,0.08722526,0.93017689,0.92280154,0.99979133,0.03423058,circles,mlp,256
52,0.07360187,0.07954363,0.93163765,0.92423184,1.00043532,0.03357256,circles,mlp,256
53,0.06864009,0.07418972,0.93264208,0.92520729,0.99817066,0.03175753,circles,mlp,256
54,0.07048772,0.07619521,0.93401764,0.92655528,1.0015836,0.03097536,circles,mlp,256
55,0.06995778,0.0756306,0.93525081,0.92776224,1.00053115,0.03037121,circles,mlp,256
56,0.06421854,0.06943339,0.93578756,0.92827404,0.9970634,0.02847829,circles,mlp,256
57,0.05874855,0.06352587,0.93507034,0.92753309,0.9977639,0.02862846,circles,mlp,256
58,0.05740685,0.06208144,0.93577069,0.92821087,1.00013363,0.02706256,circles,mlp,256
59,0.06140151,0.06640807,0.93552832,0.92794704,0.99821037,0.02667682,circles,mlp,256
60,0.05288647,0.05720437,0.9381746,0.9305729,0.99667593,0.02611433,circles,mlp,256
61,0.05622317,0.06081939,0.93744514,0.92982401,0.99910354,0.02483961,circles,mlp,256
62,0.05645777,0.06107896,0.93915307,0.93151346,1.00309351,0.0236315,circles,mlp,256
63,0.07207099,0.0779774,0.94083959,0.93318241,0.99714505,0.02381574,circles,mlp,256
64,0.05669211,0.06134377,0.94040794,0.93273404,1.00159626,0.02332138,circles,mlp,256
65,0.04991813,0.05401881,0.94066445,0.93297464,1.00286337,0.0225886,circles,mlp,256
66,0.05666767,0.06132818,0.94021751,0.93251257,0.99606397,0.02103682,circles,mlp,256
67,0.05460741,0.05910355,0.94162793,0.93390861,1.00033855,0.02073902,circles,mlp,256
68,0.05016995,0.05430531,0.94223304,0.93450002,1.00002718,0.02043766,circles,mlp,256
69,0.04139338,0.044809,0.94242797,0.93468194,1.00239247,0.01965794,circles,mlp,256
70,0.04745366,0.05137351,0.94184562,0.9340872,1.00239736,0.02017745,circles,mlp,256
71,0.05565082,0.06025257,0.94160798,0.93383778,0.99894383,0.01894433,circles,mlp,256
72,0.04378925,0.04741386,0.9424347,0.93465329,0.99891792,0.01834761,circles,mlp,256
73,0.04228873,0.04579262,0.94176512,0.93397305,1.00047777,0.01717015,circles,mlp,256
74,0.03630692,0.03931811,0.94330329,0.93550108,1.00252605,0.01780646,circles,mlp,256
75,0.03686708,0.03992766,0.94354458,0.93573272,1.00071956,0.01612515,circles,mlp,256
76,0.04558141,0.04936897,0.94347375,0.93565271,1.00021941,0.01719249,circles,mlp,256
77,0.03740746,0.04051866,0.94457195,0.93674219,1.00004164,0.01532059,circles,mlp,256
78,0.03367668,0.03648011,0.94386099,0.93602292,1.00427534,0.01624029,circles,mlp,256
79,0.03346644,0.03625481,0.94443552,0.93658956,0.99902472,0.01539964,circles,mlp,256
80,0.03143939,0.03406113,0.94342972,0.93557625,0.99651649,0.01412408,circles,mlp,256
81,0.03934948,0.04263361,0.94423857,0.93637795,1.00028613,0.01463188,circles,mlp,256
82,0.0321856,0.03487405,0.94445576,0.93658835,0.99912924,0.01365601,circles,mlp,256
83,0.0319936,0.03466817,0.94524136,0.93736748,0.99973088,0.01331012,circles,mlp,256
84,0.04053658,0.04392801,0.9447768,0.93689677,0.99771839,0.01335509,circles,mlp,256
85,0.02952889,0.03200131,0.9455966,0.93771071,0.99660342,0.01350644,circles,mlp,256
86,0.03639125,0.03944056,0.94528822,0.93739677,0.99819857,0.01352885,circles,mlp,256
87,0.03749536,0.04063952,0.94564195,0.93774521,0.99657509,0.01280494,circles,mlp,256
88,0.02823658,0.03060608,0.94517073,0.93726895,1.00184952,0.01180345,circles,mlp,256
89,0.0300011,0.03252048,0.94611141,0.93820484,0.999327,0.01256685,circles,mlp,256
90,0.02776035,0.03009319,0.94509348,0.93718236,0.99965945,0.0110291,circles,mlp,256
91,0.02761843,0.02994094,0.94538834,0.93747288,0.99884836,0.01123427,circles,mlp,256
92,0.03127533,0.03390712,0.94642768,0.93850809,1.00013696,0.01238596,circles,mlp,256
93,0.03481222,0.03774357,0.94591991,0.93799641,1.00155596,0.01057791,circles,mlp,256
94,0.0266088,0.02885083,0.94571595,0.93778871,0.9999518,0.01058294,circles,mlp,256
95,0.03962241,0.04296307,0.94601416,0.93808338,0.99985504,0.00955851,circles,mlp,256
96,0.03049644,0.03306925,0.94555277,0.9376186,0.99870345,0.00985465,circles,mlp,256
97,0.02808596,0.03045685,0.94634483,0.93840746,0.99915346,0.01012959,circles,mlp,256
98,0.0268509,0.02911888,0.94615589,0.93821546,1.00067544,0.00966037,circles,mlp,256
99,0.02549534,0.02765009,0.9460635,0.93812016,0.99697329,0.00974471,circles,mlp,256
100,0.02613565,0.02834576,0.94669129,0.9387452,0.99857204,0.00968956,circles,mlp,256
