epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,0.76298448,0.81628549,0.52835749,0.52796732,0.99791702,0.17779705,circles,proposed,1024
2,0.72040312,0.77096959,0.56138979,0.56062849,1.00351392,0.17101011,circles,proposed,1024
3,0.67744771,0.72522055,0.59287276,0.59175842,1.00038108,0.16523517,circles,proposed,1024
4,0.64301401,0.68856482,0.61597326,0.6145231,1.00083874,0.16050727,circles,proposed,1024
5,0.6112938,0.65478981,0.64685875,0.64508916,1.00003423,0.15420321,circles,proposed,1024
6,0.57684586,0.61806869,0.67069047,0.66861702,1.0022513,0.14966522,circles,proposed,1024
7,0.54940764,0.58883587,0.68497411,0.68261161,0.99993406,0.14460996,circles,proposed,1024
8,0.52212264,0.55974767,0.71252722,0.70988978,1.00084329,0.13998538,circles,proposed,1024
9,0.49951206,0.53565308,0.72520275,0.72230378,0.99797275,0.13453668,circles,proposed,1024
10,0.48383034,0.51897482,0.74564847,0.74250071,0.99882662,0.12999916,circles,proposed,1024
11,0.44960752,0.48239195,0.76053073,0.75714633,1.00169083,0.12573163,circles,proposed,1024
12,0.42663786,0.45786449,0.77063138,0.76702187,1.00098638,0.12132317,circles,proposed,1024
13,0.3999362,0.42931611,0.7913106,0.78748696,1.00141193,0.11797742,circles,proposed,1024
14,0.39287676,0.42184178,0.80051672,0.7964894,0.99729846,0.1136925,circles,proposed,1024
15,0.36432062,0.39127464,0.81379206,0.80957099,0.99978899,0.11038624,circles,proposed,1024
16,0.34804972,0.3738883,0.82621848,0.82181312,0.99935078,0.10729519,circles,proposed,1024
17,0.33936871,0.36464732,0.83465426,0.83007358,0.99971928,0.10389364,circles,proposed,1024
18,0.31516351,0.33871608,0.84532387,0.84057643,1.00067036,0.09945372,circles,proposed,1024
19,0.3062432,0.32920246,0.85736597,0.85245989,1.00281294,0.09570849,circles,proposed,1024
20,0.27732171,0.29817781,0.868259,0.86320203,0.99840186,0.09249657,circles,proposed,1024
21,0.27488775,0.29562409,0.87187139,0.8666709,0.99910509,0.08997373,circles,proposed,1024
