epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,0.76816929,0.8218325,0.50559804,0.50520787,0.99683256,0.17736587,circles,random_unitary,123
2,0.72878108,0.77993562,0.5274191,0.5266578,0.9994017,0.17262825,circles,random_unitary,123
3,0.6954555,0.74449822,0.53702781,0.53591347,1.0021128,0.16566083,circles,random_unitary,123
4,0.66622435,0.71341936,0.54867352,0.54722336,1.00253487,0.16087869,circles,random_unitary,123
5,0.63884041,0.68429648,0.55689042,0.55512082,0.99978851,0.15454013,circles,random_unitary,123
6,0.61930605,0.66356319,0.57770777,0.57563432,1.0010751,0.14904436,circles,random_unitary,123
7,0.5794232,0.62100549,0.58407693,0.58171444,1.00216024,0.14432782,circles,random_unitary,123
8,0.55817775,0.59840097,0.58344561,0.58080817,0.9980408,0.13980896,circles,random_unitary,123
9,0.53043506,0.56881344,0.60222108,0.5993221,0.99932201,0.13526985,circles,random_unitary,123
10,0.51422487,0.55157714,0.61048469,0.60733693,0.99757989,0.130214,circles,random_unitary,123
11,0.4881435,0.52373789,0.61142366,0.60803926,1.00173524,0.12660873,circles,random_unitary,123
12,0.47643394,0.51130525,0.62112262,0.61751311,0.99958838,0.12175928,circles,random_unitary,123
13,0.44740591,0.48027302,0.6358801,0.63205647,0.99806515,0.11738607,circles,random_unitary,123
14,0.4331812,0.46511769,0.64025506,0.63622774,1.00203157,0.11377204,circles,random_unitary,123
15,0.41439081,0.44504924,0.64728877,0.6430677,0.99632231,0.11004303,circles,random_unitary,123
16,0.39456205,0.42385363,0.65208399,0.64767862,0.99976775,0.10629478,circles,random_unitary,123
17,0.38018396,0.40850278,0.65758091,0.65300023,0.99910273,0.10286457,circles,random_unitary,123
18,0.36368054,0.39085885,0.66518506,0.66043762,1.00099241,0.0993704,circles,random_unitary,123
19,0.35402541,0.38056694,0.67246166,0.66755558,0.99947977,0.09584596,circles,random_unitary,123
20,0.3344038,0.35955279,0.6756475,0.67059054,1.00156516,0.09288463,circles,random_unitary,123
21,0.32432603,0.34879178,0.67801356,0.67281306,1.00241186,0.09073742,circles,random_unitary,123
22,0.31009643,0.33355877,0.68712008,0.68178305,0.99767989,0.08769535,circles,random_unitary,123
23,0.29943874,0.322161,0.69088004,0.68541314,0.99672665,0.08373077,circles,random_unitary,123
24,0.28691169,0.30874564,0.69997612,0.69438568,1.00116069,0.08103037,circles,random_unitary,123
25,0.27826618,0.29950144,0.70161251,0.69590455,0.99971178,0.07878833,circles,random_unitary,123
