epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.3513044,2.51556318,0.15230119,0.15191103,0.99842326,0.17833291,fashion_mnist,cnn,1024
2,2.24262881,2.40004322,0.20520815,0.20444685,1.00251258,0.1712371,fashion_mnist,cnn,1024
3,2.11863741,2.2680413,0.24068773,0.23957339,1.00448733,0.16603229,fashion_mnist,cnn,1024
4,2.01182242,2.15433895,0.29279852,0.29134836,0.99726695,0.15994592,fashion_mnist,cnn,1024
5,1.92011857,2.05674272,0.32894367,0.32717407,0.9988287,0.15516244,fashion_mnist,cnn,1024
6,1.83036359,1.96116589,0.36235061,0.36027716,0.99815465,0.14903713,fashion_mnist,cnn,1024
7,1.72859798,1.85265079,0.40509357,0.40273108,1.00157029,0.14393502,fashion_mnist,cnn,1024
8,1.63789076,1.75591991,0.43973714,0.4370997,0.99909777,0.14035752,fashion_mnist,cnn,1024
9,1.56622266,1.67954301,0.46713957,0.4642406,0.99555916,0.13504034,fashion_mnist,cnn,1024
10,1.48225276,1.58992066,0.4982846,0.49513685,1.00483043,0.1304579,fashion_mnist,cnn,1024
11,1.40909246,1.5118405,0.52492995,0.52154555,1.00097026,0.12604707,fashion_mnist,cnn,1024
12,1.33910922,1.43712176,0.54773631,0.5441268,1.001003,0.12171435,fashion_mnist,cnn,1024
13,1.27576793,1.36948776,0.57240604,0.5685824,1.00195209,0.11742209,fashion_mnist,cnn,1024
14,1.21385482,1.30334684,0.5987655,0.59473818,0.99964361,0.11361224,fashion_mnist,cnn,1024
15,1.15364275,1.23899425,0.60976505,0.60554398,1.00284244,0.11008809,fashion_mnist,cnn,1024
16,1.09678171,1.17820481,0.63793139,0.63352603,0.9993555,0.10615057,fashion_mnist,cnn,1024
17,1.04780918,1.1258575,0.6529337,0.64835302,1.00149919,0.10446049,fashion_mnist,cnn,1024
18,0.99207081,1.06620954,0.67320892,0.66846148,0.99977593,0.10008152,fashion_mnist,cnn,1024
19,0.94277728,1.01345794,0.68961025,0.68470417,1.00130013,0.09588434,fashion_mnist,cnn,1024
20,0.90918344,0.977559,0.7067246,0.70166763,1.00430065,0.09280662,fashion_mnist,cnn,1024
21,0.85187208,0.91613363,0.71684243,0.71164193,1.00101704,0.09012018,fashion_mnist,cnn,1024
22,0.80901784,0.87022929,0.73194357,0.72660654,0.99803069,0.08736226,fashion_mnist,cnn,1024
23,0.76990066,0.82832289,0.74568765,0.74022074,0.99709152,0.08402183,fashion_mnist,cnn,1024
24,0.74852131,0.8054837,0.75605241,0.75046196,0.99615847,0.08190148,fashion_mnist,cnn,1024
25,0.70134638,0.75486807,0.76301325,0.75730529,0.99923999,0.07919844,fashion_mnist,cnn,1024
26,0.6688109,0.71998931,0.77969997,0.77388022,0.99687358,0.07570907,fashion_mnist,cnn,1024
27,0.64063553,0.68978905,0.78711919,0.78119311,1.00252438,0.07412362,fashion_mnist,cnn,1024
28,0.61496994,0.66227767,0.79381934,0.78779211,0.99929848,0.07127695,fashion_mnist,cnn,1024
29,0.57449624,0.61880351,0.8031169,0.79699346,0.99909044,0.0703892,fashion_mnist,cnn,1024
30,0.55080039,0.59338645,0.81149723,0.80528227,0.99864738,0.06738361,fashion_mnist,cnn,1024
31,0.52316747,0.56371604,0.82172261,0.81542059,1.00375137,0.06512078,fashion_mnist,cnn,1024
32,0.4942309,0.53262841,0.82644091,0.82005608,0.99857619,0.06193356,fashion_mnist,cnn,1024
33,0.47706413,0.51421472,0.83270242,0.82623882,1.00279907,0.06142974,fashion_mnist,cnn,1024
34,0.45358197,0.48898483,0.83707414,0.83053561,0.99811037,0.05924648,fashion_mnist,cnn,1024
35,0.44036451,0.47481276,0.84637182,0.83976201,1.00045031,0.05699237,fashion_mnist,cnn,1024
36,0.41148498,0.44374464,0.85117651,0.8444989,1.00196487,0.05441245,fashion_mnist,cnn,1024
37,0.3906069,0.42129544,0.85395161,0.84720951,1.00015949,0.05345745,fashion_mnist,cnn,1024
38,0.38439256,0.41465625,0.85897183,0.85216838,1.0028236,0.05142723,fashion_mnist,cnn,1024
39,0.36068391,0.3891393,0.86294438,0.85608258,0.99899625,0.04924964,fashion_mnist,cnn,1024
40,0.33630246,0.36288763,0.86814192,0.8612246,0.99962183,0.04738998,fashion_mnist,cnn,1024
41,0.32048781,0.34587262,0.87247915,0.86550903,1.00128081,0.04641374,fashion_mnist,cnn,1024
42,0.31433235,0.33927751,0.87795339,0.87093304,1.0018283,0.04474298,fashion_mnist,cnn,1024
43,0.29441427,0.31782273,0.87987367,0.87280554,0.99633516,0.04448648,fashion_mnist,cnn,1024
44,0.27995755,0.30225759,0.88420485,0.87709127,0.99714891,0.04163516,fashion_mnist,cnn,1024
45,0.26607302,0.2873053,0.88729148,0.88013467,1.00011094,0.04343067,fashion_mnist,cnn,1024
46,0.27129299,0.29298002,0.88935515,0.88215722,0.99892878,0.03997544,fashion_mnist,cnn,1024
47,0.24511012,0.26473795,0.89272548,0.88548844,0.99717481,0.03951919,fashion_mnist,cnn,1024
48,0.24061927,0.25992005,0.89391395,0.88663969,0.99865379,0.0373169,fashion_mnist,cnn,1024
49,0.22376062,0.24173881,0.89803731,0.89072765,1.00080538,0.03704349,fashion_mnist,cnn,1024
50,0.21151972,0.22854193,0.90040783,0.89306451,0.99742051,0.03496554,fashion_mnist,cnn,1024
51,0.20848962,0.22529459,0.90197299,0.89459765,1.00311157,0.03367399,fashion_mnist,cnn,1024
52,0.19860534,0.21463845,0.90007748,0.89267167,0.99832597,0.0325167,fashion_mnist,cnn,1024
