epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.34687698,2.51082647,0.14169677,0.1413066,1.00232972,0.17765159,fashion_mnist,fixed_amplitude,8192
2,2.23791278,2.39499617,0.18861417,0.18785287,1.00142693,0.17315053,fashion_mnist,fixed_amplitude,8192
3,2.12403035,2.27381454,0.21660443,0.2154901,1.00184892,0.16555682,fashion_mnist,fixed_amplitude,8192
4,2.02156857,2.16477552,0.26177105,0.2603209,0.99970969,0.15986675,fashion_mnist,fixed_amplitude,8192
5,1.92442456,2.0613551,0.28594486,0.28417527,1.00176958,0.15460177,fashion_mnist,fixed_amplitude,8192
6,1.83830338,1.96967308,0.3184941,0.31642064,0.99856246,0.15042202,fashion_mnist,fixed_amplitude,8192
7,1.74744547,1.87285086,0.34839518,0.34603268,0.99767575,0.14453893,fashion_mnist,fixed_amplitude,8192
8,1.66314273,1.78299158,0.38106953,0.37843209,0.99761079,0.13923527,fashion_mnist,fixed_amplitude,8192
9,1.58127144,1.69568062,0.40881282,0.40591385,0.99853544,0.13577503,fashion_mnist,fixed_amplitude,8192
10,1.50854246,1.61811999,0.43099325,0.4278455,0.99890001,0.13117256,fashion_mnist,fixed_amplitude,8192
11,1.43052199,1.53483261,0.46049159,0.45710718,1.00195079,0.12656997,fashion_mnist,fixed_amplitude,8192
12,1.3625359,1.46226309,0.48566941,0.48205991,0.99582125,0.12149682,fashion_mnist,fixed_amplitude,8192
13,1.31362491,1.41012578,0.50047151,0.49664787,0.99729327,0.11763197,fashion_mnist,fixed_amplitude,8192
14,1.23912575,1.33048088,0.51505055,0.51102323,1.00047469,0.11333724,fashion_mnist,fixed_amplitude,8192
15,1.17791261,1.2650597,0.53753974,0.53331867,1.00051615,0.10956546,fashion_mnist,fixed_amplitude,8192
16,1.11660471,1.19949944,0.55604726,0.55164189,1.00332541,0.1058314,fashion_mnist,fixed_amplitude,8192
17,1.06614601,1.14556019,0.57188711,0.56730643,1.00397056,0.10277988,fashion_mnist,fixed_amplitude,8192
18,1.02877532,1.10565702,0.5858512,0.58110376,1.00438608,0.09978129,fashion_mnist,fixed_amplitude,8192
19,0.97361433,1.04660687,0.5993912,0.59448513,1.00080118,0.09618203,fashion_mnist,fixed_amplitude,8192
20,0.92136787,0.99065976,0.61347699,0.60842003,1.00195156,0.09350633,fashion_mnist,fixed_amplitude,8192
21,0.87913676,0.94545504,0.63123117,0.62603067,0.99992804,0.09003513,fashion_mnist,fixed_amplitude,8192
22,0.83671707,0.90002429,0.64066584,0.63532881,0.99918426,0.08784116,fashion_mnist,fixed_amplitude,8192
23,0.79785483,0.8583983,0.65277994,0.64731303,1.0017548,0.08461166,fashion_mnist,fixed_amplitude,8192
24,0.76067976,0.81856742,0.66552835,0.6599379,1.00031434,0.08078775,fashion_mnist,fixed_amplitude,8192
25,0.73276763,0.78868715,0.67469461,0.66898664,1.00003882,0.07831144,fashion_mnist,fixed_amplitude,8192
26,0.691611,0.74453412,0.68152756,0.67570781,0.99791881,0.0758426,fashion_mnist,fixed_amplitude,8192
27,0.66824513,0.71951704,0.69231421,0.68638813,0.99901145,0.0738552,fashion_mnist,fixed_amplitude,8192
28,0.63209697,0.68072223,0.70276476,0.69673754,0.99781396,0.07090459,fashion_mnist,fixed_amplitude,8192
29,0.6145401,0.6619357,0.70591861,0.69979518,0.99624621,0.07038133,fashion_mnist,fixed_amplitude,8192
30,0.57895283,0.62371554,0.71653821,0.71032325,1.0023601,0.06623712,fashion_mnist,fixed_amplitude,8192
31,0.55170634,0.59446683,0.72295148,0.71664946,1.00071473,0.06610056,fashion_mnist,fixed_amplitude,8192
32,0.52404458,0.56475835,0.73480006,0.72841523,1.0015811,0.06286786,fashion_mnist,fixed_amplitude,8192
33,0.50405688,0.54330948,0.73602872,0.72956512,0.9999869,0.05997626,fashion_mnist,fixed_amplitude,8192
34,0.48915923,0.52733897,0.73980604,0.73326751,0.9993603,0.05801147,fashion_mnist,fixed_amplitude,8192
35,0.46276938,0.49897028,0.75131027,0.74470047,1.00237194,0.05680086,fashion_mnist,fixed_amplitude,8192
36,0.44147146,0.47608201,0.75137237,0.74469476,0.99700767,0.05488024,fashion_mnist,fixed_amplitude,8192
37,0.42116203,0.45425118,0.75669487,0.74995276,1.00011286,0.05242855,fashion_mnist,fixed_amplitude,8192
38,0.40166011,0.43328329,0.76459441,0.75779096,1.00086422,0.05128561,fashion_mnist,fixed_amplitude,8192
39,0.38138361,0.41147206,0.76822651,0.76136471,0.998097,0.04936386,fashion_mnist,fixed_amplitude,8192
40,0.36608668,0.39502633,0.77245964,0.76554232,0.99992522,0.04758759,fashion_mnist,fixed_amplitude,8192
41,0.3495893,0.37727915,0.77468325,0.76771313,0.99914317,0.04636525,fashion_mnist,fixed_amplitude,8192
42,0.33466809,0.36122707,0.77878419,0.77176384,0.9996245,0.04501386,fashion_mnist,fixed_amplitude,8192
43,0.32950063,0.35569876,0.78216402,0.77509589,0.99643565,0.04461752,fashion_mnist,fixed_amplitude,8192
44,0.31127877,0.3360737,0.7879297,0.78081613,1.00111943,0.04182491,fashion_mnist,fixed_amplitude,8192
45,0.29684198,0.32052958,0.79178471,0.78462791,1.00097011,0.04062192,fashion_mnist,fixed_amplitude,8192
46,0.28845867,0.31151792,0.7910146,0.78381667,1.00430963,0.03900926,fashion_mnist,fixed_amplitude,8192
47,0.27515702,0.29719093,0.79465744,0.78742039,0.99459236,0.03778055,fashion_mnist,fixed_amplitude,8192
48,0.26025032,0.28112576,0.79905906,0.7917848,0.99907381,0.03732047,fashion_mnist,fixed_amplitude,8192
49,0.25006712,0.27015893,0.79858412,0.79127447,0.99844812,0.03601008,fashion_mnist,fixed_amplitude,8192
50,0.25045755,0.27061331,0.804237,0.79689368,0.99820196,0.03466028,fashion_mnist,fixed_amplitude,8192
51,0.2310443,0.24966725,0.80375604,0.79638069,1.00217481,0.03377144,fashion_mnist,fixed_amplitude,8192
52,0.23153792,0.25022962,0.80816536,0.80075955,0.99918223,0.03246944,fashion_mnist,fixed_amplitude,8192
53,0.2140084,0.23131121,0.80893188,0.80149709,0.99906752,0.03189144,fashion_mnist,fixed_amplitude,8192
54,0.21169522,0.22883646,0.80891801,0.80145566,0.99638191,0.03140236,fashion_mnist,fixed_amplitude,8192
55,0.20083059,0.21711578,0.81229754,0.80480897,0.99852741,0.02991769,fashion_mnist,fixed_amplitude,8192
56,0.19846786,0.21458439,0.81366588,0.80615236,1.00063083,0.02865287,fashion_mnist,fixed_amplitude,8192
57,0.19570999,0.21162475,0.81563564,0.80809839,0.99984324,0.02821091,fashion_mnist,fixed_amplitude,8192
58,0.17992415,0.19457522,0.81733742,0.80977761,1.00035649,0.02750862,fashion_mnist,fixed_amplitude,8192
59,0.17209256,0.18612465,0.8175095,0.80992822,0.99948481,0.02750978,fashion_mnist,fixed_amplitude,8192
60,0.16669037,0.18029978,0.81897405,0.81137235,0.99854465,0.02613709,fashion_mnist,fixed_amplitude,8192
61,0.15894784,0.17194174,0.82033247,0.81271134,1.001096,0.02441182,fashion_mnist,fixed_amplitude,8192
62,0.15518155,0.16788348,0.82143629,0.81379668,0.99799848,0.02382382,fashion_mnist,fixed_amplitude,8192
63,0.15002325,0.16231806,0.82281214,0.81515496,0.99999833,0.023906,fashion_mnist,fixed_amplitude,8192
64,0.14773159,0.15985317,0.82260379,0.81492989,1.00127292,0.02272908,fashion_mnist,fixed_amplitude,8192
65,0.15186729,0.16434289,0.82464397,0.81695416,0.99584672,0.02293064,fashion_mnist,fixed_amplitude,8192
66,0.1368515,0.14810656,0.82397874,0.81627381,1.000409,0.02095879,fashion_mnist,fixed_amplitude,8192
67,0.14654082,0.15860638,0.82572815,0.81800882,1.00076368,0.02079365,fashion_mnist,fixed_amplitude,8192
68,0.12796795,0.13851595,0.82702848,0.81929547,0.99807326,0.02189867,fashion_mnist,fixed_amplitude,8192
69,0.12373311,0.1339431,0.8292543,0.82150827,0.99801563,0.01938214,fashion_mnist,fixed_amplitude,8192
70,0.12191402,0.13198458,0.8286224,0.82086398,0.99768524,0.01927557,fashion_mnist,fixed_amplitude,8192
71,0.12216812,0.13227016,0.82928133,0.82151112,1.00304119,0.0183846,fashion_mnist,fixed_amplitude,8192
72,0.1191648,0.12902852,0.82908663,0.82130522,1.00294897,0.01780284,fashion_mnist,fixed_amplitude,8192
73,0.12659582,0.13708509,0.83051049,0.82271842,1.00077616,0.0178993,fashion_mnist,fixed_amplitude,8192
74,0.1112243,0.12044893,0.8291381,0.82133589,0.99950964,0.01694726,fashion_mnist,fixed_amplitude,8192
75,0.10879709,0.11782904,0.83116056,0.8233487,0.99984577,0.01681586,fashion_mnist,fixed_amplitude,8192
76,0.10815427,0.11714127,0.83165041,0.82382938,0.99667382,0.01652555,fashion_mnist,fixed_amplitude,8192
77,0.10097431,0.1093724,0.83363822,0.82580846,0.99963126,0.01563853,fashion_mnist,fixed_amplitude,8192
78,0.10589275,0.11470781,0.83282585,0.82498778,1.00140812,0.01493395,fashion_mnist,fixed_amplitude,8192
79,0.09915906,0.10742084,0.8335692,0.82572324,1.00206155,0.01568483,fashion_mnist,fixed_amplitude,8192
80,0.09238455,0.10008851,0.83249623,0.82464275,0.9964076,0.01492013,fashion_mnist,fixed_amplitude,8192
81,0.10242384,0.1109722,0.83362968,0.82576906,0.99933716,0.01626268,fashion_mnist,fixed_amplitude,8192
