epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.34641646,2.51033378,0.14120398,0.14081382,0.9996316,0.17813186,fashion_mnist,fixed_phase,512
2,2.23620021,2.39316339,0.18605691,0.18529561,0.99807725,0.17185489,fashion_mnist,fixed_phase,512
3,2.13123461,2.28152684,0.22117343,0.2200591,1.00039536,0.16583454,fashion_mnist,fixed_phase,512
4,2.01782631,2.16076816,0.26413762,0.26268747,1.00025825,0.16085613,fashion_mnist,fixed_phase,512
5,1.92136556,2.05807843,0.29513487,0.29336527,1.00004622,0.15522721,fashion_mnist,fixed_phase,512
6,1.830022,1.96079989,0.32663328,0.32455982,1.00043628,0.14953632,fashion_mnist,fixed_phase,512
7,1.74148911,1.86646705,0.36328495,0.36092245,0.99780603,0.14402681,fashion_mnist,fixed_phase,512
8,1.65628913,1.7756441,0.38769866,0.38506122,0.99911716,0.14032579,fashion_mnist,fixed_phase,512
9,1.57514581,1.68911179,0.41645479,0.41355582,1.00148293,0.13493423,fashion_mnist,fixed_phase,512
10,1.49850269,1.60735095,0.43938991,0.43624216,0.99739411,0.13150463,fashion_mnist,fixed_phase,512
11,1.42583891,1.52980806,0.46507502,0.46169062,0.9995294,0.12583451,fashion_mnist,fixed_phase,512
12,1.35668791,1.45598707,0.48876833,0.48515883,0.99912841,0.12473094,fashion_mnist,fixed_phase,512
13,1.29274851,1.38771576,0.50956489,0.50574126,0.99884213,0.11722596,fashion_mnist,fixed_phase,512
14,1.2389121,1.33025148,0.53121852,0.5271912,1.00129416,0.11423322,fashion_mnist,fixed_phase,512
15,1.17080737,1.25742878,0.54719041,0.54296934,1.00013458,0.11005409,fashion_mnist,fixed_phase,512
16,1.12561556,1.20917923,0.56835975,0.56395438,1.00421235,0.10650719,fashion_mnist,fixed_phase,512
17,1.06315024,1.14234127,0.58055623,0.57597555,1.00081829,0.10404738,fashion_mnist,fixed_phase,512
18,1.03011144,1.10709299,0.60025796,0.59551052,1.0012595,0.09947091,fashion_mnist,fixed_phase,512
19,0.96857812,1.04119309,0.61659969,0.61169362,0.99821481,0.09600777,fashion_mnist,fixed_phase,512
20,0.91667973,0.98561905,0.63031984,0.62526287,0.99978733,0.09268688,fashion_mnist,fixed_phase,512
21,0.87473456,0.94072076,0.63864255,0.63344205,0.99696469,0.08981051,fashion_mnist,fixed_phase,512
