epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35279425,2.51715711,0.14497274,0.14458258,1.00301438,0.17776967,fashion_mnist,mlp,512
2,2.23554581,2.39246305,0.19335875,0.19259744,1.00121151,0.17194882,fashion_mnist,mlp,512
3,2.1323603,2.28273191,0.23872539,0.23761105,0.99897602,0.16519484,fashion_mnist,mlp,512
4,2.01381093,2.15646833,0.27627781,0.27482765,1.00237658,0.16217728,fashion_mnist,mlp,512
5,1.92045239,2.05710029,0.31767878,0.31590919,1.00075509,0.15559402,fashion_mnist,mlp,512
6,1.82600703,1.956498,0.35880576,0.3567323,1.00442969,0.14934535,fashion_mnist,mlp,512
7,1.73097137,1.8551945,0.39055994,0.38819744,1.00055526,0.14393031,fashion_mnist,mlp,512
8,1.64282596,1.76121075,0.42203867,0.41940123,0.99901824,0.13912897,fashion_mnist,mlp,512
9,1.56335397,1.67646677,0.4498466,0.44694763,1.00113361,0.13467311,fashion_mnist,mlp,512
10,1.49162648,1.59997527,0.47465737,0.47150961,1.00411898,0.13094842,fashion_mnist,mlp,512
11,1.41650136,1.51978963,0.50936131,0.50597691,1.00067716,0.12665664,fashion_mnist,mlp,512
12,1.35222494,1.45119745,0.52936226,0.52575275,1.00182508,0.12142284,fashion_mnist,mlp,512
13,1.28306442,1.37732027,0.55087463,0.547051,0.99791051,0.11757278,fashion_mnist,mlp,512
14,1.23462252,1.32564565,0.57315448,0.56912716,1.00476587,0.11390203,fashion_mnist,mlp,512
15,1.17095768,1.25759021,0.59112567,0.5869046,1.00026351,0.11027641,fashion_mnist,mlp,512
16,1.10111168,1.18285623,0.60941023,0.60500486,0.99941843,0.10773436,fashion_mnist,mlp,512
17,1.05135286,1.12966514,0.62987658,0.6252959,0.99773428,0.10434715,fashion_mnist,mlp,512
18,1.00143372,1.07627215,0.64605263,0.64130519,1.00182191,0.10004612,fashion_mnist,mlp,512
19,0.95921273,1.03112557,0.66359834,0.65869227,1.00009459,0.096254,fashion_mnist,mlp,512
20,0.90356821,0.97152147,0.67708551,0.67202854,0.99826108,0.09242147,fashion_mnist,mlp,512
21,0.85931569,0.92413875,0.69164361,0.68644311,1.00046141,0.08994654,fashion_mnist,mlp,512
22,0.82337773,0.88567567,0.70577996,0.70044293,0.99913525,0.08746102,fashion_mnist,mlp,512
23,0.77844539,0.83751602,0.71735006,0.71188316,1.00286611,0.08387091,fashion_mnist,mlp,512
24,0.74198696,0.7984521,0.72746545,0.721875,0.99859145,0.08228914,fashion_mnist,mlp,512
25,0.70901386,0.76312068,0.7383477,0.73263974,1.0009224,0.07846314,fashion_mnist,mlp,512
26,0.67473042,0.72636181,0.74639112,0.74057137,1.00245207,0.07562196,fashion_mnist,mlp,512
27,0.64293597,0.69226599,0.75764079,0.75171472,0.99783954,0.073546,fashion_mnist,mlp,512
28,0.62442153,0.67245634,0.76590446,0.75987724,0.99954072,0.07137317,fashion_mnist,mlp,512
29,0.59104802,0.63663183,0.7722794,0.76615596,0.99928213,0.06928872,fashion_mnist,mlp,512
30,0.56854742,0.61250561,0.78342261,0.77720765,0.99970567,0.06721257,fashion_mnist,mlp,512
31,0.53274408,0.57403489,0.78718387,0.78088186,0.99573914,0.06521189,fashion_mnist,mlp,512
32,0.50794031,0.54740293,0.79580927,0.78942445,0.99869477,0.06256093,fashion_mnist,mlp,512
33,0.49139893,0.52966582,0.8011578,0.7946942,0.99761024,0.06085545,fashion_mnist,mlp,512
34,0.4599649,0.49586597,0.80810528,0.80156675,0.99769831,0.05876723,fashion_mnist,mlp,512
35,0.43718486,0.47138437,0.81153664,0.80492683,0.99914987,0.05664859,fashion_mnist,mlp,512
36,0.41844004,0.45124497,0.81759635,0.81091874,0.99868886,0.05467655,fashion_mnist,mlp,512
37,0.40825431,0.44032935,0.82309929,0.81635719,1.00083078,0.05257505,fashion_mnist,mlp,512
38,0.39065247,0.42140901,0.82664157,0.81983812,1.00217926,0.05151647,fashion_mnist,mlp,512
39,0.36489936,0.39368731,0.83035891,0.8234971,0.99969143,0.04913683,fashion_mnist,mlp,512
40,0.35603692,0.38418213,0.83570123,0.82878391,0.99761863,0.0491038,fashion_mnist,mlp,512
41,0.33659857,0.36325946,0.83782938,0.83085926,1.00327184,0.04703262,fashion_mnist,mlp,512
42,0.32319723,0.34884589,0.8429924,0.83597206,1.00222496,0.04495209,fashion_mnist,mlp,512
43,0.3084801,0.33300691,0.84506819,0.83800006,0.99672019,0.04348135,fashion_mnist,mlp,512
44,0.29190915,0.31516119,0.84780407,0.8406905,0.99846601,0.04243886,fashion_mnist,mlp,512
45,0.27862589,0.30085987,0.85012069,0.84296388,1.00051194,0.04069463,fashion_mnist,mlp,512
46,0.27230873,0.29407696,0.8540158,0.84681788,0.99948914,0.04027,fashion_mnist,mlp,512
47,0.25311436,0.27338314,0.85557246,0.84833541,1.00037606,0.03791225,fashion_mnist,mlp,512
48,0.24933715,0.26933722,0.8589811,0.85170685,0.9996166,0.03748633,fashion_mnist,mlp,512
49,0.23692744,0.25596353,0.8605337,0.85322405,1.00054655,0.03778362,fashion_mnist,mlp,512
