epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35127236,2.5155289,0.16537454,0.16498438,0.99834709,0.17708331,fashion_mnist,proposed,2024
2,2.2267869,2.38308934,0.21056575,0.20980445,0.99973169,0.17146255,fashion_mnist,proposed,2024
3,2.11393988,2.26301251,0.26175123,0.2606369,1.00050991,0.16530304,fashion_mnist,proposed,2024
4,2.00707396,2.14925412,0.30897818,0.30752802,0.99895028,0.1610313,fashion_mnist,proposed,2024
5,1.90848869,2.04428533,0.34828525,0.34651565,1.00043975,0.15421412,fashion_mnist,proposed,2024
6,1.81213244,1.94163189,0.38593637,0.38386292,0.99775883,0.14950608,fashion_mnist,proposed,2024
7,1.72357345,1.84726567,0.42667738,0.42431489,0.99915032,0.14462393,fashion_mnist,proposed,2024
8,1.63310967,1.75079429,0.46622095,0.46358351,1.00151141,0.13906383,fashion_mnist,proposed,2024
9,1.55077169,1.66297413,0.49218325,0.48928428,0.99822332,0.13481292,fashion_mnist,proposed,2024
10,1.48074697,1.58830549,0.52274944,0.51960169,0.99942036,0.13107244,fashion_mnist,proposed,2024
11,1.41989989,1.52343598,0.54866038,0.54527598,1.00154212,0.12566639,fashion_mnist,proposed,2024
12,1.32969661,1.42702022,0.57520064,0.57159113,1.00155737,0.12181656,fashion_mnist,proposed,2024
13,1.26836455,1.36154053,0.5997077,0.59588406,0.99992221,0.11748538,fashion_mnist,proposed,2024
14,1.20906636,1.29820535,0.62092406,0.61689674,0.99843112,0.11436923,fashion_mnist,proposed,2024
15,1.14153135,1.2259868,0.64451721,0.64029614,1.00023296,0.1102812,fashion_mnist,proposed,2024
16,1.09274736,1.17387096,0.65948665,0.65508128,1.00309008,0.10618109,fashion_mnist,proposed,2024
17,1.03260192,1.10951749,0.6775878,0.67300712,1.00103738,0.1045196,fashion_mnist,proposed,2024
18,0.98185416,1.05522939,0.6953585,0.69061105,0.99697131,0.09968519,fashion_mnist,proposed,2024
19,0.93431544,1.00436171,0.71099409,0.70608802,0.9964201,0.09748291,fashion_mnist,proposed,2024
20,0.88843032,0.95524513,0.72194903,0.71689206,0.99676183,0.09262949,fashion_mnist,proposed,2024
