epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.36019316,2.5250729,0.12874446,0.12835429,1.00182467,0.17704022,fashion_mnist,random_unitary,2024
2,2.24542131,2.40303174,0.15373205,0.15297075,0.99895898,0.17108493,fashion_mnist,random_unitary,2024
3,2.14723498,2.29865554,0.1800554,0.17894107,0.99965283,0.16527653,fashion_mnist,random_unitary,2024
4,2.04352439,2.18828668,0.20803354,0.20658338,0.99809998,0.16063205,fashion_mnist,random_unitary,2024
5,1.93902481,2.07699422,0.23230167,0.23053207,1.00016844,0.15472403,fashion_mnist,random_unitary,2024
6,1.85065365,1.98290593,0.25160216,0.2495287,0.99860823,0.15120056,fashion_mnist,random_unitary,2024
7,1.76585136,1.89257765,0.2778917,0.2755292,0.99671021,0.14437124,fashion_mnist,random_unitary,2024
8,1.69120371,1.81307468,0.29798296,0.29534552,1.00067674,0.14035459,fashion_mnist,random_unitary,2024
9,1.60611957,1.72232658,0.31497236,0.31207339,1.00362286,0.13497849,fashion_mnist,random_unitary,2024
10,1.53372421,1.64513089,0.32962518,0.32647743,0.99667175,0.13133558,fashion_mnist,random_unitary,2024
11,1.46331688,1.57001884,0.35328551,0.34990111,1.00188199,0.12726127,fashion_mnist,random_unitary,2024
12,1.39845531,1.50081153,0.37075239,0.36714288,0.9977183,0.12285441,fashion_mnist,random_unitary,2024
13,1.3311505,1.42893882,0.38554449,0.38172086,1.00244246,0.11787227,fashion_mnist,random_unitary,2024
14,1.27741518,1.37159321,0.40318049,0.39915318,0.99846732,0.11401029,fashion_mnist,random_unitary,2024
15,1.20978236,1.29928731,0.41962918,0.41540812,0.99784483,0.11146466,fashion_mnist,random_unitary,2024
16,1.1546641,1.24038428,0.42903885,0.42463348,1.00134686,0.1069167,fashion_mnist,random_unitary,2024
17,1.10909148,1.19170454,0.44680689,0.44222621,1.00216369,0.10351419,fashion_mnist,random_unitary,2024
18,1.05105372,1.12960032,0.46470916,0.45996171,0.99657343,0.10119371,fashion_mnist,random_unitary,2024
19,1.01294273,1.08888374,0.47243372,0.46752764,0.99843274,0.09586585,fashion_mnist,random_unitary,2024
20,0.96622152,1.03888666,0.484486,0.47942903,1.00160033,0.09418095,fashion_mnist,random_unitary,2024
21,0.92680509,0.99671926,0.50192141,0.49672091,1.00359072,0.09013631,fashion_mnist,random_unitary,2024
22,0.87462669,0.94080221,0.51194018,0.50660315,0.99767855,0.08646364,fashion_mnist,random_unitary,2024
23,0.84141564,0.90526463,0.51836643,0.51289952,0.99708164,0.08371505,fashion_mnist,random_unitary,2024
24,0.80959806,0.87120839,0.52674054,0.52115009,0.99824949,0.08076906,fashion_mnist,random_unitary,2024
25,0.76842223,0.82706266,0.5390171,0.53330914,0.99628639,0.07977279,fashion_mnist,random_unitary,2024
26,0.73070962,0.78662462,0.5495851,0.54376535,0.99939023,0.07656865,fashion_mnist,random_unitary,2024
27,0.7098147,0.76427608,0.55690985,0.55098377,0.99871575,0.07338923,fashion_mnist,random_unitary,2024
28,0.67234555,0.724067,0.56551069,0.55948346,1.0014061,0.07246258,fashion_mnist,random_unitary,2024
29,0.65248481,0.70280686,0.57527923,0.5691558,0.99901114,0.06904817,fashion_mnist,random_unitary,2024
30,0.61839551,0.6662078,0.58533139,0.57911643,0.99737935,0.06628917,fashion_mnist,random_unitary,2024
31,0.59565484,0.6418216,0.58931227,0.58301026,1.00222751,0.0642287,fashion_mnist,random_unitary,2024
32,0.57758216,0.62245535,0.59452759,0.58814276,1.00130368,0.06200069,fashion_mnist,random_unitary,2024
33,0.5450146,0.58745672,0.60354808,0.59708448,1.0010584,0.06036416,fashion_mnist,random_unitary,2024
34,0.52561715,0.56664249,0.61305586,0.60651733,1.00019764,0.05777837,fashion_mnist,random_unitary,2024
35,0.49524834,0.53398996,0.61565978,0.60904997,0.99957595,0.05645071,fashion_mnist,random_unitary,2024
36,0.47898752,0.51653926,0.62470952,0.61803191,1.00325866,0.0550948,fashion_mnist,random_unitary,2024
37,0.46012494,0.49627527,0.62917687,0.62243477,1.00232402,0.05307626,fashion_mnist,random_unitary,2024
38,0.44492671,0.47995632,0.63343358,0.62663013,1.00012091,0.05080334,fashion_mnist,random_unitary,2024
39,0.42417156,0.45763567,0.63913349,0.63227168,0.99874357,0.0492599,fashion_mnist,random_unitary,2024
40,0.40299319,0.43485035,0.64331588,0.63639856,0.99962711,0.04742426,fashion_mnist,random_unitary,2024
41,0.38916769,0.41999241,0.64869025,0.64172013,0.99929479,0.04647291,fashion_mnist,random_unitary,2024
42,0.38423592,0.41472856,0.65337839,0.64635804,0.99851689,0.04528917,fashion_mnist,random_unitary,2024
43,0.36968476,0.39907787,0.65882416,0.65175603,1.00261726,0.04300573,fashion_mnist,random_unitary,2024
44,0.3449119,0.37238588,0.6633404,0.65622682,1.00014688,0.04246874,fashion_mnist,random_unitary,2024
45,0.33831428,0.36531132,0.66529105,0.65813424,1.00006892,0.04045193,fashion_mnist,random_unitary,2024
46,0.32010881,0.34569815,0.66928791,0.66208998,1.00026972,0.040117,fashion_mnist,random_unitary,2024
47,0.30705512,0.33164335,0.67288957,0.66565252,0.99915588,0.03926801,fashion_mnist,random_unitary,2024
48,0.30567187,0.33019072,0.67704978,0.66977553,1.00173825,0.03774508,fashion_mnist,random_unitary,2024
49,0.28568704,0.30864076,0.68051101,0.67320136,1.00018735,0.03590924,fashion_mnist,random_unitary,2024
50,0.27414904,0.2962114,0.68535002,0.6780067,0.99885762,0.0348062,fashion_mnist,random_unitary,2024
51,0.26925302,0.29095572,0.68765936,0.68028402,0.99893053,0.03329683,fashion_mnist,random_unitary,2024
52,0.2591723,0.28009488,0.69017661,0.6827708,0.99647872,0.03253601,fashion_mnist,random_unitary,2024
53,0.25472322,0.27531786,0.69329576,0.68586097,0.99894128,0.03228362,fashion_mnist,random_unitary,2024
54,0.24294165,0.26261296,0.69754497,0.69008261,1.000563,0.03167548,fashion_mnist,random_unitary,2024
55,0.24014404,0.25961712,0.70022049,0.69273192,1.00224302,0.0294562,fashion_mnist,random_unitary,2024
56,0.2240632,0.2422582,0.7027981,0.69528458,1.00057942,0.02875106,fashion_mnist,random_unitary,2024
57,0.21738672,0.23506418,0.70355601,0.69601877,1.00185067,0.02755323,fashion_mnist,random_unitary,2024
58,0.22059086,0.23855338,0.70630686,0.69874705,0.99850435,0.02683792,fashion_mnist,random_unitary,2024
59,0.204403,0.22106962,0.70860072,0.70101944,1.00260341,0.0259268,fashion_mnist,random_unitary,2024
60,0.20107955,0.21749665,0.71157636,0.70397466,0.99883287,0.0251867,fashion_mnist,random_unitary,2024
61,0.19337779,0.20918633,0.71271119,0.70509006,0.99996019,0.02471063,fashion_mnist,random_unitary,2024
62,0.19055572,0.20615311,0.71421655,0.70657694,0.99985002,0.02439687,fashion_mnist,random_unitary,2024
63,0.20065545,0.21709971,0.71603882,0.70838163,1.00163126,0.02322092,fashion_mnist,random_unitary,2024
64,0.17471526,0.18905088,0.7189466,0.71127269,0.99830292,0.02296839,fashion_mnist,random_unitary,2024
65,0.17901202,0.1937175,0.72140829,0.71371848,0.99667347,0.02200666,fashion_mnist,random_unitary,2024
66,0.16829358,0.18213452,0.7217234,0.71401847,1.00040294,0.02171604,fashion_mnist,random_unitary,2024
67,0.16499553,0.17858057,0.72367035,0.71595103,0.99975209,0.02026775,fashion_mnist,random_unitary,2024
68,0.1620531,0.17541064,0.72482229,0.71708928,0.99677211,0.0208349,fashion_mnist,random_unitary,2024
69,0.15236076,0.164933,0.72817035,0.72042432,0.99952545,0.02103289,fashion_mnist,random_unitary,2024
70,0.15339797,0.16606923,0.72728858,0.71953016,0.9994759,0.020067,fashion_mnist,random_unitary,2024
71,0.14769039,0.15990286,0.72723159,0.71946139,0.99982876,0.0184942,fashion_mnist,random_unitary,2024
72,0.14460951,0.15657939,0.73028407,0.72250266,0.99909349,0.01851304,fashion_mnist,random_unitary,2024
73,0.14077899,0.15244342,0.73050349,0.72271142,1.00061313,0.01758833,fashion_mnist,random_unitary,2024
74,0.143273,0.15515567,0.73243205,0.72462983,0.99998387,0.01681595,fashion_mnist,random_unitary,2024
75,0.13946468,0.15104256,0.73282991,0.72501806,0.99970845,0.01621958,fashion_mnist,random_unitary,2024
76,0.13991679,0.15154307,0.73460223,0.7267812,0.99811369,0.01630174,fashion_mnist,random_unitary,2024
77,0.13850475,0.15002425,0.73613247,0.72830271,1.00216396,0.01651498,fashion_mnist,random_unitary,2024
78,0.12665064,0.13719369,0.73702137,0.72918331,0.99761131,0.01605945,fashion_mnist,random_unitary,2024
79,0.12223545,0.13241991,0.73717083,0.72932487,1.0011984,0.0172593,fashion_mnist,random_unitary,2024
80,0.1250246,0.13545043,0.73796695,0.73011347,1.00063622,0.01514506,fashion_mnist,random_unitary,2024
81,0.12560383,0.13608681,0.73968293,0.73182231,1.0020409,0.0141638,fashion_mnist,random_unitary,2024
82,0.12238615,0.13260902,0.73842873,0.73056132,1.00029475,0.01323382,fashion_mnist,random_unitary,2024
83,0.12400551,0.13437203,0.73996914,0.73209526,0.99987221,0.01295746,fashion_mnist,random_unitary,2024
84,0.11309434,0.12255622,0.74104113,0.7331611,0.99814557,0.01263108,fashion_mnist,random_unitary,2024
85,0.12192176,0.1321301,0.74154322,0.73365733,1.00028936,0.01275418,fashion_mnist,random_unitary,2024
86,0.11845557,0.12838124,0.7425085,0.73461704,1.00069629,0.01245742,fashion_mnist,random_unitary,2024
87,0.11919783,0.12919314,0.74358364,0.7356869,1.0002155,0.01174007,fashion_mnist,random_unitary,2024
88,0.10898207,0.11812741,0.74362651,0.73572473,1.00034023,0.01165033,fashion_mnist,random_unitary,2024
89,0.10564817,0.11452009,0.74516708,0.73726051,1.00159267,0.01183987,fashion_mnist,random_unitary,2024
90,0.10258615,0.11120697,0.74506975,0.73715862,1.00122981,0.01150565,fashion_mnist,random_unitary,2024
91,0.10304672,0.11171219,0.74601496,0.7380995,1.00246223,0.01094011,fashion_mnist,random_unitary,2024
92,0.10064567,0.10911492,0.74567542,0.73775584,0.99963697,0.01142328,fashion_mnist,random_unitary,2024
93,0.11663937,0.12646095,0.7468203,0.7388968,0.99936608,0.01040418,fashion_mnist,random_unitary,2024
94,0.09747536,0.10568853,0.74650438,0.73857714,1.00348844,0.00971687,fashion_mnist,random_unitary,2024
95,0.10001211,0.10844436,0.74671405,0.73878326,0.99873077,0.01023127,fashion_mnist,random_unitary,2024
96,0.10853537,0.1176919,0.74785314,0.73991898,0.9973556,0.00984205,fashion_mnist,random_unitary,2024
97,0.09416397,0.10211289,0.74854317,0.7406058,1.00274935,0.00945115,fashion_mnist,random_unitary,2024
98,0.09308376,0.10094616,0.74912367,0.74118324,0.99893381,0.0090561,fashion_mnist,random_unitary,2024
99,0.09633766,0.10447965,0.7490855,0.74114217,1.00126546,0.00938288,fashion_mnist,random_unitary,2024
100,0.09184513,0.09961187,0.74995423,0.74200813,1.00037779,0.00860099,fashion_mnist,random_unitary,2024
