epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35471163,2.51920843,0.14761726,0.14722709,0.99721502,0.17731298,mnist,cnn,42
2,2.22737389,2.38371753,0.2069166,0.2061553,0.99816517,0.17096596,mnist,cnn,42
3,2.11949828,2.26896288,0.25151554,0.2504012,0.99836729,0.16538825,mnist,cnn,42
4,2.00934251,2.15168337,0.29533252,0.29388236,0.99716516,0.1597183,mnist,cnn,42
5,1.90712358,2.04282309,0.34309005,0.34132046,0.99813938,0.15624874,mnist,cnn,42
6,1.81264738,1.94218364,0.37902431,0.37695086,0.99985897,0.1491584,mnist,cnn,42
7,1.7182436,1.84155332,0.42498745,0.42262495,0.99775042,0.14557041,mnist,cnn,42
8,1.63393857,1.75168292,0.46457415,0.46193671,0.999947,0.14102221,mnist,cnn,42
9,1.55336068,1.66575044,0.49172733,0.48882835,1.00125842,0.13469249,mnist,cnn,42
10,1.47635601,1.58359558,0.52601594,0.52286819,1.00214249,0.13106645,mnist,cnn,42
11,1.40202743,1.50426029,0.56112633,0.55774193,1.00060263,0.12596845,mnist,cnn,42
12,1.33260745,1.43014411,0.58582292,0.58221342,1.00070937,0.12343764,mnist,cnn,42
13,1.26774101,1.36087118,0.60956196,0.60573832,0.99945738,0.11885882,mnist,cnn,42
14,1.20621737,1.29514631,0.63726754,0.63324022,0.9981061,0.11463133,mnist,cnn,42
15,1.14054221,1.22492447,0.65229748,0.64807641,0.99930217,0.11075221,mnist,cnn,42
16,1.07966242,1.15981462,0.68018316,0.6757778,0.99849067,0.1067731,mnist,cnn,42
17,1.02719948,1.10371264,0.69463401,0.69005333,1.00013309,0.10282789,mnist,cnn,42
18,0.97526117,1.04814369,0.71788301,0.71313556,1.00092597,0.09928678,mnist,cnn,42
19,0.93139907,1.0012267,0.73906552,0.73415944,1.00164739,0.09639062,mnist,cnn,42
20,0.88360076,0.95005236,0.76058373,0.75552677,0.99989937,0.09281268,mnist,cnn,42
21,0.83816785,0.90139561,0.77178366,0.76658316,0.99954831,0.08962045,mnist,cnn,42
22,0.79331588,0.8533393,0.78376428,0.77842724,1.0005064,0.08756442,mnist,cnn,42
23,0.76730456,0.82552979,0.79609707,0.79063016,1.00030186,0.08425897,mnist,cnn,42
24,0.72768204,0.78305857,0.80663926,0.80104882,0.99972123,0.0808519,mnist,cnn,42
25,0.6837973,0.73597977,0.82684919,0.82114123,0.99990629,0.08069531,mnist,cnn,42
26,0.6532602,0.70324866,0.8328309,0.82701115,1.00223447,0.07632997,mnist,cnn,42
27,0.61569328,0.66293308,0.84668796,0.84076189,0.99757984,0.07352913,mnist,cnn,42
28,0.59209092,0.63763863,0.85553768,0.84951045,0.99782979,0.07064637,mnist,cnn,42
29,0.56456964,0.60811134,0.86708334,0.86095991,1.00008666,0.06850965,mnist,cnn,42
30,0.53608423,0.57753248,0.87155269,0.86533773,0.99742694,0.06657333,mnist,cnn,42
31,0.50376248,0.54280704,0.87738926,0.87108724,0.99931482,0.06393344,mnist,cnn,42
32,0.48772452,0.52561654,0.89008404,0.88369921,0.99898945,0.06199259,mnist,cnn,42
33,0.45600062,0.49151092,0.89284504,0.88638144,1.00105644,0.06122935,mnist,cnn,42
34,0.43254993,0.46631121,0.90264202,0.89610348,1.00385056,0.05802782,mnist,cnn,42
35,0.40923266,0.44124556,0.9097354,0.90312559,1.00276405,0.05643071,mnist,cnn,42
36,0.390976,0.4216278,0.91374065,0.90706305,1.00139898,0.05465999,mnist,cnn,42
37,0.37087657,0.40001498,0.91959143,0.91284932,1.0025103,0.05237052,mnist,cnn,42
38,0.35161087,0.37929362,0.92496462,0.91816117,0.99778402,0.05092809,mnist,cnn,42
39,0.33411811,0.36047764,0.93034423,0.92348243,1.00015443,0.04997982,mnist,cnn,42
40,0.32129533,0.34669416,0.93359561,0.9266783,0.9995908,0.04775614,mnist,cnn,42
41,0.31139088,0.33605515,0.9378408,0.93087068,0.99821545,0.04788984,mnist,cnn,42
42,0.29093301,0.31402122,0.94339158,0.93637123,1.0013151,0.04525064,mnist,cnn,42
43,0.28323718,0.30575697,0.9489638,0.94189568,1.00079459,0.04345015,mnist,cnn,42
44,0.26356538,0.2845597,0.95159787,0.9444843,1.00300253,0.04191692,mnist,cnn,42
45,0.24731619,0.2670517,0.95430433,0.94714752,1.00097101,0.04126739,mnist,cnn,42
46,0.24288317,0.26229913,0.95446682,0.94726889,1.00000602,0.03931728,mnist,cnn,42
47,0.2222006,0.23999388,0.95943488,0.95219783,0.99779049,0.03867742,mnist,cnn,42
48,0.21303923,0.23012774,0.96097422,0.95369996,1.00236361,0.03741305,mnist,cnn,42
49,0.20510053,0.22157947,0.96552276,0.95821311,0.99976738,0.03575879,mnist,cnn,42
50,0.19986243,0.21594651,0.96560763,0.95826431,0.99851965,0.03503951,mnist,cnn,42
51,0.18388871,0.19871076,0.96842996,0.96105461,0.99849451,0.03367624,mnist,cnn,42
52,0.17256742,0.18649852,0.97152323,0.96411742,0.99972314,0.03225019,mnist,cnn,42
53,0.16771363,0.18127346,0.97213185,0.96469706,0.99723192,0.03273724,mnist,cnn,42
54,0.16217176,0.17530302,0.97492004,0.96745768,1.00345651,0.03084141,mnist,cnn,42
55,0.15037217,0.16256573,0.97578162,0.96829305,1.00108909,0.02998116,mnist,cnn,42
56,0.1485464,0.16060907,0.97988099,0.97236747,1.00102155,0.02900993,mnist,cnn,42
57,0.13384582,0.1447299,0.98036526,0.97282802,1.00151714,0.02803108,mnist,cnn,42
58,0.13605242,0.14713105,0.98168701,0.9741272,0.99953471,0.0287585,mnist,cnn,42
59,0.13779402,0.14902947,0.98270676,0.97512548,1.0005355,0.02637304,mnist,cnn,42
60,0.12503422,0.13524261,0.98495161,0.97734991,0.99636894,0.02511576,mnist,cnn,42
61,0.11460051,0.12396904,0.98489327,0.97727214,0.99714671,0.0266184,mnist,cnn,42
62,0.10793608,0.11677087,0.98668081,0.9790412,1.0013091,0.02462858,mnist,cnn,42
63,0.10403755,0.11256371,0.98820997,0.98055278,0.99976945,0.02338285,mnist,cnn,42
64,0.10223361,0.11062202,0.98855908,0.98088518,1.00298862,0.02226664,mnist,cnn,42
65,0.09785189,0.10589023,0.99022965,0.98253984,0.99551497,0.02227802,mnist,cnn,42
66,0.08810658,0.09535271,0.99070878,0.98300385,1.00032694,0.02124864,mnist,cnn,42
67,0.08183683,0.08857493,0.99065255,0.98293323,0.99868695,0.02028953,mnist,cnn,42
68,0.08639905,0.09352066,0.99242965,0.98469663,0.99996722,0.02112293,mnist,cnn,42
69,0.07813412,0.08458145,0.99291105,0.98516502,1.00208314,0.01929044,mnist,cnn,42
70,0.07485913,0.08104278,0.9922305,0.98447208,1.00015022,0.01927114,mnist,cnn,42
71,0.07188112,0.07782495,0.99360652,0.98583631,0.9987608,0.0195816,mnist,cnn,42
72,0.06727219,0.07284056,0.99369415,0.98591274,0.99982228,0.01811303,mnist,cnn,42
73,0.06301256,0.06823355,0.99446801,0.98667594,0.99999476,0.01735685,mnist,cnn,42
74,0.05890383,0.06378915,0.99498888,0.98718667,0.99857057,0.01692842,mnist,cnn,42
75,0.0588064,0.06368831,0.99654953,0.98873768,0.99928387,0.01642381,mnist,cnn,42
76,0.05215772,0.05649173,0.99646395,0.98864292,1.00262916,0.01661599,mnist,cnn,42
77,0.05069995,0.05491669,0.99755743,0.98972767,1.00095742,0.01548229,mnist,cnn,42
78,0.06002013,0.06501651,0.99741321,0.98957514,0.99985496,0.01649477,mnist,cnn,42
79,0.05001755,0.05418494,0.99734069,0.98949473,0.99808653,0.01458093,mnist,cnn,42
80,0.05195778,0.05629055,0.99769197,0.98983849,1.00045128,0.01500104,mnist,cnn,42
81,0.04278416,0.04635495,0.99894175,0.99108113,0.99987529,0.01438347,mnist,cnn,42
82,0.04984308,0.05400646,0.99821091,0.99034349,1.00044561,0.01326939,mnist,cnn,42
83,0.03974975,0.04307272,0.99828323,0.99040935,1.00195559,0.01321371,mnist,cnn,42
84,0.0390126,0.04227654,0.999,0.99134084,0.99942837,0.01295132,mnist,cnn,42
85,0.03758172,0.04072839,0.999,0.99116535,1.00034657,0.01329542,mnist,cnn,42
86,0.03605813,0.03907953,0.999,0.99164279,1.00092665,0.01495392,mnist,cnn,42
87,0.04429324,0.04800744,0.999,0.99188278,1.00083974,0.01305776,mnist,cnn,42
88,0.04151148,0.04499496,0.999,0.99170851,1.00001028,0.01154315,mnist,cnn,42
89,0.02884684,0.03126928,0.999,0.99176318,1.00321535,0.01221323,mnist,cnn,42
90,0.03571113,0.03871212,0.999,0.99256333,0.99248552,0.01318644,mnist,cnn,42
91,0.02705299,0.02932794,0.999,0.99315421,0.99454021,0.01105654,mnist,cnn,42
92,0.03024119,0.03278596,0.999,0.99302144,0.99970993,0.01289794,mnist,cnn,42
