epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35340546,2.51781101,0.14146065,0.14107048,0.99926069,0.17689183,mnist,fixed_amplitude,4096
2,2.23937013,2.39655582,0.17793758,0.17717628,0.99892399,0.17106507,mnist,fixed_amplitude,4096
3,2.12091627,2.27048087,0.22685589,0.22574155,0.99841421,0.16555388,mnist,fixed_amplitude,4096
4,2.02330634,2.16663638,0.26343734,0.26198719,0.99926696,0.15981175,mnist,fixed_amplitude,4096
5,1.91838759,2.05488857,0.30266917,0.30089957,1.00235058,0.15513713,mnist,fixed_amplitude,4096
6,1.83010804,1.96089208,0.33205201,0.32997856,0.99880807,0.14994281,mnist,fixed_amplitude,4096
7,1.73832641,1.86307737,0.3632177,0.3608552,0.9983734,0.14511858,mnist,fixed_amplitude,4096
8,1.65177291,1.77080243,0.39727659,0.39463915,0.99563781,0.13964697,mnist,fixed_amplitude,4096
9,1.57423653,1.68813671,0.42714606,0.42424708,1.00048461,0.13449528,mnist,fixed_amplitude,4096
10,1.49558358,1.6042198,0.46262181,0.45947405,0.99577794,0.13032656,mnist,fixed_amplitude,4096
11,1.42210467,1.52580152,0.48225374,0.47886934,1.00284969,0.12683399,mnist,fixed_amplitude,4096
12,1.35281159,1.45182704,0.50907336,0.50546386,0.99805532,0.12221281,mnist,fixed_amplitude,4096
13,1.29602846,1.39123667,0.53070531,0.52688168,1.00031984,0.11855003,mnist,fixed_amplitude,4096
14,1.23038745,1.32109835,0.55444299,0.55041568,0.99837329,0.11478824,mnist,fixed_amplitude,4096
15,1.16546887,1.25169532,0.57519622,0.57097515,0.99881098,0.1096796,mnist,fixed_amplitude,4096
16,1.12036014,1.20353367,0.59131981,0.58691444,0.99780774,0.10718363,mnist,fixed_amplitude,4096
17,1.0567787,1.13549513,0.60799194,0.60341125,0.99896811,0.10372374,mnist,fixed_amplitude,4096
18,1.00674489,1.08198023,0.63135156,0.62660412,1.00004594,0.09926186,mnist,fixed_amplitude,4096
19,0.96976644,1.0424705,0.64451624,0.63961017,0.99919811,0.09780739,mnist,fixed_amplitude,4096
20,0.90724323,0.97547288,0.66256392,0.65750696,1.00315864,0.0930235,mnist,fixed_amplitude,4096
21,0.86612866,0.93146566,0.68122594,0.67602544,1.00211677,0.090116,mnist,fixed_amplitude,4096
22,0.83998241,0.90353669,0.68281821,0.67748118,0.99971488,0.08648262,mnist,fixed_amplitude,4096
23,0.78861557,0.84845794,0.70469543,0.69922852,1.00487117,0.08462231,mnist,fixed_amplitude,4096
24,0.75013699,0.80722235,0.71207401,0.70648356,1.0033382,0.08091894,mnist,fixed_amplitude,4096
25,0.7138743,0.76835202,0.72468809,0.71898013,0.99896986,0.07867076,mnist,fixed_amplitude,4096
26,0.68808392,0.74073713,0.73832014,0.73250039,0.99934932,0.07606515,mnist,fixed_amplitude,4096
27,0.65276533,0.70284953,0.74535693,0.73943085,0.99653229,0.07310037,mnist,fixed_amplitude,4096
28,0.61500585,0.66231634,0.75113927,0.74511205,0.99941422,0.07225579,mnist,fixed_amplitude,4096
29,0.59231742,0.63799913,0.76419078,0.75806734,0.99892965,0.06831649,mnist,fixed_amplitude,4096
30,0.57156061,0.61575177,0.76863013,0.76241517,1.00226654,0.06679161,mnist,fixed_amplitude,4096
31,0.53674926,0.57835049,0.7797444,0.77344239,1.00035519,0.06659351,mnist,fixed_amplitude,4096
32,0.51062043,0.55029126,0.78604745,0.77966262,1.00095774,0.06218288,mnist,fixed_amplitude,4096
33,0.4841185,0.52181843,0.79190873,0.78544513,1.00403852,0.06010197,mnist,fixed_amplitude,4096
34,0.46740338,0.50388503,0.79608146,0.78954293,1.00037905,0.05813889,mnist,fixed_amplitude,4096
