epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35542997,2.51997696,0.13725933,0.13686916,0.99909165,0.177819,mnist,fixed_phase,2024
2,2.23561516,2.39253728,0.18540198,0.18464068,1.00027372,0.17191285,mnist,fixed_phase,2024
3,2.1254248,2.27530733,0.2293674,0.22825307,1.00023505,0.16630131,mnist,fixed_phase,2024
4,2.01795677,2.16090786,0.2707051,0.26925494,1.00405708,0.16006034,mnist,fixed_phase,2024
5,1.92265652,2.05946125,0.30697527,0.30520567,1.0038995,0.1547508,mnist,fixed_phase,2024
6,1.83025209,1.96104643,0.34097721,0.33890376,1.00310962,0.15027835,mnist,fixed_phase,2024
7,1.74319406,1.86829435,0.37971239,0.3773499,1.00175769,0.14435552,mnist,fixed_phase,2024
8,1.65228281,1.77134908,0.40355589,0.40091846,1.00062846,0.14024932,mnist,fixed_phase,2024
9,1.57133769,1.68502813,0.43640791,0.43350894,1.00357431,0.13481625,mnist,fixed_phase,2024
10,1.49633608,1.60502696,0.47056363,0.46741587,0.99982485,0.1316221,mnist,fixed_phase,2024
11,1.42332438,1.52711017,0.48989571,0.48651131,1.00216111,0.12557093,mnist,fixed_phase,2024
12,1.37180265,1.4722081,0.52106814,0.51745863,1.00108524,0.1222283,mnist,fixed_phase,2024
13,1.28446971,1.3788288,0.53524967,0.53142604,0.99672936,0.11804142,mnist,fixed_phase,2024
14,1.23842013,1.32972324,0.56611286,0.56208554,1.0001152,0.11421789,mnist,fixed_phase,2024
15,1.16697604,1.253314,0.58513293,0.58091186,0.99891682,0.1098527,mnist,fixed_phase,2024
16,1.10849817,1.19079108,0.60344613,0.59904076,1.00204653,0.10637053,mnist,fixed_phase,2024
17,1.07016931,1.14988317,0.61948376,0.61490308,0.99685171,0.10315565,mnist,fixed_phase,2024
18,0.99952351,1.07421918,0.64369141,0.63894397,0.99721065,0.09998083,mnist,fixed_phase,2024
19,0.96624617,1.03868631,0.65461939,0.64971332,0.99863928,0.09586904,mnist,fixed_phase,2024
20,0.90474732,0.97278926,0.67015786,0.66510089,1.00075052,0.09366966,mnist,fixed_phase,2024
21,0.86545517,0.93074137,0.68720886,0.68200836,0.99919783,0.09158027,mnist,fixed_phase,2024
22,0.82047984,0.88255852,0.69732374,0.69198671,1.00199234,0.08674414,mnist,fixed_phase,2024
23,0.78807555,0.84787694,0.71561458,0.71014767,1.00141088,0.08515939,mnist,fixed_phase,2024
24,0.7437266,0.80032412,0.7272257,0.72163525,0.99917188,0.08090929,mnist,fixed_phase,2024
25,0.70956678,0.76371579,0.7417608,0.73605284,0.99858441,0.07913964,mnist,fixed_phase,2024
26,0.67311294,0.72462056,0.74804478,0.74222503,0.99542493,0.07557771,mnist,fixed_phase,2024
27,0.64072533,0.68988575,0.75751568,0.7515896,1.00105784,0.07466143,mnist,fixed_phase,2024
28,0.6155066,0.66285562,0.77484829,0.76882107,1.00125259,0.07083186,mnist,fixed_phase,2024
29,0.57974215,0.62445401,0.77830364,0.7721802,1.0006628,0.06932144,mnist,fixed_phase,2024
30,0.56804226,0.6119614,0.78509358,0.77887862,1.00069368,0.06618479,mnist,fixed_phase,2024
31,0.53466985,0.57610992,0.79349973,0.78719771,0.99942649,0.06566572,mnist,fixed_phase,2024
32,0.51513429,0.55515582,0.80442114,0.79803632,1.00266325,0.06263597,mnist,fixed_phase,2024
33,0.48297776,0.52058886,0.81465401,0.80819041,0.99994162,0.05972283,mnist,fixed_phase,2024
34,0.46088152,0.49685413,0.81960403,0.8130655,0.99910654,0.05990639,mnist,fixed_phase,2024
35,0.43383712,0.46777475,0.82368592,0.81707611,1.00122098,0.05720912,mnist,fixed_phase,2024
36,0.4136906,0.44612318,0.8281614,0.82148379,0.99884569,0.05421256,mnist,fixed_phase,2024
37,0.39702397,0.42821669,0.83150144,0.82475934,0.99578944,0.05369577,mnist,fixed_phase,2024
38,0.37759943,0.40732828,0.83991319,0.83310974,1.00272838,0.05123411,mnist,fixed_phase,2024
39,0.35904067,0.38736641,0.8434407,0.83657889,0.99894089,0.04906321,mnist,fixed_phase,2024
40,0.34124414,0.36821996,0.8503315,0.84341418,0.99752266,0.04772749,mnist,fixed_phase,2024
41,0.33077982,0.35697983,0.85507933,0.84810921,1.00065468,0.04687543,mnist,fixed_phase,2024
42,0.31348227,0.33835996,0.8586777,0.85165735,0.99927129,0.04593539,mnist,fixed_phase,2024
43,0.29977834,0.32361329,0.86132123,0.85425311,1.0008722,0.04332924,mnist,fixed_phase,2024
44,0.28409197,0.30672133,0.86334408,0.85623051,0.99982953,0.04330404,mnist,fixed_phase,2024
45,0.28202794,0.3045334,0.86609871,0.85894191,0.99779206,0.04091551,mnist,fixed_phase,2024
46,0.27161797,0.29333098,0.8735058,0.86630787,1.00031212,0.04093117,mnist,fixed_phase,2024
47,0.25494968,0.27536544,0.87747086,0.87023382,0.99525161,0.03781123,mnist,fixed_phase,2024
48,0.24247761,0.26192745,0.87654019,0.86926593,1.00251619,0.03671636,mnist,fixed_phase,2024
49,0.23282004,0.25152612,0.88091568,0.87360603,1.00110443,0.03644883,mnist,fixed_phase,2024
50,0.21658606,0.23401599,0.88559887,0.87825555,0.99973895,0.03509948,mnist,fixed_phase,2024
51,0.20806993,0.22484107,0.88478035,0.877405,0.99928703,0.03354723,mnist,fixed_phase,2024
52,0.20279827,0.21916986,0.88959288,0.88218707,1.00041355,0.03256129,mnist,fixed_phase,2024
53,0.19373826,0.20940221,0.89146559,0.8840308,1.00099888,0.03133167,mnist,fixed_phase,2024
54,0.182754,0.19755183,0.89220467,0.88474232,0.99928905,0.03038942,mnist,fixed_phase,2024
55,0.17857424,0.19305468,0.89567551,0.88818694,1.00049713,0.02946104,mnist,fixed_phase,2024
56,0.1712325,0.18513739,0.89684096,0.88932744,0.99810507,0.02861212,mnist,fixed_phase,2024
57,0.16925006,0.18301314,0.89755692,0.89001967,1.00095301,0.02773761,mnist,fixed_phase,2024
58,0.16017801,0.17322117,0.90051634,0.89295652,1.00277118,0.02802886,mnist,fixed_phase,2024
59,0.14902716,0.16117854,0.90203133,0.89445004,1.00073885,0.02733832,mnist,fixed_phase,2024
60,0.14365864,0.15538762,0.90229938,0.89469768,1.00173038,0.0251982,mnist,fixed_phase,2024
61,0.13401057,0.14496586,0.90320339,0.89558226,0.99957245,0.02456332,mnist,fixed_phase,2024
62,0.1340818,0.14505667,0.90585897,0.89821936,0.99942216,0.02392213,mnist,fixed_phase,2024
63,0.12814987,0.13865209,0.90587614,0.89821896,1.0029274,0.02309958,mnist,fixed_phase,2024
64,0.13053443,0.14124495,0.90834231,0.90066841,0.99835896,0.02310946,mnist,fixed_phase,2024
65,0.12012262,0.12999045,0.9086995,0.9010097,0.99967574,0.02185069,mnist,fixed_phase,2024
66,0.11161965,0.12079956,0.90915392,0.90144898,1.00222119,0.02238316,mnist,fixed_phase,2024
67,0.11135666,0.1205253,0.91142726,0.90370793,1.00252194,0.02109671,mnist,fixed_phase,2024
68,0.10551419,0.1142114,0.9112613,0.90352828,0.99883552,0.02081548,mnist,fixed_phase,2024
69,0.10014741,0.1084112,0.91313368,0.90538764,1.00182012,0.02023455,mnist,fixed_phase,2024
70,0.10258484,0.11105874,0.91283433,0.90507591,1.00097949,0.01877847,mnist,fixed_phase,2024
71,0.09671792,0.10471549,0.91341658,0.90564638,1.00024452,0.0182377,mnist,fixed_phase,2024
72,0.094951,0.10281046,0.91391124,0.90612983,0.99980125,0.01764736,mnist,fixed_phase,2024
73,0.09945831,0.10769906,0.91565858,0.9078665,0.99979251,0.01770102,mnist,fixed_phase,2024
74,0.08296771,0.08984882,0.91571663,0.90791442,0.99788398,0.0165233,mnist,fixed_phase,2024
75,0.08324671,0.09015757,0.9165464,0.90873454,1.00158537,0.01619824,mnist,fixed_phase,2024
76,0.08398539,0.0909641,0.91714384,0.9093228,1.00378543,0.01731717,mnist,fixed_phase,2024
77,0.07292026,0.07898508,0.91761491,0.90978515,0.99740535,0.01633316,mnist,fixed_phase,2024
78,0.07228416,0.07830147,0.91776418,0.90992611,0.99896652,0.01616525,mnist,fixed_phase,2024
79,0.07618982,0.08253783,0.91871809,0.91087213,1.00350268,0.01510478,mnist,fixed_phase,2024
80,0.07117936,0.07711502,0.91920065,0.91134717,0.99964526,0.01410376,mnist,fixed_phase,2024
81,0.06828529,0.07398443,0.91849638,0.91063576,0.99919945,0.01603774,mnist,fixed_phase,2024
82,0.06291625,0.06817162,0.91946771,0.91160029,1.00104306,0.01375184,mnist,fixed_phase,2024
83,0.06983835,0.07567665,0.91882314,0.91094925,1.00213611,0.012867,mnist,fixed_phase,2024
84,0.05953222,0.06451289,0.92060224,0.9127222,1.00124412,0.01386314,mnist,fixed_phase,2024
85,0.06046402,0.06552659,0.92009855,0.91221266,1.00219345,0.0138105,mnist,fixed_phase,2024
86,0.06039451,0.06545511,0.92100288,0.91311142,0.99812326,0.0120241,mnist,fixed_phase,2024
87,0.06165536,0.06682546,0.92175122,0.91385447,1.00308549,0.01182991,mnist,fixed_phase,2024
88,0.05237948,0.05677496,0.92177761,0.91387583,0.99774257,0.01278668,mnist,fixed_phase,2024
89,0.06507274,0.0705373,0.92136171,0.91345514,1.00612418,0.01238652,mnist,fixed_phase,2024
