epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.34533544,2.50917724,0.14675821,0.14636804,1.00120159,0.17796216,mnist,mlp,4096
2,2.23674804,2.39374967,0.19474487,0.19398357,0.99728445,0.17103234,mnist,mlp,4096
3,2.12033087,2.26985418,0.2459744,0.24486007,0.99954138,0.1658665,mnist,mlp,4096
4,2.01254876,2.15511675,0.28794273,0.28649258,1.00002626,0.16068721,mnist,mlp,4096
5,1.90965308,2.04553257,0.33625354,0.33448395,1.00021981,0.15478418,mnist,mlp,4096
6,1.81579978,1.94556132,0.37337539,0.37130194,1.00030333,0.1489729,mnist,mlp,4096
7,1.72740375,1.85137085,0.4090825,0.40672001,1.00225781,0.14403149,mnist,mlp,4096
8,1.64034991,1.75855627,0.44257476,0.43993732,1.00143289,0.1398933,mnist,mlp,4096
9,1.55570024,1.66825927,0.48152453,0.47862556,1.00160384,0.13517417,mnist,mlp,4096
10,1.48505883,1.59293056,0.5095465,0.50639875,0.99951102,0.13015813,mnist,mlp,4096
11,1.40522274,1.5076886,0.53712171,0.53373731,0.99937444,0.12627229,mnist,mlp,4096
12,1.33903796,1.43704528,0.56281141,0.55920191,1.00015754,0.12141268,mnist,mlp,4096
13,1.26727947,1.36037573,0.58716329,0.58333965,0.99766179,0.1184344,mnist,mlp,4096
14,1.21374225,1.30322597,0.61220831,0.60818099,1.00329487,0.11405698,mnist,mlp,4096
15,1.14828026,1.23323502,0.63574461,0.63152354,1.00154508,0.1113971,mnist,mlp,4096
16,1.09536942,1.17668768,0.65714588,0.65274051,1.00297833,0.1066589,mnist,mlp,4096
17,1.04220957,1.11984079,0.67776777,0.67318709,1.00082658,0.10228326,mnist,mlp,4096
18,0.98617149,1.05986935,0.69559402,0.69084658,1.00070459,0.09959738,mnist,mlp,4096
19,0.95101531,1.02231358,0.71095796,0.70605189,0.99850674,0.09646537,mnist,mlp,4096
20,0.89490555,0.96220734,0.72674866,0.7216917,1.00208641,0.09358147,mnist,mlp,4096
21,0.84661448,0.91047942,0.73830251,0.73310201,0.99837878,0.0917735,mnist,mlp,4096
22,0.81153043,0.87293198,0.75434654,0.74900951,0.99794443,0.08764494,mnist,mlp,4096
23,0.76164136,0.81943685,0.77057444,0.76510753,0.99710228,0.08414806,mnist,mlp,4096
24,0.72903164,0.78451088,0.77781395,0.7722235,1.00320657,0.08084533,mnist,mlp,4096
25,0.6923064,0.74513822,0.79098799,0.78528003,0.99896155,0.07934936,mnist,mlp,4096
26,0.66777854,0.71887796,0.80191446,0.79609472,0.99811795,0.07661287,mnist,mlp,4096
27,0.6278242,0.67599476,0.81245485,0.80652877,0.99971023,0.07380056,mnist,mlp,4096
28,0.59481441,0.64057163,0.82592935,0.81990212,0.99963663,0.0706722,mnist,mlp,4096
29,0.56790673,0.6117058,0.83611068,0.82998724,0.99907631,0.06884036,mnist,mlp,4096
30,0.53827131,0.57988866,0.83973271,0.83351776,0.99977898,0.06613026,mnist,mlp,4096
31,0.5184224,0.55860319,0.84831958,0.84201756,0.99579719,0.06395682,mnist,mlp,4096
