epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.34624949,2.51015514,0.14928474,0.14889458,1.00160435,0.17800715,mnist,proposed,2024
2,2.22686444,2.38317232,0.21072026,0.20995896,0.99837916,0.17211915,mnist,proposed,2024
3,2.12224912,2.27190771,0.26710782,0.26599349,0.99987517,0.16638719,mnist,proposed,2024
4,2.00429514,2.14627844,0.31671146,0.3152613,0.99972343,0.16126562,mnist,proposed,2024
5,1.89903018,2.03415381,0.36933294,0.36756334,0.99656539,0.15470081,mnist,proposed,2024
6,1.81450506,1.94417407,0.40786838,0.40579493,1.00153365,0.14895495,mnist,proposed,2024
7,1.72234116,1.84594495,0.44042727,0.43806477,0.99800758,0.14515853,mnist,proposed,2024
8,1.63609838,1.75399836,0.4845684,0.48193096,0.99957786,0.13946907,mnist,proposed,2024
9,1.55668317,1.66931331,0.5150349,0.51213593,0.99907357,0.13471022,mnist,proposed,2024
10,1.46813783,1.57478045,0.551983,0.54883525,0.99989403,0.13056952,mnist,proposed,2024
11,1.40105528,1.50321725,0.58612877,0.58274437,0.99590514,0.12563281,mnist,proposed,2024
12,1.32038708,1.4170293,0.61021671,0.60660721,1.00162136,0.12146593,mnist,proposed,2024
13,1.2668212,1.3598838,0.63499899,0.63117536,1.00044853,0.11853082,mnist,proposed,2024
14,1.19663535,1.28485786,0.66360707,0.65957976,0.99863305,0.11381711,mnist,proposed,2024
15,1.12839193,1.21187526,0.69117597,0.6869549,0.9963911,0.11073807,mnist,proposed,2024
16,1.07100872,1.15051848,0.71202823,0.70762287,1.00295779,0.10605345,mnist,proposed,2024
17,1.02708004,1.10358431,0.72750012,0.72291944,0.99690626,0.10250499,mnist,proposed,2024
18,0.96657118,1.03880428,0.74543014,0.7406827,0.99933508,0.10027731,mnist,proposed,2024
19,0.91816582,0.98700134,0.76503509,0.76012902,0.99721173,0.09588795,mnist,proposed,2024
20,0.87735729,0.94333935,0.77740047,0.77234351,0.99943921,0.09303849,mnist,proposed,2024
21,0.83239291,0.89518503,0.79175574,0.78655524,1.00100538,0.09077958,mnist,proposed,2024
22,0.79180554,0.85171469,0.81411127,0.80877424,1.00063625,0.08684503,mnist,proposed,2024
23,0.74724607,0.80394921,0.82016765,0.81470074,0.99952547,0.08447144,mnist,proposed,2024
24,0.71172791,0.76589033,0.83629276,0.83070231,1.00335532,0.0818128,mnist,proposed,2024
25,0.6751522,0.72667494,0.84062946,0.8349215,1.00228978,0.07804621,mnist,proposed,2024
26,0.64038991,0.68939351,0.85529295,0.84947321,1.0009814,0.07582994,mnist,proposed,2024
27,0.60808311,0.65473901,0.86489777,0.8589717,0.99830599,0.07356094,mnist,proposed,2024
28,0.58849829,0.63376964,0.87473507,0.86870785,0.99845553,0.07122566,mnist,proposed,2024
29,0.54905607,0.5914013,0.88335171,0.87722827,0.99907162,0.06866144,mnist,proposed,2024
30,0.52517409,0.5657788,0.89015856,0.88394361,0.99687077,0.06681574,mnist,proposed,2024
31,0.49910984,0.5377938,0.90016577,0.89386375,0.99937759,0.06442606,mnist,proposed,2024
32,0.47278095,0.50951198,0.90563359,0.89924876,0.99963613,0.0635556,mnist,proposed,2024
33,0.45459641,0.48999736,0.9103133,0.9038497,1.0025459,0.06003296,mnist,proposed,2024
34,0.43825046,0.47245668,0.91680664,0.91026811,1.00103587,0.05813302,mnist,proposed,2024
35,0.4116771,0.44388122,0.92360798,0.91699817,1.00091917,0.05746945,mnist,proposed,2024
36,0.38733154,0.41769763,0.92225513,0.91557753,1.00183155,0.05499344,mnist,proposed,2024
37,0.3649154,0.39358546,0.93182801,0.92508591,1.0008201,0.05248605,mnist,proposed,2024
38,0.35618971,0.38423295,0.93769885,0.9308954,1.00092379,0.05153356,mnist,proposed,2024
39,0.3340016,0.36035194,0.94044606,0.93358425,0.99906386,0.04904632,mnist,proposed,2024
40,0.31399218,0.3388137,0.94330927,0.93639195,1.00028677,0.04837291,mnist,proposed,2024
41,0.30109216,0.32494071,0.94918497,0.94221485,0.99944368,0.04686444,mnist,proposed,2024
42,0.29159787,0.31473884,0.9542806,0.94726026,0.99995231,0.04539447,mnist,proposed,2024
43,0.27570179,0.29762245,0.95200222,0.94493409,0.99996405,0.04297271,mnist,proposed,2024
44,0.26863977,0.29003829,0.95664319,0.94952961,0.99835876,0.04174691,mnist,proposed,2024
45,0.25014234,0.27010338,0.95904237,0.95188557,0.99642856,0.04245342,mnist,proposed,2024
46,0.23399744,0.25270308,0.9608669,0.95366897,0.99879569,0.04024597,mnist,proposed,2024
47,0.23868259,0.25779571,0.96424951,0.95701247,1.00573644,0.03821482,mnist,proposed,2024
48,0.21379949,0.23094898,0.96524999,0.95797573,1.00450651,0.03839416,mnist,proposed,2024
49,0.20501969,0.22149214,0.96834817,0.96103852,0.99933803,0.03542617,mnist,proposed,2024
50,0.19717706,0.21304504,0.96798175,0.96063843,1.00323686,0.03467683,mnist,proposed,2024
51,0.18637189,0.20139409,0.97238323,0.96500788,1.00081802,0.03424369,mnist,proposed,2024
52,0.17555457,0.18972682,0.97203073,0.96462492,1.00145671,0.03305736,mnist,proposed,2024
53,0.17191018,0.18580931,0.97229712,0.96486233,1.00115489,0.0327572,mnist,proposed,2024
54,0.16159678,0.17468148,0.97502697,0.96756461,0.99671056,0.03023823,mnist,proposed,2024
55,0.14901917,0.16110302,0.97889959,0.97141101,1.00347635,0.03077871,mnist,proposed,2024
56,0.14243662,0.15400315,0.97837696,0.97086344,0.99766715,0.02844578,mnist,proposed,2024
57,0.14987895,0.16206682,0.98005821,0.97252096,0.99759613,0.02875457,mnist,proposed,2024
58,0.14112482,0.15261649,0.98017547,0.97261566,0.99401057,0.02699455,mnist,proposed,2024
59,0.12832986,0.13879363,0.98049523,0.97291395,0.99851554,0.0263021,mnist,proposed,2024
60,0.11661137,0.12613209,0.98329665,0.97569495,0.99791478,0.02566752,mnist,proposed,2024
61,0.11267229,0.1218832,0.9825613,0.97494017,1.00121682,0.02581492,mnist,proposed,2024
62,0.11053153,0.11957877,0.98339146,0.97575185,0.99912194,0.02500646,mnist,proposed,2024
63,0.09967653,0.10784529,0.98574405,0.97808687,1.00298369,0.02292123,mnist,proposed,2024
64,0.10901381,0.11795854,0.98728449,0.97961059,0.99710989,0.02388805,mnist,proposed,2024
65,0.09498736,0.10279038,0.9870246,0.9793348,1.00151049,0.02326561,mnist,proposed,2024
