epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,2.35353857,2.51795342,0.12489335,0.12450319,0.99982273,0.17717074,mnist,random_unitary,256
2,2.24019502,2.3974386,0.15777586,0.15701456,0.99968177,0.17287992,mnist,random_unitary,256
3,2.13916441,2.29001584,0.17819752,0.17708318,1.00265382,0.16583156,mnist,random_unitary,256
4,2.03413473,2.17823186,0.21117677,0.20972662,0.99615615,0.15975126,mnist,random_unitary,256
5,1.94457477,2.08293908,0.23233787,0.23056828,1.00197479,0.15528594,mnist,random_unitary,256
6,1.85122181,1.98351469,0.25962864,0.25755519,1.00237233,0.14990932,mnist,random_unitary,256
7,1.76302739,1.88955102,0.28303161,0.28066912,0.99954073,0.14603784,mnist,random_unitary,256
8,1.69391074,1.81597678,0.30398114,0.3013437,1.00216965,0.13935713,mnist,random_unitary,256
9,1.60403674,1.72009305,0.33158955,0.32869058,1.00020027,0.1359304,mnist,random_unitary,256
10,1.53121849,1.64244316,0.34734374,0.34419599,1.00104829,0.13036494,mnist,random_unitary,256
11,1.4562029,1.56238612,0.37147101,0.36808661,1.00056155,0.12602908,mnist,random_unitary,256
12,1.386591,1.48807884,0.3916987,0.38808919,1.00146167,0.12153253,mnist,random_unitary,256
13,1.32215722,1.41928488,0.40947449,0.40565086,0.99474368,0.11754684,mnist,random_unitary,256
14,1.26227472,1.35533652,0.42549577,0.42146846,1.00079559,0.11408693,mnist,random_unitary,256
15,1.20461447,1.29373708,0.44047099,0.43624993,0.99631713,0.10994638,mnist,random_unitary,256
16,1.15067855,1.23610286,0.45942837,0.45502301,0.99980253,0.10657663,mnist,random_unitary,256
17,1.10103758,1.18305073,0.47926495,0.47468427,1.00054718,0.10233249,mnist,random_unitary,256
18,1.04399623,1.12201541,0.49217571,0.48742827,1.00385895,0.09916276,mnist,random_unitary,256
19,0.99878061,1.07365988,0.50391742,0.49901135,0.99922976,0.09612993,mnist,random_unitary,256
20,0.95958177,1.03174755,0.51999172,0.51493476,1.00354118,0.09307878,mnist,random_unitary,256
