epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,1.47328783,1.57620962,0.2997982,0.29940803,1.00084172,0.17782193,qam16,cnn,256
2,1.40772853,1.50653969,0.34372609,0.34296479,0.99848979,0.17137064,qam16,cnn,256
3,1.3509013,1.44616531,0.36892264,0.36780831,0.99824691,0.16665947,qam16,cnn,256
4,1.26323756,1.3527247,0.41264346,0.4111933,1.00092437,0.16027743,qam16,cnn,256
5,1.21217573,1.2984269,0.45211704,0.45034745,0.99909506,0.15442782,qam16,cnn,256
6,1.14103627,1.22257754,0.48141563,0.47934217,1.00056483,0.14901144,qam16,cnn,256
7,1.08510704,1.16297973,0.50907814,0.50671565,0.99828921,0.14498345,qam16,cnn,256
8,1.02485013,1.09870255,0.54392922,0.54129178,1.00168576,0.13918374,qam16,cnn,256
9,0.99174443,1.06349977,0.56650636,0.56360739,1.00247124,0.1358615,qam16,cnn,256
10,0.94177663,1.01018541,0.58942298,0.58627522,1.00240054,0.13110192,qam16,cnn,256
11,0.88146152,0.94573583,0.61577624,0.61239184,0.99937013,0.12560878,qam16,cnn,256
12,0.83512964,0.89625473,0.63935486,0.63574536,0.99978841,0.12165697,qam16,cnn,256
13,0.79516717,0.85358135,0.66291214,0.65908851,0.99879065,0.11823218,qam16,cnn,256
14,0.75214136,0.80759333,0.68468518,0.68065786,1.00028746,0.11361778,qam16,cnn,256
15,0.72242444,0.77587253,0.69459155,0.69037048,1.00152849,0.11059144,qam16,cnn,256
16,0.6909715,0.74226798,0.71434606,0.7099407,0.99833963,0.1065488,qam16,cnn,256
17,0.65648861,0.70538857,0.73049603,0.72591535,1.00145253,0.10379803,qam16,cnn,256
18,0.62124858,0.66767529,0.74561266,0.74086521,0.99733448,0.09921897,qam16,cnn,256
19,0.58897525,0.63313113,0.75843283,0.75352676,0.99715895,0.09615858,qam16,cnn,256
20,0.55452245,0.59622556,0.77586831,0.77081134,0.99954863,0.0925381,qam16,cnn,256
21,0.53818121,0.57877927,0.78541899,0.78021849,1.00153176,0.09049579,qam16,cnn,256
22,0.50520724,0.54343195,0.79504393,0.7897069,0.99881504,0.08724435,qam16,cnn,256
23,0.48682318,0.52376469,0.81420225,0.80873535,1.00158177,0.0836676,qam16,cnn,256
24,0.4581655,0.49303185,0.82024091,0.81465047,1.00053093,0.08133807,qam16,cnn,256
25,0.43587148,0.46913404,0.82996919,0.82426123,0.99975998,0.07808385,qam16,cnn,256
26,0.41180424,0.44331612,0.83726126,0.83144152,0.99887413,0.07617169,qam16,cnn,256
27,0.39143855,0.42147213,0.84670246,0.84077638,1.00043428,0.07322076,qam16,cnn,256
28,0.37886278,0.40800752,0.8522531,0.84622587,0.99877046,0.07143315,qam16,cnn,256
29,0.35621792,0.38369076,0.86246295,0.85633952,1.00164344,0.06823265,qam16,cnn,256
30,0.33738053,0.36346567,0.86880635,0.86259139,1.00010646,0.06650936,qam16,cnn,256
31,0.33050507,0.35612116,0.87419074,0.86788872,1.00227625,0.06396991,qam16,cnn,256
32,0.31032132,0.33443063,0.88268382,0.876299,0.99953934,0.06228337,qam16,cnn,256
33,0.29856503,0.3218153,0.89028223,0.88381863,0.99863673,0.06112715,qam16,cnn,256
34,0.27938402,0.30119043,0.89316536,0.88662682,1.00261065,0.0582462,qam16,cnn,256
35,0.26392334,0.28456918,0.8998363,0.8932265,1.00309202,0.0572659,qam16,cnn,256
36,0.25788719,0.27810507,0.90095798,0.89428037,0.99816377,0.05574546,qam16,cnn,256
37,0.24593174,0.26525369,0.90428905,0.89754695,0.99936905,0.05397416,qam16,cnn,256
38,0.23550008,0.25404128,0.91214319,0.90533974,0.99917187,0.05115894,qam16,cnn,256
39,0.21794318,0.23513735,0.91683541,0.9099736,1.00071086,0.04940824,qam16,cnn,256
40,0.21441604,0.23136592,0.91690773,0.90999041,1.00139827,0.04986572,qam16,cnn,256
41,0.20316634,0.2192585,0.91769662,0.9107265,1.00037457,0.04760333,qam16,cnn,256
42,0.18829049,0.20323307,0.92284247,0.91582212,1.00031418,0.04511609,qam16,cnn,256
43,0.17950222,0.19377419,0.92672361,0.91965549,1.00084273,0.04346497,qam16,cnn,256
44,0.17827017,0.1924703,0.92820771,0.92109414,0.99716403,0.0417847,qam16,cnn,256
45,0.16091589,0.17375677,0.93282,0.92566319,1.00158393,0.04084904,qam16,cnn,256
46,0.1564934,0.16900341,0.93724389,0.93004596,0.99888256,0.03964033,qam16,cnn,256
47,0.15452402,0.16689793,0.93855711,0.93132007,1.0007722,0.03921839,qam16,cnn,256
48,0.14736743,0.15918821,0.93870718,0.93143292,0.99699447,0.03707241,qam16,cnn,256
49,0.13378277,0.14453164,0.94160402,0.93429437,1.00095605,0.03571772,qam16,cnn,256
50,0.13417303,0.14497071,0.94267951,0.93533619,1.00088836,0.03431638,qam16,cnn,256
51,0.1251378,0.13522433,0.94354941,0.93617406,1.00207851,0.03353701,qam16,cnn,256
52,0.11868139,0.12826235,0.94734341,0.9399376,0.99798739,0.03238745,qam16,cnn,256
53,0.11559814,0.12494437,0.94736717,0.93993238,0.99958532,0.03237432,qam16,cnn,256
54,0.1121848,0.12126855,0.94971764,0.94225528,0.99800125,0.0310132,qam16,cnn,256
55,0.11732439,0.12683813,0.94905495,0.94156638,1.00282973,0.02977527,qam16,cnn,256
56,0.10218853,0.11048672,0.95194994,0.94443642,0.99881961,0.02962876,qam16,cnn,256
57,0.09677134,0.1046406,0.95442831,0.94689106,0.99912839,0.02867693,qam16,cnn,256
