epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,1.48460847,1.58832111,0.28356711,0.28317694,0.99695634,0.17721844,qam16,fixed_amplitude,123
2,1.41749599,1.51699275,0.31572543,0.31496413,0.99816431,0.1711517,qam16,fixed_amplitude,123
3,1.34315031,1.43786774,0.34759446,0.34648012,0.99956772,0.16527472,qam16,fixed_amplitude,123
4,1.27369422,1.36392211,0.38454689,0.38309674,0.99888542,0.16012792,qam16,fixed_amplitude,123
5,1.21136973,1.29756355,0.40981737,0.40804777,0.99778771,0.15476949,qam16,fixed_amplitude,123
6,1.1519774,1.23430055,0.43972368,0.43765022,0.99883363,0.15056843,qam16,fixed_amplitude,123
7,1.10393824,1.18316235,0.46592861,0.46356611,0.99795924,0.14406871,qam16,fixed_amplitude,123
8,1.04994301,1.12560366,0.48805127,0.48541383,1.00510198,0.14034796,qam16,fixed_amplitude,123
9,1.00355401,1.0761638,0.50812906,0.50523008,1.00141399,0.13555443,qam16,fixed_amplitude,123
10,0.96060864,1.03038535,0.5368299,0.53368214,1.00515866,0.12990966,qam16,fixed_amplitude,123
11,0.90232333,0.96811884,0.55453561,0.55115121,0.99914617,0.12619509,qam16,fixed_amplitude,123
12,0.86116107,0.92419147,0.57162364,0.56801413,1.00052015,0.12210065,qam16,fixed_amplitude,123
13,0.81707995,0.87710388,0.58329883,0.5794752,1.00019306,0.1188815,qam16,fixed_amplitude,123
14,0.78138958,0.83899789,0.60483144,0.60080412,1.00193298,0.11332431,qam16,fixed_amplitude,123
15,0.74066045,0.79545772,0.62344375,0.61922268,0.99945335,0.11046013,qam16,fixed_amplitude,123
16,0.70663693,0.75909639,0.6358885,0.63148314,1.00388582,0.10638111,qam16,fixed_amplitude,123
17,0.67306369,0.72319828,0.64927006,0.64468938,1.00260404,0.10328596,qam16,fixed_amplitude,123
18,0.63980215,0.68761539,0.66375897,0.65901153,1.00275846,0.09997083,qam16,fixed_amplitude,123
19,0.61522142,0.66134499,0.67894096,0.67403489,1.00133246,0.09602167,qam16,fixed_amplitude,123
20,0.58136706,0.62508904,0.69125244,0.68619548,1.00068017,0.09264638,qam16,fixed_amplitude,123
21,0.55388129,0.59566371,0.6996048,0.6944043,1.00321909,0.09005502,qam16,fixed_amplitude,123
22,0.52936981,0.56942269,0.709996,0.70465897,0.99814886,0.0866843,qam16,fixed_amplitude,123
23,0.50775563,0.54628555,0.72159812,0.71613121,1.00210523,0.08391475,qam16,fixed_amplitude,123
24,0.48059334,0.51716644,0.72902762,0.72343718,0.99796608,0.08160446,qam16,fixed_amplitude,123
25,0.46085808,0.49602743,0.73757038,0.73186242,0.99892536,0.07851731,qam16,fixed_amplitude,123
26,0.4373799,0.47084887,0.74911027,0.74329053,1.00126231,0.07637336,qam16,fixed_amplitude,123
