epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,1.48638591,1.59022272,0.28607328,0.28568311,0.99887826,0.1774584,qam16,fixed_phase,123
2,1.41189973,1.51100368,0.32033498,0.31957368,0.99704958,0.17117825,qam16,fixed_phase,123
3,1.35107525,1.44635154,0.35236037,0.35124603,0.99843847,0.16634957,qam16,fixed_phase,123
4,1.28147016,1.37224889,0.38396617,0.38251601,0.9994814,0.16079385,qam16,fixed_phase,123
5,1.21045514,1.29658389,0.41754609,0.4157765,1.00149351,0.15589578,qam16,fixed_phase,123
6,1.15984096,1.24272606,0.44472478,0.44265132,1.00514261,0.14901262,qam16,fixed_phase,123
7,1.09603959,1.17469685,0.47071356,0.46835107,0.99524896,0.14398137,qam16,fixed_phase,123
8,1.04108112,1.11610317,0.49707198,0.49443454,0.99489031,0.14069109,qam16,fixed_phase,123
9,0.99181496,1.06357539,0.51877254,0.51587357,1.00050868,0.13446984,qam16,fixed_phase,123
10,0.94731606,1.01612722,0.53123437,0.52808662,1.00130429,0.13132595,qam16,fixed_phase,123
11,0.89854748,0.96406765,0.56247437,0.55908997,0.9999098,0.12728295,qam16,fixed_phase,123
12,0.85776777,0.92054981,0.57471166,0.57110215,1.00167565,0.12162438,qam16,fixed_phase,123
13,0.81631805,0.87628601,0.60139902,0.59757539,0.99975487,0.11733518,qam16,fixed_phase,123
14,0.77195302,0.82886563,0.6174436,0.61341628,1.00061632,0.1149681,qam16,fixed_phase,123
15,0.74103332,0.79585818,0.63479044,0.63056937,1.00037586,0.11153835,qam16,fixed_phase,123
16,0.70683772,0.75931208,0.64601379,0.64160842,1.00046757,0.1064953,qam16,fixed_phase,123
17,0.66699094,0.71667319,0.66384973,0.65926904,1.00227916,0.10329938,qam16,fixed_phase,123
18,0.64067975,0.68855857,0.67491423,0.67016678,0.99705605,0.09931904,qam16,fixed_phase,123
19,0.60841129,0.6540243,0.68772044,0.68281437,1.00238509,0.09697349,qam16,fixed_phase,123
20,0.58196191,0.62572863,0.69989821,0.69484125,0.99484969,0.09284518,qam16,fixed_phase,123
21,0.5627962,0.60525111,0.7100212,0.7048207,1.00154589,0.08942826,qam16,fixed_phase,123
22,0.53193668,0.57218378,0.71918344,0.71384641,0.99919285,0.08671948,qam16,fixed_phase,123
23,0.50344645,0.54164938,0.73002632,0.72455941,0.99976977,0.08360387,qam16,fixed_phase,123
24,0.48639306,0.52340753,0.74277039,0.73717994,1.0014921,0.08089172,qam16,fixed_phase,123
25,0.461967,0.49722098,0.75414878,0.74844082,1.0015602,0.07886389,qam16,fixed_phase,123
26,0.43903139,0.47262674,0.75583861,0.75001886,0.99953254,0.07713451,qam16,fixed_phase,123
27,0.42394906,0.45647706,0.76701717,0.76109109,0.99980193,0.07371299,qam16,fixed_phase,123
28,0.41605479,0.4480606,0.77250457,0.76647735,1.00248382,0.07171256,qam16,fixed_phase,123
29,0.37656066,0.40560241,0.78109262,0.77496918,0.9998942,0.06862508,qam16,fixed_phase,123
30,0.35863036,0.38635846,0.78940914,0.78319418,1.0030904,0.0665706,qam16,fixed_phase,123
31,0.34405516,0.37072146,0.79204881,0.78574679,1.00303986,0.06421693,qam16,fixed_phase,123
32,0.33416965,0.36013177,0.80052716,0.79414233,0.99643722,0.06308781,qam16,fixed_phase,123
33,0.31372758,0.3381586,0.80433589,0.79787229,0.99975015,0.06154048,qam16,fixed_phase,123
34,0.30721371,0.33119227,0.81397152,0.80743299,0.99880069,0.05798308,qam16,fixed_phase,123
35,0.28721054,0.30967806,0.81713239,0.81052258,0.99955602,0.05643966,qam16,fixed_phase,123
36,0.2824739,0.30461934,0.81787532,0.81119771,1.00198898,0.05489421,qam16,fixed_phase,123
37,0.26904555,0.29018347,0.82377222,0.81703012,0.9968031,0.05264385,qam16,fixed_phase,123
