epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,1.47819908,1.58146396,0.29652273,0.29613257,0.99946113,0.17687446,qam16,mlp,123
2,1.40683105,1.50557922,0.32521183,0.32445053,0.99794935,0.17244341,qam16,mlp,123
3,1.33867784,1.43307987,0.36975312,0.36863879,0.99963994,0.16569631,qam16,mlp,123
4,1.26950147,1.35943234,0.40880381,0.40735366,1.00215576,0.16011087,qam16,mlp,123
5,1.22062147,1.30747359,0.4355242,0.43375461,0.99885921,0.15498289,qam16,mlp,123
6,1.14833741,1.23040044,0.47125337,0.46917991,1.00117327,0.14967511,qam16,mlp,123
7,1.0868942,1.16489514,0.49951868,0.49715618,0.99779151,0.14461285,qam16,mlp,123
8,1.03442945,1.10897217,0.52374424,0.5211068,1.00028666,0.14024204,qam16,mlp,123
9,0.99116736,1.06288094,0.55228432,0.54938534,0.99697057,0.13662345,qam16,mlp,123
10,0.93703915,1.00510381,0.57466189,0.57151414,1.00144121,0.13011288,qam16,mlp,123
11,0.88518503,0.94973085,0.59755157,0.59416717,0.99888107,0.12573587,qam16,mlp,123
12,0.84424787,0.90604035,0.61613656,0.61252705,1.001932,0.12271682,qam16,mlp,123
13,0.8019056,0.8608148,0.64005423,0.6362306,1.00246511,0.11784823,qam16,mlp,123
14,0.77515147,0.83229987,0.65400366,0.64997634,1.00006801,0.11445615,qam16,mlp,123
15,0.7337632,0.78805018,0.67755263,0.67333157,0.99983752,0.11019904,qam16,mlp,123
16,0.68894246,0.74008831,0.69113508,0.68672971,0.99969521,0.10621065,qam16,mlp,123
17,0.66155865,0.71083627,0.70460074,0.70002006,0.99845013,0.10331758,qam16,mlp,123
18,0.6267162,0.67355151,0.71733242,0.71258497,0.99989949,0.09941164,qam16,mlp,123
19,0.59639712,0.64110943,0.73106497,0.7261589,0.99890536,0.09617365,qam16,mlp,123
20,0.57654528,0.61990464,0.74387085,0.73881389,1.00117302,0.09439716,qam16,mlp,123
21,0.55030439,0.59181698,0.7614888,0.7562883,1.00181561,0.09034463,qam16,mlp,123
22,0.52382977,0.56346348,0.77133625,0.76599922,1.00069246,0.08821849,qam16,mlp,123
23,0.49198034,0.52931319,0.7773864,0.7719195,0.9982623,0.0845038,qam16,mlp,123
24,0.46332417,0.4985831,0.78602363,0.78043319,1.00064936,0.08107203,qam16,mlp,123
25,0.45869715,0.4937016,0.79580606,0.79009809,0.99976096,0.07848013,qam16,mlp,123
26,0.42251845,0.4548502,0.80889798,0.80307824,1.00324366,0.0761606,qam16,mlp,123
27,0.40589298,0.4370356,0.81499247,0.80906639,0.99775767,0.07352448,qam16,mlp,123
28,0.38967239,0.41964868,0.82336163,0.8173344,1.0018053,0.07169236,qam16,mlp,123
29,0.37208577,0.4007824,0.83167044,0.825547,0.99821771,0.06884008,qam16,mlp,123
30,0.34872505,0.37568731,0.83290571,0.82669075,1.00098696,0.06684292,qam16,mlp,123
31,0.33236195,0.35812196,0.83967192,0.8333699,0.99972503,0.06462253,qam16,mlp,123
32,0.3125242,0.33680465,0.85245613,0.84607131,0.99906986,0.06260698,qam16,mlp,123
33,0.29822343,0.3214471,0.85442591,0.84796231,1.00029015,0.05998873,qam16,mlp,123
34,0.29500785,0.31803373,0.85891145,0.85237291,1.00062513,0.05837526,qam16,mlp,123
35,0.27276374,0.29410114,0.86337538,0.85676557,0.99794664,0.05594113,qam16,mlp,123
36,0.26203107,0.28257382,0.8663963,0.85971869,1.00124842,0.05524389,qam16,mlp,123
37,0.24918925,0.26876714,0.87127641,0.8645343,0.99860389,0.05356333,qam16,mlp,123
38,0.23755928,0.25626261,0.87507208,0.86826863,0.99988423,0.0506813,qam16,mlp,123
39,0.22823741,0.24624372,0.87848999,0.87162818,0.99783302,0.04992434,qam16,mlp,123
40,0.21502726,0.23202546,0.88258373,0.87566642,1.00079798,0.04749175,qam16,mlp,123
41,0.21602406,0.23313463,0.8856462,0.87867608,0.99877331,0.04629658,qam16,mlp,123
42,0.20021227,0.21610096,0.88776737,0.88074703,0.99978424,0.04497099,qam16,mlp,123
43,0.18936731,0.20442364,0.8916358,0.88456767,1.0029101,0.04350136,qam16,mlp,123
44,0.18104019,0.19546096,0.89305265,0.88593907,1.00264447,0.04267845,qam16,mlp,123
45,0.1829108,0.19750684,0.89811464,0.89095784,1.00249738,0.04123814,qam16,mlp,123
46,0.17268293,0.18648712,0.89868924,0.89149131,0.99923645,0.0395401,qam16,mlp,123
47,0.1610043,0.17389714,0.9017987,0.89456166,0.99936699,0.03820154,qam16,mlp,123
48,0.15336452,0.16566634,0.90506332,0.89778907,1.00468281,0.03910958,qam16,mlp,123
49,0.14801429,0.15990659,0.90438256,0.89707291,0.99775138,0.03552992,qam16,mlp,123
50,0.1386626,0.14982158,0.9048911,0.89754778,1.00114433,0.03524531,qam16,mlp,123
51,0.13759726,0.14868806,0.90927942,0.90190407,1.00253269,0.03344104,qam16,mlp,123
52,0.13464785,0.14551776,0.90998141,0.9025756,0.99948512,0.03329596,qam16,mlp,123
53,0.12197841,0.13184049,0.91232283,0.90488804,0.99782219,0.0317798,qam16,mlp,123
54,0.1317063,0.14237073,0.91277107,0.90530872,1.00386694,0.03142224,qam16,mlp,123
55,0.12260434,0.13254623,0.91472295,0.90723438,1.00031102,0.03009529,qam16,mlp,123
56,0.1122413,0.12135583,0.9155606,0.90804708,0.99774312,0.02920431,qam16,mlp,123
57,0.10832583,0.11713468,0.91527731,0.90774006,1.00157057,0.02834222,qam16,mlp,123
58,0.10304231,0.11143296,0.91852862,0.9109688,0.99977345,0.0281095,qam16,mlp,123
59,0.09662112,0.10449942,0.91825041,0.91066912,0.99907397,0.02597172,qam16,mlp,123
60,0.09519961,0.10297216,0.91848699,0.91088529,1.00396698,0.02581164,qam16,mlp,123
61,0.09594223,0.10378546,0.92104255,0.91342142,0.99850561,0.02466157,qam16,mlp,123
62,0.09116719,0.09862941,0.92236431,0.9147247,0.99667969,0.02501709,qam16,mlp,123
63,0.09271197,0.10030997,0.92146033,0.91380315,0.99900391,0.02434179,qam16,mlp,123
64,0.08739562,0.09456655,0.92396851,0.91629461,1.00202162,0.02269669,qam16,mlp,123
65,0.09379487,0.10149994,0.92245566,0.91476586,1.0008914,0.02156173,qam16,mlp,123
66,0.07749656,0.0838701,0.92401448,0.91630955,0.99733464,0.02189794,qam16,mlp,123
67,0.07332362,0.07936078,0.92433002,0.91661069,1.00433906,0.02257353,qam16,mlp,123
68,0.07928955,0.08582514,0.92475129,0.91701827,1.00302048,0.02034372,qam16,mlp,123
69,0.06692402,0.07244634,0.92589727,0.91815123,1.00129448,0.02014368,qam16,mlp,123
70,0.06994202,0.07571949,0.92722402,0.9194656,1.00024578,0.01909397,qam16,mlp,123
71,0.06313994,0.06836096,0.92687441,0.91910421,0.99998649,0.01847029,qam16,mlp,123
72,0.06677491,0.07230212,0.92711007,0.91932866,1.00511601,0.01824884,qam16,mlp,123
