epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,1.47641354,1.57955369,0.29567445,0.29528428,1.00017068,0.17726137,qam16,proposed,4096
2,1.40145465,1.49982544,0.34504321,0.34428191,1.00170567,0.17092503,qam16,proposed,4096
3,1.32897705,1.42269499,0.38920976,0.38809543,1.0015872,0.16516739,qam16,proposed,4096
4,1.26089182,1.35021279,0.43508266,0.4336325,1.00310816,0.16028994,qam16,proposed,4096
5,1.20009157,1.2854829,0.46047746,0.45870787,1.00213576,0.15554308,qam16,proposed,4096
6,1.13245081,1.21337854,0.50418618,0.50211273,1.00001867,0.15000868,qam16,proposed,4096
7,1.08470864,1.16255274,0.53085744,0.52849494,0.99916069,0.14416654,qam16,proposed,4096
8,1.02721106,1.1012336,0.5598769,0.55723946,0.99850372,0.13931244,qam16,proposed,4096
9,0.97613778,1.04676393,0.58986729,0.58696831,1.00208855,0.13612298,qam16,proposed,4096
10,0.92100027,0.9878999,0.611328,0.60818025,1.00108374,0.13125729,qam16,proposed,4096
11,0.8848734,0.9493965,0.63659827,0.63321387,0.9973643,0.12595414,qam16,proposed,4096
12,0.83145208,0.89230801,0.65665272,0.65304321,1.00334039,0.12192937,qam16,proposed,4096
13,0.80040962,0.85920892,0.68220456,0.67838093,1.00102316,0.11934137,qam16,proposed,4096
14,0.75144276,0.80684323,0.70346605,0.69943873,0.99803072,0.11357106,qam16,proposed,4096
15,0.7190735,0.77227367,0.7137179,0.70949683,1.00079758,0.10995291,qam16,proposed,4096
16,0.67601359,0.72619962,0.7329988,0.72859343,0.99802089,0.10656709,qam16,proposed,4096
17,0.64886112,0.69719294,0.75049226,0.74591158,1.00094264,0.1029377,qam16,proposed,4096
18,0.61345517,0.65929947,0.76334042,0.75859298,0.99865622,0.10051793,qam16,proposed,4096
19,0.57719474,0.62046743,0.78367103,0.77876496,0.99872575,0.09577944,qam16,proposed,4096
20,0.55536445,0.59713088,0.79876139,0.79370442,1.00163392,0.09358853,qam16,proposed,4096
21,0.52464387,0.56422074,0.80254915,0.79734865,0.99985048,0.08991732,qam16,proposed,4096
22,0.49685967,0.53445278,0.81516196,0.80982493,1.00212892,0.0871086,qam16,proposed,4096
23,0.49638342,0.53405039,0.82278375,0.81731685,1.00080215,0.08367135,qam16,proposed,4096
24,0.45366163,0.48818523,0.83040711,0.82481667,0.99728955,0.08079945,qam16,proposed,4096
25,0.43459903,0.46776448,0.84365885,0.83795089,0.9970961,0.0794594,qam16,proposed,4096
26,0.41060051,0.44202028,0.85263307,0.84681332,0.99796008,0.07750163,qam16,proposed,4096
27,0.38875484,0.41858252,0.86273027,0.85680419,1.00065473,0.07434921,qam16,proposed,4096
28,0.36999857,0.39846141,0.86829712,0.86226989,0.9987339,0.07073044,qam16,proposed,4096
29,0.35014776,0.37715245,0.87156195,0.86543851,1.00465058,0.06854162,qam16,proposed,4096
30,0.33797372,0.36410473,0.87934515,0.87313019,1.00169522,0.06754317,qam16,proposed,4096
31,0.33285271,0.35865075,0.88306533,0.87676331,1.0007012,0.06384813,qam16,proposed,4096
32,0.30609695,0.32987807,0.88899293,0.8826081,0.99614994,0.06183664,qam16,proposed,4096
33,0.28900541,0.31151124,0.89666837,0.89020477,0.99784755,0.05993959,qam16,proposed,4096
34,0.28348491,0.30561141,0.90069803,0.8941595,0.99626027,0.05791987,qam16,proposed,4096
35,0.26296277,0.28353346,0.90328408,0.89667427,1.00234376,0.05680528,qam16,proposed,4096
36,0.25062877,0.2702776,0.90901745,0.90233984,1.00152301,0.05445298,qam16,proposed,4096
37,0.24022776,0.25910157,0.91332607,0.90658396,1.00259969,0.05370028,qam16,proposed,4096
38,0.22992254,0.24802462,0.91623883,0.90943538,0.99902067,0.05065264,qam16,proposed,4096
39,0.22327656,0.24089149,0.91861332,0.91175152,1.00301407,0.04938343,qam16,proposed,4096
40,0.20535912,0.22159304,0.92244886,0.91553154,1.00268869,0.04785578,qam16,proposed,4096
