epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,optical_power,phase_gradient_norm,dataset,model,seed
1,1.48174157,1.58525392,0.26930025,0.26891009,0.99773976,0.17746081,qam16,random_unitary,256
2,1.41581255,1.51519114,0.29681972,0.29605842,1.00318033,0.17306492,qam16,random_unitary,256
3,1.34559242,1.44048206,0.32321813,0.32210379,1.00117924,0.16511022,qam16,random_unitary,256
4,1.28303858,1.37392842,0.34952916,0.34807901,1.00120642,0.16012065,qam16,random_unitary,256
5,1.22780244,1.31516552,0.35968257,0.35791298,0.99714127,0.15429324,qam16,random_unitary,256
6,1.18475687,1.26942252,0.37217415,0.37010069,0.99899706,0.14905241,qam16,random_unitary,256
7,1.11657481,1.19670578,0.39693284,0.39457035,0.9965323,0.14504142,qam16,random_unitary,256
8,1.06555653,1.14234232,0.41117795,0.40854051,0.99858139,0.14003746,qam16,random_unitary,256
9,1.02246767,1.09644592,0.43019304,0.42729406,1.00319676,0.13501236,qam16,random_unitary,256
10,0.97033837,1.04082183,0.44702966,0.4438819,0.99730307,0.13018697,qam16,random_unitary,256
11,0.93392648,1.00202642,0.45900071,0.45561631,1.0007711,0.1258941,qam16,random_unitary,256
12,0.89159246,0.9568502,0.47412464,0.47051513,1.0015994,0.12191941,qam16,random_unitary,256
13,0.85601587,0.91890009,0.48447716,0.48065352,0.99878616,0.11733257,qam16,random_unitary,256
14,0.81475731,0.87482568,0.50041641,0.49638909,1.00082032,0.11331176,qam16,random_unitary,256
15,0.77689767,0.83437594,0.5154682,0.51124714,1.00058,0.11002521,qam16,random_unitary,256
16,0.74116058,0.796183,0.52120826,0.51680289,0.99961426,0.10607996,qam16,random_unitary,256
17,0.70465029,0.75713768,0.53579897,0.53121829,1.00039698,0.10302598,qam16,random_unitary,256
18,0.67610516,0.72663136,0.54820694,0.54345949,1.00293987,0.09913583,qam16,random_unitary,256
19,0.65411184,0.70315105,0.55659814,0.55169206,1.00224313,0.09593521,qam16,random_unitary,256
20,0.6243646,0.67132022,0.5672103,0.56215334,1.00073279,0.09266391,qam16,random_unitary,256
21,0.59984773,0.64509765,0.57483839,0.5696379,0.99789485,0.089395,qam16,random_unitary,256
