frequency_GHz,core_power_mW,electronic_power_mW,total_power_mW,throughput_TOPS,energy_efficiency_TOPS_W
5.0,4.246134,119.386446,123.65,3.75,30.327537
5.25,4.272647,119.799288,124.140375,3.9375,31.718126
5.5,4.294246,120.446609,124.6315,4.125,33.097572
5.75,4.286593,120.929424,125.123375,4.3125,34.465982
6.0,4.294296,121.233743,125.616,4.5,35.823462
6.25,4.317391,121.809932,126.109375,4.6875,37.170115
6.5,4.352977,122.301939,126.6035,4.875,38.506044
6.75,4.328541,122.812152,127.098375,5.0625,39.831351
7.0,4.371566,123.278529,127.594,5.25,41.146135
7.25,4.377241,123.583002,128.090375,5.4375,42.450496
7.5,4.350895,124.126808,128.5875,5.625,43.744532
7.75,4.393571,124.632179,129.085375,5.8125,45.028339
8.0,4.405087,125.270547,129.584,6.0,46.302013
8.25,4.402533,125.628319,130.083375,6.1875,47.565648
8.5,4.439609,126.176548,130.5835,6.375,48.819338
8.75,4.423656,126.708631,131.084375,6.5625,50.063175
9.0,4.467968,126.974319,131.586,6.75,51.29725
9.25,4.461325,127.617459,132.088375,6.9375,52.521655
9.5,4.468213,127.969782,132.5915,7.125,53.736476
9.75,4.493801,128.569104,133.095375,7.3125,54.941804
10.0,4.495049,129.074012,133.6,7.5,56.137725
10.25,4.523637,129.650056,134.105375,7.6875,57.324324
10.5,4.550235,130.082748,134.6115,7.875,58.501688
10.75,4.556538,130.529284,135.118375,8.0625,59.669901
11.0,4.545552,130.984912,135.626,8.25,60.829045
11.25,4.566427,131.534674,136.134375,8.4375,61.979203
11.5,4.588487,132.04364,136.6435,8.625,63.120456
11.75,4.578925,132.603983,137.153375,8.8125,64.252885
12.0,4.603135,133.16133,137.664,9.0,65.376569
12.25,4.611301,133.651736,138.175375,9.1875,66.491587
12.5,4.615498,134.169776,138.6875,9.375,67.598017
12.75,4.627696,134.637837,139.200375,9.5625,68.695936
13.0,4.631511,135.072239,139.714,9.75,69.785419
13.25,4.664373,135.562717,140.228375,9.9375,70.866542
13.5,4.660151,136.14298,140.7435,10.125,71.939379
13.75,4.705424,136.624978,141.259375,10.3125,73.004004
14.0,4.668929,137.017501,141.776,10.5,74.06049
14.25,4.708045,137.586107,142.293375,10.6875,75.108908
14.5,4.721124,138.051806,142.8115,10.875,76.14933
14.75,4.760041,138.554176,143.330375,11.0625,77.181826
15.0,4.746823,139.020081,143.85,11.25,78.206465
15.25,4.737401,139.592111,144.370375,11.4375,79.223317
15.5,4.787462,140.225946,144.8915,11.625,80.23245
15.75,4.789016,140.684371,145.413375,11.8125,81.233931
16.0,4.783271,141.242719,145.936,12.0,82.227826
16.25,4.814619,141.463656,146.459375,12.1875,83.214202
16.5,4.80672,142.086406,146.9835,12.375,84.193124
16.75,4.858398,142.707897,147.508375,12.5625,85.164656
17.0,4.864814,143.18834,148.034,12.75,86.128862
17.25,4.863639,143.646112,148.560375,12.9375,87.085806
17.5,4.855913,144.324169,149.0875,13.125,88.03555
17.75,4.87542,144.821668,149.615375,13.3125,88.978155
18.0,4.919789,145.315577,150.144,13.5,89.913683
18.25,4.911128,145.863765,150.673375,13.6875,90.842194
18.5,4.920902,146.281964,151.2035,13.875,91.763749
18.75,4.922912,146.814892,151.734375,14.0625,92.678406
19.0,4.94277,147.370424,152.266,14.25,93.586224
19.25,4.983587,147.83802,152.798375,14.4375,94.487261
19.5,4.991689,148.300409,153.3315,14.625,95.381575
19.75,5.012112,148.876835,153.865375,14.8125,96.269222
20.0,5.013157,149.393118,154.4,15.0,97.150259
20.25,4.995818,150.113093,154.935375,15.1875,98.024741
20.5,5.00572,150.404869,155.4715,15.375,98.892723
20.75,5.032115,150.925557,156.008375,15.5625,99.75426
21.0,4.99552,151.531516,156.546,15.75,100.609406
21.25,5.061437,151.986688,157.084375,15.9375,101.458213
21.5,5.08727,152.505341,157.6235,16.125,102.300736
21.75,5.084503,153.052905,158.163375,16.3125,103.137025
22.0,5.106376,153.714485,158.704,16.5,103.967134
22.25,5.11796,154.128714,159.245375,16.6875,104.791112
22.5,5.137125,154.749578,159.7875,16.875,105.609012
22.75,5.114919,155.177732,160.330375,17.0625,106.420883
23.0,5.159528,155.804815,160.874,17.25,107.226774
23.25,5.153805,156.237366,161.418375,17.4375,108.026735
23.5,5.159038,156.786345,161.9635,17.625,108.820815
23.75,5.181782,157.143117,162.509375,17.8125,109.609061
24.0,5.182004,157.941341,163.056,18.0,110.391522
24.25,5.219563,158.342736,163.603375,18.1875,111.168245
24.5,5.248031,158.921648,164.1515,18.375,111.939276
24.75,5.237036,159.444995,164.700375,18.5625,112.704661
25.0,5.226957,160.084854,165.25,18.75,113.464448
25.25,5.250254,160.449963,165.800375,18.9375,114.21868
25.5,5.275946,160.96982,166.3515,19.125,114.967403
25.75,5.286318,161.625161,166.903375,19.3125,115.710662
26.0,5.305057,162.137844,167.456,19.5,116.4485
26.25,5.279466,162.680571,168.009375,19.6875,117.180961
26.5,5.291856,163.244827,168.5635,19.875,117.908088
26.75,5.32906,163.814359,169.118375,20.0625,118.629924
27.0,5.369215,164.324772,169.674,20.25,119.346512
27.25,5.400152,164.700106,170.230375,20.4375,120.057892
27.5,5.356435,165.460717,170.7875,20.625,120.764107
27.75,5.397177,165.885653,171.345375,20.8125,121.465199
28.0,5.409248,166.627658,171.904,21.0,122.161206
28.25,5.386669,167.044761,172.463375,21.1875,122.852171
28.5,5.421102,167.768747,173.0235,21.375,123.538132
28.75,5.448992,168.149189,173.584375,21.5625,124.21913
29.0,5.442367,168.728827,174.146,21.75,124.895203
29.25,5.484428,169.207127,174.708375,21.9375,125.56639
29.5,5.493736,169.79358,175.2715,22.125,126.23273
29.75,5.501474,170.263911,175.835375,22.3125,126.894261
30.0,5.507116,171.040541,176.4,22.5,127.55102
30.25,5.520082,171.537774,176.965375,22.6875,128.203045
30.5,5.53832,172.049253,177.5315,22.875,128.850373
30.75,5.561401,172.50413,178.098375,23.0625,129.49304
31.0,5.543848,173.26079,178.666,23.25,130.131083
31.25,5.556121,173.704687,179.234375,23.4375,130.764537
31.5,5.595363,174.223928,179.8035,23.625,131.393438
31.75,5.623325,174.823822,180.373375,23.8125,132.017821
32.0,5.555909,175.378585,180.944,24.0,132.637722
32.25,5.619632,175.914118,181.515375,24.1875,133.253175
32.5,5.607879,176.529152,182.0875,24.375,133.864214
32.75,5.619844,176.974102,182.660375,24.5625,134.470873
33.0,5.680265,177.636894,183.234,24.75,135.073185
33.25,5.639819,178.195979,183.808375,24.9375,135.671185
33.5,5.66092,178.668203,184.3835,25.125,136.264904
33.75,5.690953,179.243238,184.959375,25.3125,136.854377
34.0,5.661475,179.806867,185.536,25.5,137.439634
34.25,5.731066,180.363052,186.113375,25.6875,138.020709
34.5,5.69981,180.930683,186.6915,25.875,138.597633
34.75,5.743825,181.498097,187.270375,26.0625,139.170437
35.0,5.801809,182.124722,187.85,26.25,139.739154
35.25,5.761413,182.713092,188.430375,26.4375,140.303812
35.5,5.791261,183.299447,189.0115,26.625,140.864445
35.75,5.814253,183.752311,189.593375,26.8125,141.421081
36.0,5.810205,184.27142,190.176,27.0,141.973751
36.25,5.84301,184.923585,190.759375,27.1875,142.522484
36.5,5.829817,185.541353,191.3435,27.375,143.067311
36.75,5.821697,186.062496,191.928375,27.5625,143.60826
37.0,5.861681,186.62341,192.514,27.75,144.145361
37.25,5.843859,187.219981,193.100375,27.9375,144.678642
37.5,5.881113,187.95007,193.6875,28.125,145.208132
37.75,5.886919,188.405648,194.275375,28.3125,145.733858
38.0,5.905543,189.065506,194.864,28.5,146.25585
38.25,5.874438,189.535786,195.453375,28.6875,146.774135
38.5,5.920005,190.210889,196.0435,28.875,147.288739
38.75,5.928398,190.65707,196.634375,29.0625,147.799692
39.0,5.960666,191.280754,197.226,29.25,148.307018
39.25,5.937888,191.85666,197.818375,29.4375,148.810746
39.5,5.982182,192.491307,198.4115,29.625,149.310902
39.75,5.933156,193.049703,199.005375,29.8125,149.807511
40.0,5.954221,193.701954,199.6,30.0,150.300601
40.25,6.002674,194.24167,200.195375,30.1875,150.790197
40.5,6.023978,194.855399,200.7915,30.375,151.276324
40.75,6.053483,195.28952,201.388375,30.5625,151.759008
41.0,6.042717,195.829108,201.986,30.75,152.238274
41.25,6.065723,196.545807,202.584375,30.9375,152.714147
41.5,6.102093,197.186236,203.1835,31.125,153.186651
41.75,6.082041,197.697843,203.783375,31.3125,153.655812
42.0,6.122929,198.246974,204.384,31.5,154.121653
42.25,6.093044,198.904148,204.985375,31.6875,154.584199
42.5,6.116308,199.467176,205.5875,31.875,155.043473
42.75,6.165275,200.068546,206.190375,32.0625,155.499499
43.0,6.131875,200.663722,206.794,32.25,155.9523
43.25,6.100443,201.347883,207.398375,32.4375,156.4019
43.5,6.141319,201.969831,208.0035,32.625,156.848322
43.75,6.175434,202.486121,208.609375,32.8125,157.291589
44.0,6.178482,202.930673,209.216,33.0,157.731722
44.25,6.179403,203.782457,209.823375,33.1875,158.168745
44.5,6.235533,204.236857,210.4315,33.375,158.602681
44.75,6.261474,204.685598,211.040375,33.5625,159.03355
45.0,6.249827,205.462205,211.65,33.75,159.461375
45.25,6.248156,206.000463,212.260375,33.9375,159.886178
45.5,6.308958,206.593156,212.8715,34.125,160.307979
45.75,6.284263,207.162206,213.483375,34.3125,160.726801
46.0,6.324122,207.823942,214.096,34.5,161.142665
46.25,6.311941,208.498687,214.709375,34.6875,161.555591
46.5,6.323769,208.991159,215.3235,34.875,161.965601
46.75,6.378991,209.709856,215.938375,35.0625,162.372714
47.0,6.367579,210.273404,216.554,35.25,162.776952
47.25,6.338864,210.970865,217.170375,35.4375,163.178334
47.5,6.390046,211.464076,217.7875,35.625,163.576881
47.75,6.353642,211.897192,218.405375,35.8125,163.972613
48.0,6.398101,212.420557,219.024,36.0,164.365549
48.25,6.405182,213.189311,219.643375,36.1875,164.755709
48.5,6.460295,213.881275,220.2635,36.375,165.143113
48.75,6.476839,214.519072,220.884375,36.5625,165.527779
49.0,6.467906,215.108603,221.506,36.75,165.909727
49.25,6.464068,215.783924,222.128375,36.9375,166.288976
49.5,6.474386,216.297293,222.7515,37.125,166.665544
49.75,6.486446,216.987038,223.375375,37.3125,167.039451
50.0,6.508492,217.528611,224.0,37.5,167.410714
